name,address,coordinate,x_rd,y_rd,external_link
Stichting Repair Café International,"Linnaeushof 94, 1098 KT Amsterdam, Nederland","52.3532782,4.9333032",124075.77825831667,485138.5163780286,https://www.repaircafe.org
Repair Café Amstelveen,"Orion 3, Amstelveen, 1188 AM","52.281425,4.855162",118693.4194624942,477180.2259812576,https://repaircafeamstelveendemeent.wordpress.com/
Repair Café Amstelveen-Bankras Kostverloren,"Den Bloeyenden Wijngaerdt 1, Amstelveen, 1183 JM","52.307419,4.878081",120277.70232540285,480061.12288469466,
Repair Café Amstelveen-Patrimonium,"Smeenklaan 1, Amstelveen, 1182 GC","52.308109,4.845379",118048.02110802004,480154.05746993324,
Repair Café Villa Randwijck - Amstelveen,"Catharina van Clevepark 10, 1181 AT Amstelveen, Nederland","52.3200133,4.862438000000001",119221.00207171992,481469.99064492405,
Repair Café Amstelveen-Stadsdorp Elsrijk,"Rembrandtweg 428, 1181 HD Amstelveen, Nederland","52.3113429,4.8637815",119305.63707263078,480504.64599654527,http://www.stadsdorpelsrijk.nl
Repair Café Amstelveen-Uilenstede,"Uilenstede 348, Amstelveen, 1183DB","52.320896,4.875555",120116.01284981407,481561.8087534396,http://www.generationzen.nl/
Repair Café Amsterdam Sloterdijk-Zuid,"Velserweg 24, 1014 AH Amsterdam, Nederland","52.3862968,4.8455553",118125.05400412157,488853.3090633826,
Repair Café Amsterdam Slotermeer De Honingraat,"Slotermeerlaan 103-H, Amsterdam, 1063 JN","52.378990,4.819581",116350.40517574424,488053.8694671761,
Repair Café Amsterdam-Centrum De Boomsspijker,"Recht Boomssloot 52, 1011 EC Amsterdam, Nederland","52.3719741,4.9034932",122058.73008929871,487231.812454006,https://www.dock.nl/
Repair Café Amsterdam-Centrum Oost,"Kleine Wittenburgerstraat 201, 1018 KX Amsterdam, Nederland","52.3715077,4.9217355",123300.70573080619,487171.7839876516,
Repair Café Amsterdam-Centrum West,"Tussen de Bogen 16, Amsterdam, 1013 JB","52.383366,4.888557",121050.29064573642,488506.20486181,
Repair Café Amsterdam-IJburg,"Erich Salomonstraat 131-151, Amsterdam, 1087 AV","52.359386,4.992787",128132.06985920062,485794.3762708332,https://www.set-ijburg.nl/circulair-cafe/
Repair Café Amsterdam-Oost (De Meevaart),"Balistraat 48A, 1094 JN Amsterdam, Nederland","52.36300920000001,4.934108699999999",124137.42459383763,486220.87352124637,https://repaircafe-demeevaart-amsterdam-oost.nl/
Repair Café Amsterdam-Oost Betondorp,"Karnstraat 2, Amsterdam, 1097 XC","52.340691,4.945482",124896.97681339481,483732.9024245008,
Repair Café Amsterdam-Oost Transvaalbuurt,"Steve Bikoplein 2, Amsterdam, 1092 GN","52.355572,4.923050",123378.86993936691,485398.1549474067,
Repair Café Amsterdam-Osdorp,"Tussen Meer 68, 1069 DS Amsterdam, Nederland","52.3580345,4.7978027",114848.57560611928,485734.152701441,https://repaircafeosdorp.jouwweb.nl/
Repair Café Amsterdam-Oud West De Havelaar,"Douwes Dekkerstraat 2, Amsterdam, 1053 SX","52.369110,4.865345",119458.53038824035,486931.1681868858,www.facebook.com/RepaircafeOudWest
Repair Café Amsterdam-Oud West Jeltje,"Eerste Helmersstraat 106N, 1054 EG Amsterdam, Nederland","52.3621249,4.8686069",119675.11968136056,486152.3922850308,https://repaircafejeltje.nl
Repair Café Amsterdam-West Bos en Lommer,"Wachterliedplantsoen 1-3, Amsterdam, 1055 SB","52.377926,4.853975",118691.39838284592,487917.6976417649,
Repair Café Amsterdam-West De Baarsjes,"Corantijnstraat 25, Amsterdam, 1058 DC","52.361683,4.851214",118490.03274697688,486111.84489031986,http://www.buurtkamercorantijn.nl/repair_cafe/
Repair Café Amsterdam-West Westerpark,"Van Limburg Stirumstraat 119, 1051 BA Amsterdam, Nederland","52.3835455,4.876798300000001",120249.86579015502,488531.7503760786,https://west.combiwelbuurtwerk.nl/west-westerpark/
