Sort,Variabele,Begrotingsprogramma,Thema,Label,Labelkort,Definitie,Bron,Peildatum,Verschijningsfrequentie,Rekeneenheid,Symbool,Groep,Format,Berekendevariabelen,Themakerncijfertabel,Tussenkopjekerncijfertabel,Kleurenpalet,Legendacode,Sdminimumbevtotaal,Sdminimumwvoorbag,Topicarea,Label1,Definition,Referencedate,Frequency
8290,WCONTACTB_R,"Werk, inkomen en participatie",Participatie,Contact in de buurt (1-10),Contact in de buurt  (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: 







In welke mate heeft u contact met buurtbewoners? 







(1=geen contact en 10=zeer veel contact).















Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,1 april,1 keer in de 2 jaar,3,,,F5.1,,,,1,1,,,Participation,Contact neighbourhood (1-10),"Average answer to the question: 







To what degree are you in contact with your fellow neighbourhood residents? 







1 = not at all and 10 = very much 















Numbers are only available for areas with at least 20 respondents.",n.a.,every two years
8300,WHELP_R,"Werk, inkomen en participatie",Participatie,Mensen helpen elkaar (1-10),Mensen helpen elkaar (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: 







Helpen mensen elkaar in uw buurt? (1=nooit en 10=heel vaak).















Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,1 april,1 keer in de 2 jaar,3,,,F5.1,,,,1,1,,,Participation,People help each other (1-10),"Average answer to the question: 







Do people help each other in your neighbourhood? 







1 = never and 10 = very often 















Numbers are only available for areas with at least 20 respondents.",n.a.,every two years
8310,W65PLUSHELP_R,"Werk, inkomen en participatie",Participatie,Mensen helpen elkaar 65+ (1-10),Mensen helpen elkaar 65+ (1-10),"Gemiddeld rapportcijfer dat 65-plussers geven als antwoord op de vraag: 







Helpen mensen elkaar in uw buurt? (1=nooit en 10=heel vaak).















Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,1 april,1 keer in de 2 jaar,3,,,F5.1,,,,1,1,,,Participation,People help each other (1-10),"Average answer to the question: 







Do people help each other in your neighbourhood? 







1 = never and 10 = very often 















Numbers are only available for areas with at least 20 respondents.",n.a.,every two years
6580,SRCULTVOORZ_R,"Kunst, Cultuur en Erfgoed",Cultuur,Aanbod culturele voorzieningen (1-10),Culturele voorzieningen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Wat vindt u van het aanbod van culturele voorzieningen in uw buurt? (1=ruim onvoldoende, 10= ruim voldoende).















Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,1 april,1 keer in de 2 jaar,3,,,F5.1,,,,1,1,,,Culture,Cultural facilities (1-10),"Average answer to the question: 







What is your opinion on the availability of cultural facilities in your neighbourhood? 







1 = very insufficient and 10 = very sufficient 















Numbers are only available for areas with at least 20 respondents.",n.a.,every two years
6660,SRSPORTGELEGENHEDEN_R,Sport,Sport,Sportgelegenheden (1-10),Sportgelegenheden (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: 







Wat vindt u van het aanbod van sportgelegenheden in de buurt?















Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten.",Wonen in Amsterdam,1 april,1 keer in de 2 jaar,3,,,F5.1,,"Welzijn, zorg en sport",Sport,1,1,,,Sports,Sports facilities (1-10),"Average answer to the question:







What is your opinion on the availability of sports facilities in your neighbourhood? 







1 = very insufficient and 10 = very sufficient















Numbers are only available for areas with at least 20 respondents.",n.a.,every two years
3270,VVEILIGDAG_R,Veiligheid,Veiligheid,Veiligheidsgevoel overdag (1-10),Veiligheidsgevoel dag (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe veilig voelt u zich overdag in uw buurt? (1=zeer onveilig, 10=zeer veilig).















Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,1 april,1 keer in de 2 jaar,3,,,F5.1,,,,1,1,,,Safety,Sense of safety during the day (1-10),"Average score for the question: 







How safe do you feel in your neighbourhood during the day?







(1 = very unsafe and 10 = very safe)















Numbers are only available for areas with at least 20 respondents.",n.a.,every two years
3280,VVEILIGAVOND_R,Veiligheid,Veiligheid,Veiligheidsgevoel 's avonds (1-10),Veiligheidsgevoel avond (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe veilig voelt u zich 's avonds in uw buurt? (1=zeer onveilig, 10=zeer veilig).















Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,1 april,1 keer in de 2 jaar,3,,,F5.1,,,,1,1,,,Safety,Sense of safety in the evening (1-10),"Average score for the question: 







How safe do you feel in your neighbourhood during the evening? 







(1 = very unsafe ,10 = very safe)















Numbers are only available for areas with at least 20 respondents.",n.a.,every two years
3290,V65PLUSVEILIGAVOND_R,Veiligheid,Veiligheid,Veiligheidsgevoel 's avonds 65+ (1-10),Veiligheidsgevoel avond 65+ (1-10),"Gemiddeld rapportcijfer dat 65-plussers geven als antwoord op de vraag: Hoe veilig voelt u zich 's avonds in uw buurt? (1=zeer onveilig, 10=zeer veilig).















Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,1 april,1 keer in de 2 jaar,3,,,F5.1,,,,1,1,,,Safety,Sense of safety in the evening 65+ (1-10),"Average score by people of 65 and over for the question: 







How safe do you feel in your neighbourhood during the evening? 







(1 = very unsafe ,10 = very safe)















Numbers are only available for areas with at least 20 respondents.",n.a.,every two years
3300,VCRIMINALITEIT_R,Veiligheid,Veiligheid,Overlast criminaliteit (1-10),Overlast criminaliteit (1-10),"Kunt u met een rapportcijfer 1 t/m 10 aangeven in welke mate u overlast ondervindt van criminaliteit? (1= ernstige overlast, 10 =geen overlast).















Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,1 april,1 keer in de 2 jaar,3,,,F5.1,,,,1,1,,,Safety,Nuisance: crime (1-10),"Average score for the question: 







On a scale of 1 to 10, can you indicate the degree of inconvenience caused to you by criminal activity? 







(1= a lot of inconvenience, 10= little or no inconvenience)















Numbers are only available for areas with at least 20 respondents.







",n.a.,every two years
2910,VKFIETSPARKEREN_R,"Verkeer, Vervoer en Waterstaat",Verkeer,Parkeervoorzieningen fietsen (1-10),Parkeren fietsen (1-10),De vragenlijst en de onderzoeksmethode van de Veiligheidsmonitor zijn in 2021 gewijzigd. Sommige indicatoren zijn hierdoor niet beschikbaar voor eerdere jaren. Voor andere indicatoren geldt dat de vergelijking met eerdere jaren voorzichtig gemaakt dient te worden.,Wonen in Amsterdam,1 april,1 keer in de 2 jaar,3,,,F5.1,,Verkeer en Openbare ruimte,Verkeer,1,1,,,Traffic,Parking facilities bikes (1-10),"Average score given to the question:







What is your opinion on the availability of bike parking facilities in your neighbourhood? 1 = very insufficient and 10 = very sufficient 















The minimum number of respondents is 20.",n.a.,every two years
