cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9408032371195597,0.1261149457656655,0.16530146051365438,0.30560840484356944,0.4549705726469501,80.86337397782097,0.22458320642103716,2.11825,8473.0,0.1261149457656655,0.30560840484356944,0.1195,2060,2652.101649294404,2652.101649294404,2060,2652.101649294404,2652.101649294404,0,0.0,0.0,1684,222,0.0555,7,1869,3744,0.49919871794871795,4000,0.0,0.0,0.22100847077451524,0.421,0.30100508246470914,0.09548492376302938,0.02039637305699482,0.0
2,0.98556020131414,0.12948860980951277,0.16530146051365438,0.3178764702387999,0.4579146776609078,77.89503012850878,0.05653043274213376,2.1185,8474.0,0.12948860980951277,0.3178764702387999,0.106,2022,3616.4068649564792,3616.4068649564792,2022,3616.4068649564792,3616.4068649564792,0,0.0,0.0,1766,214,0.0535,13,1881,3788,0.49656810982048577,4000,0.002725476885474288,0.002725476885474288,0.30136723874634813,0.4415,0.3574203432478089,0.09463869485128287,0.013170984455958545,0.0
3,0.9859179399513992,0.13094984316881939,0.16530146051365438,0.33126769300008563,0.45928411955203635,74.9425312256107,0.056149186094231265,2.11925,8477.0,0.13094984316881939,0.33126769300008563,0.1025,2124,4391.790452538803,4391.790452538803,2124,4391.790452538803,4391.790452538803,0,0.0,0.0,1727,169,0.04225,9,1958,3851,0.5084393663983381,4000,0.00520995576313081,0.00520995576313081,0.3659825377115364,0.43175,0.39228952262692185,0.09411565716059618,0.017411176905995474,0.0
4,0.9876348166521459,0.1326480372715307,0.16530146051365438,0.3457100382628158,0.4608349128138084,72.0104676620554,0.04845345113268384,2.12025,8481.0,0.1326480372715307,0.3457100382628158,0.1005,2161,4786.325331634798,4786.325331634798,2128,4641.800103438776,4641.800103438776,33,144.5252281960189,144.5252281960189,1761,167,0.04175,6,1955,3922,0.49847016828148905,4000,0.0069482398453062965,0.0069482398453062965,0.3988604443028666,0.44025,0.41541626658171993,0.09376875600127421,0.02459252405625456,0.0
5,0.9896762942530011,0.1339305380764835,0.16530146051365438,0.361103037911554,0.46200391653310785,69.10495811410163,0.04072784761393507,2.12125,8485.0,0.1339305380764835,0.361103037911554,0.10375,2348,5755.302028756351,5755.302028756351,2129,4772.341462697623,4772.341462697623,219,982.9605660587358,982.9605660587358,1786,138,0.0345,12,2091,4134,0.5058055152394775,4000,0.008502279296243058,0.008502279296243058,0.47960850239632263,0.4465,0.46636510143779353,0.0930045234784331,0.01542098445595852,0.0
6,0.9912458787141617,0.13506186937633435,0.16530146051365438,0.37723362814707023,0.46297716521604854,66.24631087952478,0.031611702672889416,2.12325,8493.0,0.13506186937633435,0.37723362814707023,0.10275,2476,6608.7592339659495,6608.7592339659495,2109,4916.867611778881,4916.867611778881,367,1691.89162218707,1691.89162218707,1744,129,0.03225,14,2127,4220,0.5040284360189573,4000,0.010072130253941693,0.010072130253941693,0.5507299361637832,0.436,0.5048379616982699,0.09242743057452596,0.03492579570688381,0.0
7,0.9922519899639429,0.13559860105705943,0.16530146051365438,0.39401204490431796,0.4634919074192213,63.44717218338771,0.028497250065061566,2.12325,8493.0,0.13559860105705943,0.39401204490431796,0.11175,2310,5941.518358657501,5941.518358657501,2096,4775.884889085881,4775.884889085881,214,1165.633469571622,1165.633469571622,1840,118,0.0295,6,2103,4150,0.5067469879518073,4000,0.010904110447059053,0.010904110447059053,0.4951265298880838,0.46,0.4810759179328503,0.09278386123100725,0.020744448556624717,0.0
8,0.9909574146363812,0.13640376827766312,0.16530146051365438,0.41146796009961256,0.4643501391808292,60.711540625101144,0.03075165514716295,2.12375,8495.0,0.13640376827766312,0.41146796009961256,0.10375,2845,8082.60177636093,8082.60177636093,2185,5014.594479281937,5014.594479281937,660,3068.007297078998,3068.007297078998,1874,148,0.037,10,2406,4719,0.5098537825810553,4000,0.011707594887706781,0.011707594887706781,0.6735501480300213,0.4685,0.5915300888180128,0.09112704866772982,0.017641561806069572,0.0
9,0.9908707355748015,0.1375995514064535,0.16530146051365438,0.42943980360880396,0.4655363559832144,58.052469711006026,0.0320595019615925,2.123,8492.0,0.1375995514064535,0.42943980360880396,0.09975,2669,7393.221251911458,7393.221251911458,2229,5111.3405154307375,5111.3405154307375,440,2281.8807364807144,2281.8807364807144,1824,164,0.041,3,2284,4493,0.5083463164923214,4000,0.012452157862413356,0.012452157862413356,0.6161017709925701,0.456,0.552061062595542,0.09171908406106688,0.019420984455958523,0.0
10,0.9909188836411301,0.1390085450257774,0.16530146051365438,0.4478807378078997,0.46689365975246416,55.46689778747832,0.031184933337926723,2.1235,8494.0,0.1390085450257774,0.4478807378078997,0.107,2502,6391.2314393897805,6391.2314393897805,2182,4679.165152758324,4679.165152758324,320,1712.06628663147,1712.06628663147,1850,151,0.03775,8,2173,4352,0.4993106617647059,4000,0.013190662424996481,0.013190662424996481,0.532602619949104,0.4625,0.5045615719694624,0.09243157642045807,0.024014063656550677,0.0
