cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9463988634970519,0.02923557728855622,0.027136434811012612,0.30578512319397544,0.904317369724984,80.83882333772193,0.20834243925617169,2.11775,8471.0,0.02923557728855622,0.30578512319397544,0.10675,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,231,0.05775,11,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.021648791540785473,0.0
2,0.9871627864784106,0.02934067703304136,0.027136434811012612,0.31822465758074664,0.9044830553151854,77.8482599897181,0.050610418596187735,2.117,8468.0,0.02934067703304136,0.31822465758074664,0.11175,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,213,0.05325,9,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.02797809667673712,0.0
3,0.9862695589156031,0.029598040247534697,0.027136434811012612,0.3317610262548018,0.9044440642728565,74.87194085261272,0.05726689728455046,2.118,8472.0,0.029598040247534697,0.3317610262548018,0.108,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,183,0.04575,6,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.019643504531722034,0.0
4,0.9892441418975364,0.029822476291724714,0.027136434811012612,0.3464108179277588,0.9043309387241381,71.9011849707434,0.04160345109887693,2.11875,8475.0,0.029822476291724714,0.3464108179277588,0.1165,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,173,0.04325,7,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.024738670694864018,0.0
5,0.9916723131357267,0.030101462366141925,0.027136434811012612,0.3622558929847362,0.9042002121231376,68.94382502283595,0.030033142762533334,2.12025,8481.0,0.030101462366141925,0.3622558929847362,0.105,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,121,0.03025,12,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.019622356495468285,0.0
6,0.9927297869550737,0.03021580250735975,0.027136434811012612,0.3787836473231741,0.9042411830188605,66.03588854379166,0.027198892388138163,2.11975,8479.0,0.03021580250735975,0.3787836473231741,0.117,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,163,0.04075,6,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.02650453172205436,0.0
7,0.9928253046438463,0.03023630370812169,0.027136434811012612,0.3960880836519547,0.9043238874689579,63.17762877256123,0.025477472403299395,2.11975,8479.0,0.03023630370812169,0.3960880836519547,0.112,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,122,0.0305,6,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.030749244712990897,0.0
8,0.9918420464831909,0.030524849332188166,0.027136434811012612,0.41413320983122853,0.9041745261771542,60.37362857400572,0.025661174498020335,2.12025,8481.0,0.030524849332188166,0.41413320983122853,0.104,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,142,0.0355,6,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.01684592145015107,0.0
9,0.9918433095959047,0.030522625656978476,0.027136434811012612,0.43269854259882934,0.9042820493177408,57.638370190063036,0.02463628294764371,2.1205,8482.0,0.030522625656978476,0.43269854259882934,0.1095,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,140,0.035,9,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.01587764350453169,0.0
10,0.991582478438273,0.030606464848258488,0.027136434811012612,0.4518474979765996,0.9043844351632232,54.97167085948377,0.025082966433079206,2.122,8488.0,0.030606464848258488,0.4518474979765996,0.10775,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,141,0.03525,8,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.011585347432024107,0.0
11,0.9917109036090289,0.03055968148761998,0.027136434811012612,0.47091275072958816,0.9045634470533691,52.40455688993614,0.0234950837757736,2.12125,8485.0,0.03055968148761998,0.47091275072958816,0.114,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,132,0.033,9,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.01515407854984896,0.0
12,0.9910333390994234,0.03067561411554679,0.027136434811012612,0.4895971582369357,0.9045907321666654,49.944582024068865,0.02743216906033784,2.1225,8490.0,0.03067561411554679,0.4895971582369357,0.111,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,134,0.0335,9,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.02193051359516618,0.0
13,0.9917765559874129,0.030843101399371298,0.027136434811012612,0.5084881503805071,0.9045986582194309,47.5660629554263,0.026301608346966373,2.123,8492.0,0.030843101399371298,0.5084881503805071,0.10625,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,151,0.03775,8,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.035743957703927576,0.0
14,0.9916533287689417,0.0309606157930026,0.027136434811012612,0.5268798991118553,0.9046008807273893,45.29185870737226,0.02369103644389962,2.12525,8501.0,0.0309606157930026,0.5268798991118553,0.11,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,137,0.03425,11,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.019154078549848963,0.0
15,0.9916199628706006,0.030999504445043305,0.027136434811012612,0.5446323162862547,0.9046943525151444,43.123501222282805,0.024084275479859835,2.126,8504.0,0.030999504445043305,0.5446323162862547,0.11,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,134,0.0335,11,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.01613293051359521,0.0
16,0.9921637475264237,0.031180955152367847,0.027136434811012612,0.5619612360027215,0.9046468098314351,41.047577869839216,0.02307671413000459,2.1275,8510.0,0.031180955152367847,0.5619612360027215,0.09925,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,147,0.03675,10,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.022351208459214567,0.0
17,0.9913563080617718,0.031190844343137337,0.027136434811012612,0.578799259103745,0.904722223510437,39.06404348915119,0.02479913110764758,2.1285,8514.0,0.031190844343137337,0.578799259103745,0.11,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,152,0.038,14,0,0,0.0,4000,0.0,0.0,0.0,0.0,0.0,0.1,0.028972809667673682,0.0
