cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9445808472495407,0.138043540516674,0.17154415530141728,0.3057528132935,0.4662234123249675,80.86122768373946,0.21259837770466164,2.11775,8471.0,0.138043540516674,0.3057528132935,0.10575,2054,2678.9145870114344,2678.9145870114344,2054,2678.9145870114344,2678.9145870114344,0,0.0,0.0,1718,251,0.06275,3,1833,3772,0.485949098621421,4000,0.0,0.0,0.22324288225093425,0.4295,0.30574572935056055,0.0954138140597416,0.02156481481481476,0.0
2,0.9870119647315391,0.14072553052383827,0.17154415530141728,0.31801531789327725,0.4689666161998165,77.90557571735486,0.04932489948292519,2.118,8472.0,0.14072553052383827,0.31801531789327725,0.114,2126,3939.2895040823464,3939.2895040823464,2126,3939.2895040823464,3939.2895040823464,0,0.0,0.0,1829,194,0.0485,3,1922,3955,0.48596713021491783,4000,0.002570030447917871,0.002570030447917871,0.32827412534016814,0.45725,0.3798644752041009,0.09430203287193849,0.02488888888888885,0.0
3,0.9865363963691975,0.1423206968456161,0.17154415530141728,0.33134485426824234,0.4707519831051078,74.97813826185427,0.05194196554722827,2.11975,8479.0,0.1423206968456161,0.33134485426824234,0.101,2211,4639.170531864236,4639.170531864236,2211,4639.170531864236,4639.170531864236,0,0.0,0.0,1851,175,0.04375,11,2057,4062,0.5064007877892663,4000,0.005005324993210212,0.005005324993210212,0.38659754432198745,0.46275,0.4170585265931925,0.09374412210110211,0.02400000000000002,0.0
4,0.9870362899835552,0.14391313858606095,0.17154415530141728,0.3456218550683061,0.4724627059284891,72.08867324430243,0.04910938794568286,2.12,8480.0,0.14391313858606095,0.3456218550683061,0.10825,2252,4926.774167268856,4926.774167268856,2206,4726.79734512037,4726.79734512037,46,199.97682214848638,199.97682214848638,1870,168,0.042,5,2090,4122,0.5070354196991752,4000,0.007037236594331279,0.007037236594331279,0.41056451393903715,0.4675,0.4333387083634223,0.09349991937454867,0.022151234567901246,0.0
5,0.9890820063732295,0.14488352378927633,0.17154415530141728,0.36079834092548274,0.4735607068264014,69.23884338239604,0.042849927249186646,2.1215,8486.0,0.14488352378927633,0.36079834092548274,0.1105,2482,6105.922145795103,6105.922145795103,2255,5096.745245531071,5096.745245531071,227,1009.1769002640308,1009.1769002640308,1971,144,0.036,8,2167,4453,0.4866382214237593,4000,0.008575455671474629,0.008575455671474629,0.5088268454828828,0.49275,0.5023961072897297,0.09246405839065407,0.022987654320987594,0.0
6,0.992124700454719,0.14571140204698368,0.17154415530141728,0.3765470252706883,0.47457662579446197,66.44540271246969,0.026638693776136358,2.1215,8486.0,0.14571140204698368,0.3765470252706883,0.116,2615,6858.620834927118,6858.620834927118,2232,5078.735924137423,5078.735924137423,383,1779.884910789704,1779.884910789704,2042,131,0.03275,8,2314,4657,0.49688640755851404,4000,0.009794838833729832,0.009794838833729832,0.5715517362438789,0.5105,0.5471310417463273,0.0917930343738051,0.00977160493827156,0.0
7,0.9948322386559277,0.1471257593350665,0.17154415530141728,0.39286750428528144,0.47596391350201483,63.71376873784368,0.018584514648028794,2.1205,8482.0,0.1471257593350665,0.39286750428528144,0.0905,2520,6267.207297004909,6267.207297004909,2305,5118.704467954927,5118.704467954927,215,1148.502829049973,1148.502829049973,2009,126,0.0315,6,2247,4529,0.49613601236476046,4000,0.010632154229085417,0.010632154229085417,0.5222672747503656,0.50225,0.5142603648502193,0.09228609452724672,0.024469135802469122,0.0
8,0.9950396532495595,0.14814600140108483,0.17154415530141728,0.40969430796846174,0.4770810634905346,61.05896206141867,0.017343166686392984,2.12075,8483.0,0.14814600140108483,0.40969430796846174,0.099,3084,8472.695101339192,8472.695101339192,2356,5154.292785934397,5154.292785934397,728,3318.4023154048136,3318.4023154048136,2057,147,0.03675,1,2633,5141,0.5121571678661739,4000,0.011511741457883272,0.011511741457883272,0.7060579251115404,0.51425,0.6293347550669242,0.09055997867399615,0.02059876543209882,0.0
9,0.99517824142741,0.14884191994677348,0.17154415530141728,0.4269165928591553,0.47802598188323864,58.484029694936076,0.017207445183878307,2.12275,8491.0,0.14884191994677348,0.4269165928591553,0.09775,2795,7299.821748735265,7299.821748735265,2379,5172.567641566851,5172.567641566851,416,2127.254107168423,2127.254107168423,2088,128,0.032,8,2468,4883,0.5054269916035224,4000,0.01199867959216746,0.01199867959216746,0.6083184790612214,0.522,0.5737910874367328,0.09139313368844901,0.017990740740740696,0.0
10,0.9944383527947633,0.1496927062311804,0.17154415530141728,0.44430912354011254,0.47920518082866576,55.999984447942055,0.02013058183252882,2.124,8496.0,0.1496927062311804,0.44430912354011254,0.09325,2822,6863.4927566472925,6863.4927566472925,2498,5162.260631829455,5162.260631829455,324,1701.2321248178407,1701.2321248178407,2168,135,0.03375,13,2488,4990,0.49859719438877753,4000,0.012706781285437273,0.012706781285437273,0.57195772972056,0.542,0.559974637832336,0.09160038043251496,0.014774691358024672,0.0
11,0.9951063877220436,0.1509839326217285,0.17154415530141728,0.46169536528558874,0.4805444318992735,53.610567226764864,0.01613761206235052,2.1245,8498.0,0.1509839326217285,0.46169536528558874,0.09175,2943,7383.4057345606,7383.4057345606,2495,5224.855809815682,5224.855809815682,448,2158.549924744926,2158.549924744926,2215,129,0.03225,10,2603,5158,0.5046529662659945,4000,0.013234199434812853,0.013234199434812853,0.615283811213332,0.55375,0.5906702867279991,0.09113994569908002,0.02321913580246915,0.0
12,0.9939738345499477,0.15163186390599748,0.17154415530141728,0.4787585630040448,0.48145414518816493,51.33084115489838,0.01947302589237979,2.125,8500.0,0.15163186390599748,0.4787585630040448,0.0915,3382,9192.437559184327,9192.437559184327,2508,5200.110927252976,5200.110927252976,874,3992.326631931364,3992.326631931364,2245,150,0.0375,10,2811,5627,0.49955571352408035,4000,0.01357667078778786,0.01357667078778786,0.7660364632652967,0.56125,0.684121877959178,0.08973817183061233,0.00958024691358017,0.0
13,0.9933198045795277,0.1524549081603889,0.17154415530141728,0.4954935328504037,0.4824486637075024,49.15496599205375,0.019708579282180946,2.12625,8505.0,0.1524549081603889,0.4954935328504037,0.1005,3121,7786.144669230235,7786.144669230235,2541,4933.634406059558,4933.634406059558,580,2852.5102631706714,2852.5102631706714,2270,143,0.03575,7,2687,5391,0.4984232980894083,4000,0.013801449556411004,0.013801449556411004,0.6488453891024655,0.5675,0.6163072334614793,0.09075539149807782,0.024499999999999966,0.0
14,0.9926328908326562,0.15411787545116973,0.17154415530141728,0.511999831902045,0.48430945335003356,47.074266529510716,0.02263338582899231,2.12725,8509.0,0.15411787545116973,0.511999831902045,0.10375,2930,6977.263942085911,6977.263942085911,2584,5220.553186251572,5220.553186251572,346,1756.7107558343332,1756.7107558343332,2270,175,0.04375,8,2577,5200,0.4955769230769231,4000,0.013917124262067987,0.013917124262067987,0.5814386618404441,0.5675,0.5758631971042665,0.091362052043436,0.03436728395061728,0.0
15,0.9916501513395021,0.15481928199434122,0.17154415530141728,0.5278609815849137,0.48532178952192306,45.09927575359008,0.02536901590403774,2.12875,8515.0,0.15481928199434122,0.5278609815849137,0.103,2786,6396.709320369112,6396.709320369112,2534,5049.06596288479,5049.06596288479,252,1347.64335748432,1347.64335748432,2299,155,0.03875,6,2638,5085,0.5187807276302852,4000,0.014389053181369585,0.014389053181369585,0.5330591100307149,0.57475,0.5497354660184289,0.09175396800972357,0.016598765432098816,0.0
16,0.9929541626213194,0.15582982120037267,0.17154415530141728,0.5433657791933556,0.48661171293093103,43.210987464935606,0.021083650799725545,2.131,8524.0,0.15582982120037267,0.5433657791933556,0.1015,3028,7075.462859205914,7075.462859205914,2593,5014.364972330109,5014.364972330109,435,2061.0978868758084,2061.0978868758084,2352,134,0.0335,13,2661,5380,0.4946096654275093,4000,0.014691535298116601,0.014691535298116601,0.5896219049337771,0.588,0.5889731429602663,0.09116540285559602,0.035074074074074035,0.0
17,0.9921645697734245,0.15709884714578481,0.17154415530141728,0.5584037869590702,0.4882360044366294,41.41631654605085,0.023621291819521835,2.13025,8521.0,0.15709884714578481,0.5584037869590702,0.1055,3034,7107.304624462794,7107.304624462794,2520,4682.313054872652,4682.313054872652,514,2424.991569590153,2424.991569590153,2387,146,0.0365,13,2718,5421,0.5013835085777532,4000,0.014750698721194706,0.014750698721194706,0.5922753853718501,0.59675,0.5940652312231101,0.09108902153165335,0.022586419753086395,0.0
18,0.9931737606126788,0.1579223195158352,0.17154415530141728,0.5728519886917929,0.48914612765015325,39.709839671792494,0.018898546475878752,2.131,8524.0,0.1579223195158352,0.5728519886917929,0.10175,2999,6939.9602186560705,6939.9602186560705,2619,5052.405545829006,5052.405545829006,380,1887.5546728270624,1887.5546728270624,2365,143,0.03575,9,2741,5364,0.5109992542878449,4000,0.014568677458982859,0.014568677458982859,0.578330018221291,0.59125,0.5834980109327746,0.09124752983600838,0.014762345679012356,0.0
19,0.9929966743830752,0.1585734282760209,0.17154415530141728,0.5868837921848079,0.49001946768859206,38.08359120053919,0.018881520904856508,2.13275,8531.0,0.1585734282760209,0.5868837921848079,0.10825,2980,6709.076862779851,6709.076862779851,2622,4945.238126197508,4945.238126197508,358,1763.8387365823507,1763.8387365823507,2372,179,0.04475,9,2688,5352,0.5022421524663677,4000,0.014618123698537162,0.014618123698537162,0.5590897385649409,0.593,0.5726538431389645,0.09141019235291553,0.010577160493827176,0.0
20,0.9933078948761518,0.1596196599421148,0.17154415530141728,0.6003623284153929,0.4912309360652647,36.53844099446299,0.017422122325067374,2.133,8532.0,0.1596196599421148,0.6003623284153929,0.09875,2876,6201.949284892181,6201.949284892181,2618,4925.171366800716,4925.171366800716,258,1276.77791809145,1276.77791809145,2418,150,0.0375,5,2667,5294,0.5037778617302606,4000,0.01469570540529094,0.01469570540529094,0.5168291070743053,0.6045,0.5518974642445832,0.09172153803633126,0.020848765432098793,0.0
21,0.9936253892583492,0.16009837638811655,0.17154415530141728,0.6133151626506279,0.49217465213265804,35.07297946351884,0.018420693035989512,2.13275,8531.0,0.16009837638811655,0.6133151626506279,0.09525,2975,6345.96051296945,6345.96051296945,2704,4995.541486213255,4995.541486213255,271,1350.4190267561844,1350.4190267561844,2496,155,0.03875,5,2728,5471,0.4986291354414184,4000,0.014721367970821493,0.014721367970821493,0.5288300427474101,0.624,0.566898025648446,0.09149652961527331,0.01508950617283955,0.0
22,0.9929246882625341,0.16122474704207776,0.17154415530141728,0.6259150534783263,0.4935981238487701,33.675306581546444,0.019222815143436076,2.13375,8535.0,0.16122474704207776,0.6259150534783263,0.1065,2899,6037.386868105276,6037.386868105276,2637,4745.443322886657,4745.443322886657,262,1291.9435452186003,1291.9435452186003,2501,152,0.038,6,2709,5400,0.5016666666666667,4000,0.014919952481318553,0.014919952481318553,0.5031155723420644,0.62525,0.5519693434052386,0.09172045984892142,0.016956790123456744,0.0
23,0.9934936165414476,0.16215711874581606,0.17154415530141728,0.6381150309096971,0.4949023221310895,32.34090192471679,0.013677211693666785,2.1355,8542.0,0.16215711874581606,0.6381150309096971,0.10025,3089,6483.303556943868,6483.303556943868,2734,4805.701557878794,4805.701557878794,355,1677.6019990650575,1677.6019990650575,2482,155,0.03875,9,2733,5571,0.4905761981690899,4000,0.01512156648436572,0.01512156648436572,0.5402752964119439,0.6205,0.5723651778471663,0.09141452233229251,0.014719135802469197,0.0
24,0.9936473266844943,0.16290578969639588,0.17154415530141728,0.6499356352638546,0.4958953186117202,31.072593819896845,0.012907448309767202,2.13525,8541.0,0.16290578969639588,0.6499356352638546,0.10325,3131,6622.1763680982,6622.1763680982,2727,4775.309725190913,4775.309725190913,404,1846.8666429072903,1846.8666429072903,2513,150,0.0375,3,2777,5644,0.4920269312544295,4000,0.014874123601323999,0.014874123601323999,0.551848030674804,0.62825,0.5824088184048825,0.09126386772392676,0.027922839506172914,0.0
25,0.9937591531661862,0.16384507289031502,0.17154415530141728,0.6612551236804669,0.4972615665701945,29.870952143775106,0.013568563424937029,2.1355,8542.0,0.16384507289031502,0.6612551236804669,0.0995,3368,7584.238268039865,7584.238268039865,2729,4703.863353964955,4703.863353964955,639,2880.374914074912,2880.374914074912,2515,173,0.04325,5,2950,5883,0.5014448410674825,4000,0.014873389986797986,0.014873389986797986,0.632019855669936,0.62875,0.6307119134019616,0.09053932129897058,0.020870370370370317,0.0
26,0.9940522793686666,0.16515818253973766,0.17154415530141728,0.6718111247770575,0.49890973767168006,28.73987477584076,0.015212937610277508,2.1375,8550.0,0.16515818253973766,0.6718111247770575,0.1015,3369,7414.945926251534,7414.945926251534,2802,4858.879088240693,4858.879088240693,567,2556.0668380108336,2556.0668380108336,2564,167,0.04175,12,2924,5933,0.49283667621776506,4000,0.014704395878939975,0.014704395878939975,0.6179121605209096,0.641,0.6271472963125457,0.09059279055531182,0.029672839506172832,0.0
27,0.9939317072376711,0.16568923698618931,0.17154415530141728,0.6820732852362628,0.49989173442514945,27.661909347600723,0.013724086536280006,2.138,8552.0,0.16568923698618931,0.6820732852362628,0.0965,3291,6952.538135803656,6952.538135803656,2784,4613.23111783025,4613.23111783025,507,2339.307017973422,2339.307017973422,2578,159,0.03975,6,2929,5869,0.49906287272107686,4000,0.014389811650235191,0.014389811650235191,0.5793781779835897,0.6445,0.6054269067901538,0.0909185963981477,0.0076666666666665995,0.0
