cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9432921149972845,0.1311456095118546,0.17304657922090813,0.3054846991218627,0.4766442047693214,80.90765013913844,0.22344597577577804,2.1185,8474.0,0.1311456095118546,0.3054846991218627,0.1105,2292,3090.9626385860656,3090.9626385860656,2292,3090.9626385860656,3090.9626385860656,0,0.0,0.0,1995,252,0.063,14,2125,4287,0.49568462794494983,4000,0.0,0.0,0.2575802198821507,0.49875,0.3540481319292904,0.09468927802106065,0.018957364341085192,0.0
2,0.9872775002227288,0.13339781727040997,0.17304657922090813,0.31736636125484513,0.4789764579761493,78.02568873231345,0.049134908800967936,2.1185,8474.0,0.13339781727040997,0.31736636125484513,0.108,2416,4388.948534506963,4388.948534506963,2416,4388.948534506963,4388.948534506963,0,0.0,0.0,2107,198,0.0495,0,2261,4523,0.49988945390227724,4000,0.002567205143501324,0.002567205143501324,0.3657457112088831,0.52675,0.4301474267253299,0.09354778859912005,0.015255813953488406,0.0
3,0.9877715334291163,0.13572037192474393,0.17304657922090813,0.3300912404684796,0.4812646780318154,75.20555850107321,0.044309291036470584,2.1195,8478.0,0.13572037192474393,0.3300912404684796,0.10425,2529,5113.268385341557,5113.268385341557,2529,5113.268385341557,5113.268385341557,0,0.0,0.0,2279,174,0.0435,6,2378,4808,0.49459234608985025,4000,0.005135543760172119,0.005135543760172119,0.4261056987784276,0.56975,0.48356341926705654,0.09274654871099416,0.01668023255813955,0.0
4,0.9885984317097637,0.1373119938016535,0.17304657922090813,0.3435266985281653,0.48283276521358287,72.4636999060405,0.03846312723329874,2.12075,8483.0,0.1373119938016535,0.3435266985281653,0.1125,2744,5832.07422102008,5832.07422102008,2700,5639.593024619572,5639.593024619572,44,192.4811964005087,192.4811964005087,2440,147,0.03675,11,2609,5184,0.5032793209876543,4000,0.0073863218491074575,0.0073863218491074575,0.4860061850849661,0.61,0.5356037110509797,0.09196594433423531,0.02936046511627899,0.0
5,0.9904792133204511,0.13818615511325258,0.17304657922090813,0.3574417233748411,0.48375517704771653,69.81782575952612,0.03399397177305807,2.121,8484.0,0.13818615511325258,0.3574417233748411,0.095,3041,6892.0705916510715,6892.0705916510715,2745,5568.3540329679445,5568.3540329679445,296,1323.7165586831375,1323.7165586831375,2546,126,0.0315,3,2793,5587,0.4999105065330231,4000,0.00937361018871028,0.00937361018871028,0.5743392159708748,0.6365,0.5992035295825249,0.09101194705626213,0.013527131782945734,0.0
6,0.9932202646551324,0.13997024539790714,0.17304657922090813,0.37163977379034757,0.4854303321012172,67.27772287292609,0.023703717225682014,2.12325,8493.0,0.13997024539790714,0.37163977379034757,0.1115,3305,7830.414695663334,7830.414695663334,2859,5822.529479361177,5822.529479361177,446,2007.8852163021668,2007.8852163021668,2600,134,0.0335,13,2936,5905,0.4972057578323455,4000,0.01051595269546369,0.01051595269546369,0.6525345579718901,0.65,0.651520734783134,0.09022718897825299,0.028034883720930215,0.0
7,0.993221965607113,0.140895827391745,0.17304657922090813,0.3858547127667832,0.4864647792401031,64.85499443508046,0.023700028588279957,2.124,8496.0,0.140895827391745,0.3858547127667832,0.09225,3096,6556.723249022045,6556.723249022045,2899,5544.966097349283,5544.966097349283,197,1011.7571516727616,1011.7571516727616,2723,116,0.029,5,2926,5819,0.502835538752363,4000,0.011295087559652972,0.011295087559652972,0.5463936040851248,0.68075,0.6001361624510748,0.09099795756323388,0.01860271317829454,0.0
8,0.9929096392635117,0.14174969150617986,0.17304657922090813,0.4000969853036331,0.48747331796104,62.56189832895433,0.02292324652068605,2.12475,8499.0,0.14174969150617986,0.4000969853036331,0.09625,3896,9813.051156802365,9813.051156802365,2967,5699.928424233587,5699.928424233587,929,4113.122732568731,4113.122732568731,2825,123,0.03075,5,3384,6721,0.5034965034965035,4000,0.01191122047175486,0.01191122047175486,0.8177542630667956,0.70625,0.7731525578400773,0.08840271163239885,0.023129844961240376,0.0
9,0.9934953637367377,0.1422835309152862,0.17304657922090813,0.4142069054058426,0.48823409990861566,60.387713182781056,0.02114151273742592,2.12475,8499.0,0.1422835309152862,0.4142069054058426,0.0925,3473,7714.638581249456,7714.638581249456,3062,5727.905047834306,5727.905047834306,411,1986.7335334151355,1986.7335334151355,2842,104,0.026,6,3189,6315,0.5049881235154394,4000,0.01252071122227651,0.01252071122227651,0.6428865484374011,0.7105,0.6699319290624406,0.0899510210640634,0.0036240310077518822,0.0
10,0.9942664554026357,0.14290098409925636,0.17304657922090813,0.4280299601720491,0.488886300461362,58.333986332914236,0.02050507639729268,2.125,8500.0,0.14290098409925636,0.4280299601720491,0.099,3287,6693.553754747762,6693.553754747762,3050,5524.085435977341,5524.085435977341,237,1169.4683187704202,1169.4683187704202,2947,106,0.0265,1,3183,6234,0.5105871029836381,4000,0.013058623367282637,0.013058623367282637,0.5577961462289336,0.73675,0.6293776877373601,0.0905593346839396,0.015728682170542685,0.0
