cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.942658442200651,0.13779951312959074,0.17384115728132377,0.30548439306262787,0.46596884095089924,80.90469287080084,0.22022618337324382,2.1175,8470.0,0.13779951312959074,0.30548439306262787,0.11325,2293,3160.1861314973894,3160.1861314973894,2293,3160.1861314973894,3160.1861314973894,0,0.0,0.0,1959,257,0.06425,6,2135,4252,0.5021166509877705,4000,0.0,0.0,0.2633488442914272,0.48975,0.3539093065748563,0.08938272080275432,0.017184782608695715,0.0
2,0.9862760226818832,0.14002312998182723,0.17384115728132377,0.31742554166917125,0.4683945354026929,78.02027445635234,0.04714057230241033,2.11875,8475.0,0.14002312998182723,0.31742554166917125,0.092,2451,4602.597209748406,4602.597209748406,2451,4602.597209748406,4602.597209748406,0,0.0,0.0,2116,213,0.05325,13,2235,4567,0.48938033720166413,4000,0.002718146151753248,0.002718146151753248,0.3835497674790019,0.529,0.44172986048740115,0.08674810418537797,0.03052964426877469,0.0
3,0.9857791253476657,0.14187846172265775,0.17384115728132377,0.33024441337136096,0.4703924873715777,75.20591979353902,0.051829802629965185,2.12,8480.0,0.14187846172265775,0.33024441337136096,0.095,2536,5091.464893733619,5091.464893733619,2536,5091.464893733619,5091.464893733619,0,0.0,0.0,2215,182,0.0455,9,2423,4751,0.5099978951799621,4000,0.005031337727014934,0.005031337727014934,0.4242887411444329,0.55375,0.4760732446866597,0.08571780265940021,0.022786561264822147,0.0
4,0.9865584733939798,0.1428906906709979,0.17384115728132377,0.34364762942498117,0.4714130812604559,72.46871088869656,0.04767542428591363,2.122,8488.0,0.1428906906709979,0.34364762942498117,0.0925,2685,5627.266021003757,5627.266021003757,2644,5447.253041281561,5447.253041281561,41,180.0129797221927,180.0129797221927,2378,149,0.03725,12,2541,5063,0.5018763578905787,4000,0.007065407972084571,0.007065407972084571,0.4689388350836073,0.5945,0.5191633010501644,0.08442510096849508,0.025286561264822094,0.0
5,0.9889922645168319,0.14373737567266653,0.17384115728132377,0.35756473950406503,0.4725517211404163,69.82115390562653,0.036728117042197736,2.12225,8489.0,0.14373737567266653,0.35756473950406503,0.09025,3047,7055.498289382157,7055.498289382157,2743,5714.193057686942,5714.193057686942,304,1341.305231695202,1341.305231695202,2449,154,0.0385,9,2774,5496,0.504730713245997,4000,0.00913674332036867,0.00913674332036867,0.5879581907817975,0.61225,0.5976749144690785,0.08206975256592765,0.027536561264822068,0.0
6,0.9922426325674115,0.1448643902827515,0.17384115728132377,0.37173468644006097,0.4738779436071696,67.28358825833057,0.02695441896726141,2.123,8492.0,0.1448643902827515,0.37173468644006097,0.09475,3313,7820.842519601771,7820.842519601771,2859,5755.735655523812,5755.735655523812,454,2065.106864077957,2065.106864077957,2614,134,0.0335,5,2996,5927,0.5054833811371688,4000,0.009947689149738578,0.009947689149738578,0.6517368766334265,0.6535,0.6524421259800559,0.08042673622059833,0.015131422924901217,0.0
7,0.9934527213225618,0.14604599491386672,0.17384115728132377,0.38590311403718774,0.47525355546339604,64.85648146239298,0.022903332200656316,2.12325,8493.0,0.14604599491386672,0.38590311403718774,0.0945,3081,6699.923502321857,6699.923502321857,2874,5641.5059195715685,5641.5059195715685,207,1058.4175827502856,1058.4175827502856,2650,133,0.03325,9,2802,5731,0.4889199092653987,4000,0.010808430884934238,0.010808430884934238,0.5583269585267748,0.6625,0.599996175116065,0.08200011474651805,0.010638339920948536,0.0
8,0.9928239165007602,0.146957503799491,0.17384115728132377,0.39999733994049885,0.47635076114810565,62.561459549215144,0.02412581089977761,2.122,8488.0,0.146957503799491,0.39999733994049885,0.09725,3872,9638.649091159654,9638.649091159654,2960,5643.476612439516,5643.476612439516,912,3995.172478720142,3995.172478720142,2760,143,0.03575,9,3275,6632,0.49381785283474067,4000,0.01139331527837117,0.01139331527837117,0.8032207575965709,0.69,0.7579324545579424,0.07726202636326174,0.019746047430830083,0.0
9,0.9936189447224484,0.148021805015176,0.17384115728132377,0.414158597075225,0.47747906979511395,60.376633790524835,0.02317923764191617,2.12275,8491.0,0.148021805015176,0.414158597075225,0.083,3443,7612.193703576308,7612.193703576308,3047,5679.287169825975,5679.287169825975,396,1932.906533750329,1932.906533750329,2849,135,0.03375,5,3155,6292,0.5014303877940242,4000,0.012329057475604057,0.012329057475604057,0.6343494752979727,0.71225,0.6655096851787836,0.0800347094446365,0.03320553359683798,0.0
10,0.9928157148485297,0.14891346793935845,0.17384115728132377,0.427992157127938,0.47859337786610295,58.31742496530091,0.027683387087833137,2.125,8500.0,0.14891346793935845,0.427992157127938,0.085,3316,6801.044790810417,6801.044790810417,3084,5645.557187648177,5645.557187648177,232,1155.4876031622389,1155.4876031622389,2936,123,0.03075,19,3113,6252,0.49792066538707613,4000,0.013054529095701983,0.013054529095701983,0.5667537325674875,0.734,0.6336522395404925,0.08099043281378523,0.008280632411067246,0.0
