cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9439130871486369,0.13789399026950014,0.17154415530141728,0.30561718796040593,0.4661187164915793,80.86802944723004,0.21966968108323642,2.11825,8473.0,0.13789399026950014,0.30561718796040593,0.109,2071,2780.401553729401,2780.401553729401,2071,2780.401553729401,2780.401553729401,0,0.0,0.0,1700,254,0.0635,5,1960,3771,0.5197560328825245,4000,0.0,0.0,0.23170012947743074,0.425,0.30902007768645845,0.09845489961156771,0.013793553338449782,0.0
2,0.9877386869797655,0.1407805973377383,0.17154415530141728,0.3179016530006705,0.46910069949646993,77.91381446427762,0.0506424840167825,2.118,8472.0,0.1407805973377383,0.3179016530006705,0.1035,2117,3787.5711990348505,3787.5711990348505,2117,3787.5711990348505,3787.5711990348505,0,0.0,0.0,1825,208,0.052,5,1991,3942,0.5050735667174023,4000,0.002384962524407172,0.002384962524407172,0.3156309332528779,0.45625,0.3718785599517267,0.09814060720024137,0.007014198004604677,0.0
3,0.9875866310979812,0.1422584510040939,0.17154415530141728,0.331150303814693,0.47071421646615247,74.98501441115731,0.04987692134795159,2.11875,8475.0,0.1422584510040939,0.331150303814693,0.106,2231,4669.24095369362,4669.24095369362,2231,4669.24095369362,4669.24095369362,0,0.0,0.0,1804,189,0.04725,11,2023,4035,0.501363073110285,4000,0.004762626632544328,0.004762626632544328,0.3891034128077692,0.451,0.4138620476846615,0.09793068976157669,0.02446815042210282,0.0
4,0.988737265410595,0.1441868421482451,0.17154415530141728,0.34540663394287974,0.47267958629775864,72.09068051013904,0.04282220500632497,2.1185,8474.0,0.1441868421482451,0.34540663394287974,0.101,2270,5006.030937607161,5006.030937607161,2225,4808.918204565743,4808.918204565743,45,197.11273304142233,197.11273304142233,1936,186,0.0465,13,2092,4206,0.4973846885401807,4000,0.006854810329773245,0.006854810329773245,0.41716924480056194,0.484,0.44390154688033717,0.09778049226559832,0.011049117421335408,0.0
5,0.9907925166431365,0.14535687492007007,0.17154415530141728,0.3606002966868427,0.4739287468209337,69.23726838050547,0.0349840155672305,2.1185,8474.0,0.14535687492007007,0.3606002966868427,0.10375,2533,6040.560871833572,6040.560871833572,2291,4960.959701017193,4960.959701017193,242,1079.6011708163721,1079.6011708163721,1950,134,0.0335,4,2253,4483,0.5025652464867276,4000,0.008354623808107144,0.008354623808107144,0.5033800726527556,0.4875,0.49702804359165337,0.09751485978204173,0.02288085188027633,0.0
6,0.992034962177808,0.14632602019711036,0.17154415530141728,0.37636000000202535,0.4751631492842232,66.44548242455629,0.028470556076034874,2.1215,8486.0,0.14632602019711036,0.37636000000202535,0.1095,2697,6785.834095729715,6785.834095729715,2357,5216.105350871862,5216.105350871862,340,1569.7287448578468,1569.7287448578468,2004,136,0.034,12,2280,4701,0.48500319081046583,4000,0.009390002039263774,0.009390002039263774,0.5654861746440958,0.501,0.5396917047864576,0.09730154147606772,0.019433231005372198,0.0
7,0.9919167857425449,0.14688778480867065,0.17154415530141728,0.3926423401649243,0.475958651407536,63.724357234613784,0.02878932889899226,2.12275,8491.0,0.14688778480867065,0.3926423401649243,0.10425,2586,6267.106470343708,6267.106470343708,2359,5077.369176301604,5077.369176301604,227,1189.7372940420935,1189.7372940420935,2077,135,0.03375,7,2338,4663,0.5013939523911645,4000,0.010031508149237466,0.010031508149237466,0.5222588725285988,0.51925,0.5210553235171593,0.09739472338241421,0.029287989255564084,0.0
8,0.9933217103844316,0.14793845296020547,0.17154415530141728,0.4094899781012159,0.4772223545719809,61.074113057644276,0.0255461500863347,2.123,8492.0,0.14793845296020547,0.4094899781012159,0.112,3127,8578.74489659739,8578.74489659739,2393,5210.995448413755,5210.995448413755,734,3367.749448183648,3367.749448183648,2120,145,0.03625,3,2668,5247,0.5084810367829236,4000,0.011073274429160075,0.011073274429160075,0.714895408049723,0.53,0.6409372448298338,0.09679531377585084,0.02998004604758253,0.0
9,0.9933040340519641,0.14903570422033913,0.17154415530141728,0.4267378900067386,0.47845940003490434,58.50287631888476,0.022644240651776105,2.12375,8495.0,0.14903570422033913,0.4267378900067386,0.10725,2875,7694.105423674637,7694.105423674637,2423,5375.963736858964,5375.963736858964,452,2318.1416868156643,2318.1416868156643,2090,138,0.0345,7,2471,4965,0.4976837865055388,4000,0.011792037437765936,0.011792037437765936,0.641175451972833,0.5225,0.5937052711836998,0.0970314736440815,0.02014831158864161,0.0
10,0.9930274725032234,0.1497791184178992,0.17154415530141728,0.44417064959557967,0.4793724586491947,56.02189504446619,0.023816083745382223,2.124,8496.0,0.1497791184178992,0.44417064959557967,0.10725,2815,6991.554200047656,6991.554200047656,2494,5315.893531862034,5315.893531862034,321,1675.660668185636,1675.660668185636,2187,147,0.03675,7,2520,5002,0.5037984806077569,4000,0.012367945444835432,0.012367945444835432,0.5826295166705895,0.54675,0.5682777100023537,0.09715861144998823,0.030125287797390654,0.0
11,0.9929007800588345,0.15128419761617448,0.17154415530141728,0.461686062239721,0.4809478993631804,53.63295467744162,0.021251147901238724,2.12525,8501.0,0.15128419761617448,0.461686062239721,0.11475,2983,7416.626511086094,7416.626511086094,2522,5206.27370914569,5206.27370914569,461,2210.3528019403966,2210.3528019403966,2182,135,0.03375,5,2602,5165,0.5037754114230397,4000,0.01257683649716284,0.01257683649716284,0.618052209257123,0.5455,0.5890313255542738,0.09705484337222864,0.008811013046814975,0.0
12,0.9929584684243092,0.15220025017345645,0.17154415530141728,0.47881480579036284,0.4820626365866564,51.35402484781422,0.0195677184793321,2.12675,8507.0,0.15220025017345645,0.47881480579036284,0.10325,3321,8893.863157177091,8893.863157177091,2478,5033.188954258045,5033.188954258045,843,3860.674202919062,3860.674202919062,2284,116,0.029,12,2884,5605,0.5145405887600357,4000,0.012591544383998812,0.012591544383998812,0.7411552630980291,0.571,0.6730931578588175,0.09663453421070592,0.012636415963162007,0.0
13,0.9933176618920202,0.15264288627330294,0.17154415530141728,0.49566316956558565,0.48276981760936544,49.17383148666187,0.015424595135876096,2.12675,8507.0,0.15264288627330294,0.49566316956558565,0.1055,3101,7850.547912704476,7850.547912704476,2517,5045.535398527963,5045.535398527963,584,2805.0125141765193,2805.0125141765193,2262,139,0.03475,4,2658,5363,0.49561812418422524,4000,0.013046581701458056,0.013046581701458056,0.6542123260586519,0.5655,0.6187273956351911,0.09690636302182405,0.014223714504988494,0.0
14,0.9933497463311456,0.15379589858605622,0.17154415530141728,0.5123028114987371,0.48422414707489725,47.086091969242666,0.01752205549168417,2.1275,8510.0,0.15379589858605622,0.5123028114987371,0.09925,2893,6783.772853517936,6783.772853517936,2561,5068.054425923554,5068.054425923554,332,1715.7184275943866,1715.7184275943866,2261,157,0.03925,7,2552,5154,0.4951493985254172,4000,0.013239926865957876,0.013239926865957876,0.5653144044597809,0.56525,0.5652886426758685,0.09717355678662067,0.015101496546431337,0.0
15,0.9928298675060716,0.15471050280876697,0.17154415530141728,0.5283414521293819,0.48525643772127325,45.10452718413656,0.01942849965358406,2.12775,8511.0,0.15471050280876697,0.5283414521293819,0.10225,2828,6383.94830671881,6383.94830671881,2579,5088.872727566661,5088.872727566661,249,1295.0755791521542,1295.0755791521542,2308,131,0.03275,9,2544,5136,0.4953271028037383,4000,0.013778428817233828,0.013778428817233828,0.5319956922265232,0.577,0.549997415335914,0.09725001292332043,0.028985610130468187,0.0
16,0.9923416568170847,0.15555186245254418,0.17154415530141728,0.5437823553463802,0.4862910243012002,43.2269742736567,0.02518275698140216,2.1285,8514.0,0.15555186245254418,0.5437823553463802,0.11025,3049,7085.1073041264535,7085.1073041264535,2613,5039.9794194203405,5039.9794194203405,436,2045.1278847061128,2045.1278847061128,2387,150,0.0375,9,2703,5436,0.49724061810154524,4000,0.01398469495533824,0.01398469495533824,0.5904256086771552,0.59675,0.5929553652062931,0.09703522317396854,0.011776093630084472,0.0
17,0.9927901994587609,0.15645020856563613,0.17154415530141728,0.5588106779382762,0.48758069660788067,41.43691368265758,0.024454252536104875,2.129,8516.0,0.15645020856563613,0.5588106779382762,0.104,3053,7162.414796156769,7162.414796156769,2556,4777.674189590204,4777.674189590204,497,2384.7406065665664,2384.7406065665664,2386,155,0.03875,10,2701,5439,0.4965986394557823,4000,0.014194877015011447,0.014194877015011447,0.596867899679681,0.5965,0.5967207398078087,0.09701639630096096,0.010351496546431305,0.0
18,0.9932742855543275,0.15696494651565995,0.17154415530141728,0.5731837144902335,0.4883576424814866,39.73820602747313,0.02163287794508897,2.12975,8519.0,0.15696494651565995,0.5731837144902335,0.10525,3019,7046.5664059285555,7046.5664059285555,2585,4910.585680077873,4910.585680077873,434,2135.98072585069,2135.98072585069,2427,135,0.03375,9,2796,5446,0.5134043334557473,4000,0.014740128770315507,0.014740128770315507,0.587213867160664,0.60675,0.5950283202963984,0.09702485839851802,0.019078472755180376,0.0
19,0.993754617691901,0.15774575478603778,0.17154415530141728,0.5871463350663506,0.4894288559695193,38.120016306257675,0.0193597316497492,2.1305,8522.0,0.15774575478603778,0.5871463350663506,0.10125,2897,6332.4997406095445,6332.4997406095445,2589,4799.738527184873,4799.738527184873,308,1532.7612134246735,1532.7612134246735,2405,136,0.034,9,2613,5302,0.492832893247831,4000,0.014497102327565767,0.014497102327565767,0.527708311717418,0.60125,0.5571249870304509,0.09721437506484776,0.02921815042210285,0.0
20,0.9940349469149099,0.15827553395325578,0.17154415530141728,0.6006585048431364,0.4902776007831184,36.577558388833424,0.013987004758100927,2.13025,8521.0,0.15827553395325578,0.6006585048431364,0.10325,2923,6561.011037898765,6561.011037898765,2618,5042.918765109377,5042.918765109377,305,1518.0922727893876,1518.0922727893876,2415,156,0.039,9,2608,5338,0.4885724990633196,4000,0.01459986195754494,0.01459986195754494,0.5467509198248515,0.60375,0.5695505518949109,0.09715224724052546,0.015706254796623242,0.0
21,0.994039058656748,0.15880097289143133,0.17154415530141728,0.6135941218185903,0.4911194746544087,35.115125472216405,0.015269942459851929,2.131,8524.0,0.15880097289143133,0.6135941218185903,0.09925,2907,6240.072808847965,6240.072808847965,2660,4985.950170607167,4985.950170607167,247,1254.1226382408013,1254.1226382408013,2400,142,0.0355,7,2633,5307,0.49613717731298285,4000,0.014721604871052094,0.014721604871052094,0.5200060674039537,0.6,0.5520036404423723,0.09723998179778814,0.02738085188027639,0.0
22,0.9936533010662602,0.1596234069261628,0.17154415530141728,0.6263028237623506,0.492376967686499,33.71694067520427,0.01803201642952068,2.1315,8526.0,0.1596234069261628,0.6263028237623506,0.10675,2918,6005.281150576518,6005.281150576518,2660,4730.8049022742025,4730.8049022742025,258,1274.4762483023057,1274.4762483023057,2435,147,0.03675,10,2683,5353,0.5012142723706333,4000,0.014820967046577633,0.014820967046577633,0.5004400958813348,0.60875,0.5437640575288009,0.097281179712356,0.01988085188027633,0.0
23,0.9937298564543764,0.16031356922730153,0.17154415530141728,0.6384860314679034,0.49340152183112673,32.3889479716131,0.01640637708546232,2.1335,8534.0,0.16031356922730153,0.6384860314679034,0.0995,3040,6578.971904045939,6578.971904045939,2663,4821.765721772567,4821.765721772567,377,1757.2061822733851,1757.2061822733851,2525,161,0.04025,8,2778,5565,0.4991913746630728,4000,0.015021168286797188,0.015021168286797188,0.5482476586704492,0.63125,0.5814485952022695,0.09709275702398866,0.02406101304681496,0.0
24,0.9938428422278404,0.16102250264672724,0.17154415530141728,0.6501955220687354,0.4943286088871734,31.126838412578785,0.015717954958093243,2.13475,8539.0,0.16102250264672724,0.6501955220687354,0.10475,3119,6697.154945952735,6697.154945952735,2700,4776.934855544131,4776.934855544131,419,1920.2200904086235,1920.2200904086235,2522,159,0.03975,9,2737,5641,0.4851976599893636,4000,0.014741228522983608,0.014741228522983608,0.5580962454960148,0.6305,0.5870577472976088,0.09706471126351196,0.013438795088257849,0.0
25,0.9937019074572181,0.1615519150893464,0.17154415530141728,0.6614855389066874,0.4952422615574012,29.92990365664249,0.01815428319314561,2.13625,8545.0,0.1615519150893464,0.6614855389066874,0.10475,3281,7422.686978490821,7422.686978490821,2706,4855.063144725408,4855.063144725408,575,2567.6238337654104,2567.6238337654104,2563,163,0.04075,8,2931,5844,0.5015400410677618,4000,0.014709953024287471,0.014709953024287471,0.6185572482075169,0.64075,0.6274343489245102,0.09686282825537745,0.00883403683806594,0.0
26,0.9939354321626939,0.16254171699804335,0.17154415530141728,0.6724274486437667,0.4965211638703426,28.788989442865926,0.018027143241121615,2.1385,8554.0,0.16254171699804335,0.6724274486437667,0.11275,3330,7491.289547742877,7491.289547742877,2734,4790.5464573524505,4790.5464573524505,596,2700.743090390407,2700.743090390407,2535,137,0.03425,11,2836,5865,0.4835464620630861,4000,0.015091906329308334,0.015091906329308334,0.6242741289785211,0.63375,0.6280644773871127,0.09685967761306444,0.018485610130468122,0.0
27,0.9939393569261527,0.1630553161891433,0.17154415530141728,0.6828538386553268,0.49747417607726035,27.709348674957216,0.01697468691354447,2.1385,8554.0,0.1630553161891433,0.6828538386553268,0.11475,3214,6978.01244985627,6978.01244985627,2696,4601.606620391104,4601.606620391104,518,2376.405829465165,2376.405829465165,2569,139,0.03475,4,2931,5783,0.5068303648625281,4000,0.015284624591932647,0.015284624591932647,0.581501037487974,0.64225,0.6058006224927843,0.09697099688753609,0.022625287797390592,0.0
