cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9439130871486369,0.13789399026950014,0.17154415530141728,0.30561718796040593,0.4661187164915793,80.86802944723004,0.21966968108323642,2.11825,8473.0,0.13789399026950014,0.30561718796040593,0.109,2071,2780.401553729401,2780.401553729401,2071,2780.401553729401,2780.401553729401,0,0.0,0.0,1700,254,0.0635,5,1960,3771,0.5197560328825245,4000,0.0,0.0,0.23170012947743074,0.425,0.30902007768645845,0.1015451003884323,0.013793553338449782,0.0
2,0.9877386869797655,0.1407805973377383,0.17154415530141728,0.3179016530006705,0.46910069949646993,77.91381446427762,0.0506424840167825,2.118,8472.0,0.1407805973377383,0.3179016530006705,0.107,2117,3787.5711990348505,3787.5711990348505,2117,3787.5711990348505,3787.5711990348505,0,0.0,0.0,1825,208,0.052,5,1991,3942,0.5050735667174023,4000,0.002384962524407172,0.002384962524407172,0.3156309332528779,0.45625,0.3718785599517267,0.10185939279975864,0.007351496546431302,0.0
3,0.9875866310979812,0.1422584510040939,0.17154415530141728,0.331150303814693,0.47071421646615247,74.98501441115731,0.04987692134795159,2.11875,8475.0,0.1422584510040939,0.331150303814693,0.1115,2231,4669.24095369362,4669.24095369362,2231,4669.24095369362,4669.24095369362,0,0.0,0.0,1804,189,0.04725,11,2023,4035,0.501363073110285,4000,0.004762626632544328,0.004762626632544328,0.3891034128077692,0.451,0.4138620476846615,0.10206931023842332,0.02127052954719877,0.0
4,0.988955096762808,0.1441868421482451,0.17154415530141728,0.34540030287908896,0.47267958629775864,72.08993051013904,0.04207220500632497,2.1185,8474.0,0.1441868421482451,0.34540030287908896,0.10625,2270,5006.030937607161,5006.030937607161,2225,4808.918204565743,4808.918204565743,45,197.11273304142233,197.11273304142233,1936,186,0.0465,13,2092,4206,0.4973846885401807,4000,0.006854810329773245,0.006854810329773245,0.41716924480056194,0.484,0.44390154688033717,0.1022195077344017,0.01270625479662324,0.0
5,0.9907925166431365,0.14535687492007007,0.17154415530141728,0.3605938462102148,0.4739287468209337,69.23651838050547,0.0349840155672305,2.1185,8474.0,0.14535687492007007,0.3605938462102148,0.11075,2533,6040.5596944624285,6040.5596944624285,2291,4960.95852364605,4960.95852364605,242,1079.6011708163721,1079.6011708163721,1950,134,0.0335,4,2253,4483,0.5025652464867276,4000,0.008354623808107144,0.008354623808107144,0.5033799745384937,0.4875,0.49702798472309623,0.10248513992361549,0.01895069071373756,0.0
6,0.992034962177808,0.14632602019711036,0.17154415530141728,0.37635342964242907,0.4751631492842232,66.44473242455629,0.028470556076034874,2.1215,8486.0,0.14632602019711036,0.37635342964242907,0.115,2697,6785.833860372506,6785.833860372506,2357,5216.105115514652,5216.105115514652,340,1569.7287448578468,1569.7287448578468,2004,136,0.034,12,2280,4701,0.48500319081046583,4000,0.009390001687133689,0.009390001687133689,0.565486155030995,0.501,0.539691693018597,0.10269845846509298,0.01777052954719882,0.0
7,0.9919849033578281,0.14688778480867065,0.17154415530141728,0.3926616954298967,0.475958651407536,63.722116101997344,0.02729819628255404,2.12275,8491.0,0.14688778480867065,0.3926616954298967,0.1095,2586,6267.106470343708,6267.106470343708,2359,5077.369176301604,5077.369176301604,227,1189.7372940420935,1189.7372940420935,2077,135,0.03375,7,2338,4663,0.5013939523911645,4000,0.010031507809206665,0.010031507809206665,0.5222588725285988,0.51925,0.5210553235171593,0.1026052766175858,0.029410207214121242,0.0
8,0.9931108170450981,0.14793845296020547,0.17154415530141728,0.4095161721121452,0.4772223545719809,61.0726219250719,0.026296150130400455,2.123,8492.0,0.14793845296020547,0.4095161721121452,0.118,3127,8578.737318541143,8578.737318541143,2393,5210.989200928369,5210.989200928369,734,3367.748117612785,3367.748117612785,2120,145,0.03625,3,2668,5247,0.5084810367829236,4000,0.011073274142081911,0.011073274142081911,0.7148947765450356,0.53,0.6409368659270214,0.10320468432963512,0.0324221028396009,0.0
9,0.9933040340428617,0.14903570422033913,0.17154415530141728,0.4267667438220057,0.47845940003490434,58.50138518634644,0.022644240685821767,2.12375,8495.0,0.14903570422033913,0.4267667438220057,0.11525,2875,7694.104577147449,7694.104577147449,2423,5375.962890331776,5375.962890331776,452,2318.1416868156643,2318.1416868156643,2090,138,0.0345,7,2471,4965,0.4976837865055388,4000,0.011792035288672733,0.011792035288672733,0.6411753814289006,0.5225,0.5937052288573403,0.10296852614428671,0.02366020721412132,0.0
10,0.9932177561440978,0.1497791184178992,0.17154415530141728,0.4442067718345299,0.4793724586491947,56.019957959293414,0.023370131110937175,2.124,8496.0,0.1497791184178992,0.4442067718345299,0.1135,2815,6991.457052825255,6991.457052825255,2494,5315.819574107958,5315.819574107958,321,1675.6374787173108,1675.6374787173108,2187,147,0.03675,7,2520,5002,0.5037984806077569,4000,0.012367942026790079,0.012367942026790079,0.5826214210687227,0.54675,0.5682728526412336,0.10284136426320617,0.03231734458940905,0.0
