cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.942658442200651,0.13779951312959074,0.17384115728132377,0.30548439306262787,0.46596884095089924,80.90469287080084,0.22022618337324382,2.1175,8470.0,0.13779951312959074,0.30548439306262787,0.11325,2293,3160.1861314973894,3160.1861314973894,2293,3160.1861314973894,3160.1861314973894,0,0.0,0.0,1959,257,0.06425,6,2135,4252,0.5021166509877705,4000,0.0,0.0,0.2633488442914272,0.48975,0.3539093065748563,0.10176954653287429,0.017184782608695715,0.0
2,0.9864947795442955,0.14002312998182723,0.17384115728132377,0.31743275674487914,0.4683945354026929,78.01952445635234,0.04639057230241033,2.11875,8475.0,0.14002312998182723,0.31743275674487914,0.10375,2451,4602.597209748406,4602.597209748406,2451,4602.597209748406,4602.597209748406,0,0.0,0.0,2116,213,0.05325,13,2235,4567,0.48938033720166413,4000,0.002718146151753248,0.002718146151753248,0.3835497674790019,0.529,0.44172986048740115,0.102208649302437,0.03379940711462448,0.0
3,0.9859666081071007,0.14187846172265775,0.17384115728132377,0.3302535484879609,0.4703924873715777,75.20415324128497,0.05081325037590411,2.12,8480.0,0.14187846172265775,0.3302535484879609,0.112,2536,5091.46450170884,5091.46450170884,2536,5091.46450170884,5091.46450170884,0,0.0,0.0,2215,182,0.0455,9,2423,4751,0.5099978951799621,4000,0.005031337727014934,0.005031337727014934,0.42428870847570127,0.55375,0.4760732250854207,0.10238036612542711,0.02317786561264823,0.0
4,0.9862803335627155,0.1428906906709979,0.17384115728132377,0.34365749494700815,0.4714130812604559,72.46796088869655,0.0486919765399747,2.122,8488.0,0.1428906906709979,0.34365749494700815,0.11225,2685,5627.260489153106,5627.260489153106,2644,5447.247509430912,5447.247509430912,41,180.0129797221927,180.0129797221927,2378,149,0.03725,12,2541,5063,0.5018763578905787,4000,0.007065407824482713,0.007065407824482713,0.4689383740960531,0.5945,0.5191630244576318,0.10259581512228816,0.02846146245059289,0.0
5,0.9888929063548744,0.14373737567266653,0.17384115728132377,0.35757159224132934,0.4725517211404163,69.82092993315369,0.03725414456935127,2.12225,8489.0,0.14373737567266653,0.35757159224132934,0.1145,3047,7055.502700860873,7055.502700860873,2743,5714.197469165658,5714.197469165658,304,1341.305231695202,1341.305231695202,2449,154,0.0385,9,2774,5496,0.504730713245997,4000,0.00913674105582116,0.00913674105582116,0.5879585584050238,0.61225,0.5976751350430143,0.10298837567521507,0.03806916996047427,0.0
6,0.9921695611776327,0.1448643902827515,0.17384115728132377,0.37174263745206754,0.4738779436071696,67.28358825847701,0.027178391586562017,2.123,8492.0,0.1448643902827515,0.37174263745206754,0.122,3313,7820.834581090192,7820.834581090192,2859,5755.731192833003,5755.731192833003,454,2065.1033882571883,2065.1033882571883,2614,134,0.0335,5,2996,5927,0.5054833811371688,4000,0.009947688290430058,0.009947688290430058,0.651736215090795,0.6535,0.6524417290544771,0.10326220864527239,0.021083003952569124,0.0
7,0.9935141826410092,0.14604599491386672,0.17384115728132377,0.38594310237438173,0.47525355546339604,64.85499032994623,0.021412199607457348,2.12325,8493.0,0.14604599491386672,0.38594310237438173,0.1155,3081,6699.931169398335,6699.931169398335,2874,5641.513586648047,5641.513586648047,207,1058.4175827502856,1058.4175827502856,2650,133,0.03325,9,2802,5731,0.4889199092653987,4000,0.010808428023378641,0.010808428023378641,0.5583275974498147,0.6625,0.5999965584698889,0.10299998279234945,0.012563241106719358,0.0
8,0.9930392656423626,0.14691798347876406,0.17384115728132377,0.4000340452994909,0.47628874233374124,62.55929848897604,0.023375810832162995,2.122,8488.0,0.14691798347876406,0.4000340452994909,0.121,3870,9632.498668740966,9632.498668740966,2956,5629.042163439919,5629.042163439919,914,4003.456505301054,4003.456505301054,2762,137,0.03425,9,3276,6632,0.4939686369119421,4000,0.011393314823618717,0.011393314823618717,0.8027082223950135,0.6905,0.7578249334370081,0.10378912466718504,0.022083003952569125,0.0
9,0.9932829008335111,0.1477533751118956,0.17384115728132377,0.41418580633085744,0.47726471758884653,60.37657666914874,0.024185611278511418,2.12275,8491.0,0.1477533751118956,0.41418580633085744,0.1085,3433,7609.431897281002,7609.431897281002,3043,5705.183182762987,5705.183182762987,390,1904.2487145180075,1904.2487145180075,2861,132,0.033,5,3149,6294,0.5003177629488401,4000,0.012197801654951644,0.012197801654951644,0.634119324773364,0.71525,0.6665715948640184,0.1033328579743201,0.03379249011857699,0.0
10,0.9925828674889939,0.14926849882263682,0.17384115728132377,0.4280298203427774,0.4789329312703468,58.319478305782454,0.0273516013442632,2.125,8500.0,0.14926849882263682,0.4280298203427774,0.11325,3332,6803.514720049464,6803.514720049464,3096,5640.736389880774,5640.736389880774,236,1162.7783301686957,1162.7783301686957,2955,134,0.0335,19,3084,6287,0.4905360267218069,4000,0.012904952633555232,0.012904952633555232,0.5669595600040748,0.73875,0.6356757360024449,0.10317837868001223,0.00769861660079052,0.0
