cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.942658442200651,0.13779951312959074,0.17384115728132377,0.30548439306262787,0.46596884095089924,80.90469287080084,0.22022618337324382,2.1175,8470.0,0.13779951312959074,0.30548439306262787,0.11325,2293,3160.1861314973894,3160.1861314973894,2293,3160.1861314973894,3160.1861314973894,0,0.0,0.0,1959,257,0.06425,6,2135,4252,0.5021166509877705,4000,0.0,0.0,0.2633488442914272,0.48975,0.3539093065748563,0.1,0.017184782608695715,0.0
2,0.9862760226818832,0.14002312998182723,0.17384115728132377,0.31742554166917125,0.4683945354026929,78.02027445635234,0.04714057230241033,2.11875,8475.0,0.14002312998182723,0.31742554166917125,0.101,2451,4602.597209748406,4602.597209748406,2451,4602.597209748406,4602.597209748406,0,0.0,0.0,2116,213,0.05325,13,2235,4567,0.48938033720166413,4000,0.002718146151753248,0.002718146151753248,0.3835497674790019,0.529,0.44172986048740115,0.1,0.03338735177865615,0.0
3,0.9859666081071007,0.14187846172265775,0.17384115728132377,0.33024594611805524,0.4703924873715777,75.20490324128498,0.05081325037590411,2.12,8480.0,0.14187846172265775,0.33024594611805524,0.11,2536,5091.464893733619,5091.464893733619,2536,5091.464893733619,5091.464893733619,0,0.0,0.0,2215,182,0.0455,9,2423,4751,0.5099978951799621,4000,0.005031337727014934,0.005031337727014934,0.4242887411444329,0.55375,0.4760732446866597,0.1,0.02280632411067196,0.0
4,0.9862803335627155,0.1428906906709979,0.17384115728132377,0.34365018367129685,0.4714130812604559,72.46871088869656,0.0486919765399747,2.122,8488.0,0.1428906906709979,0.34365018367129685,0.11,2685,5627.262563234593,5627.262563234593,2644,5447.249583512398,5447.249583512398,41,180.0129797221927,180.0129797221927,2378,149,0.03725,12,2541,5063,0.5018763578905787,4000,0.007065407972084571,0.007065407972084571,0.4689385469361769,0.5945,0.5191631281617062,0.1,0.028339920948616593,0.0
5,0.9889922644942415,0.14373737567266653,0.17384115728132377,0.35756719317592073,0.4725517211404163,69.82115390568693,0.03672811710257343,2.12225,8489.0,0.14373737567266653,0.35756719317592073,0.1115,3047,7055.502700860873,7055.502700860873,2743,5714.197469165658,5714.197469165658,304,1341.305231695202,1341.305231695202,2449,154,0.0385,9,2774,5496,0.504730713245997,4000,0.009136741978686747,0.009136741978686747,0.5879585584050238,0.61225,0.5976751350430143,0.1,0.03553557312252964,0.0
6,0.9922426325666448,0.1448643902827515,0.17384115728132377,0.37173740025337443,0.4738779436071696,67.28358825839324,0.026954418969559406,2.123,8492.0,0.1448643902827515,0.37173740025337443,0.11825,3313,7820.838817685042,7820.838817685042,2859,5755.735429427853,5755.735429427853,454,2065.1033882571883,2065.1033882571883,2614,134,0.0335,5,2996,5927,0.5054833811371688,4000,0.009947689081750309,0.009947689081750309,0.6517365681403658,0.6535,0.6524419408842195,0.1,0.021670948616600794,0.0
7,0.9934527213361662,0.14604599491386672,0.17384115728132377,0.38591066530390356,0.47525355546339604,64.85648146241422,0.022903332159218345,2.12325,8493.0,0.14604599491386672,0.38591066530390356,0.11225,3081,6699.924455333004,6699.924455333004,2874,5641.506872582715,5641.506872582715,207,1058.4175827502856,1058.4175827502856,2650,133,0.03325,9,2802,5731,0.4889199092653987,4000,0.010808429460650299,0.010808429460650299,0.5583270379443704,0.6625,0.5999962227666222,0.1,0.011860671936758882,0.0
8,0.9930392656366827,0.146957503799491,0.17384115728132377,0.400000651998961,0.47635076114810565,62.5607095491858,0.023375810849209335,2.122,8488.0,0.146957503799491,0.400000651998961,0.1175,3872,9638.656312641231,9638.656312641231,2960,5643.479811140424,5643.479811140424,912,3995.176501500814,3995.176501500814,2760,143,0.03575,9,3275,6632,0.49381785283474067,4000,0.011393314444811233,0.011393314444811233,0.8032213593867022,0.69,0.7579328156320213,0.1,0.0232114624505928,0.0
9,0.9936189447724167,0.148021805015176,0.17384115728132377,0.4141620003880934,0.47747906979511395,60.375883790341106,0.023179237487522122,2.12275,8491.0,0.148021805015176,0.4141620003880934,0.10525,3443,7612.19193737627,7612.19193737627,3047,5679.285403625939,5679.285403625939,396,1932.906533750329,1932.906533750329,2849,135,0.03375,5,3155,6292,0.5014303877940242,4000,0.012329058750259792,0.012329058750259792,0.6343493281146363,0.71225,0.6655095968687819,0.1,0.033880434782608715,0.0
10,0.9928157148902527,0.14891346793935845,0.17384115728132377,0.4279959035537675,0.47859337786610295,58.316674964969756,0.027683386940409668,2.125,8500.0,0.14891346793935845,0.4279959035537675,0.10775,3316,6801.045999426662,6801.045999426662,3084,5645.558396264452,5645.558396264452,232,1155.4876031622084,1155.4876031622084,2936,123,0.03075,19,3113,6252,0.49792066538707613,4000,0.013054529688589233,0.013054529688589233,0.5667538332855079,0.734,0.6336522999713048,0.1,0.007665019762845837,0.0
11,0.9927391893442803,0.15078165129160986,0.17384115728132377,0.44165006941663965,0.4805348604502241,56.37573934464272,0.02611844936774851,2.125,8500.0,0.15078165129160986,0.44165006941663965,0.10925,3478,7233.000215259802,7233.000215259802,3107,5552.638086451343,5552.638086451343,371,1680.3621288084496,1680.3621288084496,2971,148,0.037,8,3173,6449,0.49201426577763996,4000,0.01361225932680587,0.01361225932680587,0.6027500179382665,0.74275,0.65875001076296,0.1,0.03304249011857707,0.0
12,0.9935616907608646,0.15209946080803596,0.17384115728132377,0.4548264624946096,0.48216173876159835,54.56405337653663,0.023083840726278164,2.12525,8501.0,0.15209946080803596,0.4548264624946096,0.11275,4214,9963.922654884223,9963.922654884223,3201,5570.120333640566,5570.120333640566,1013,4393.802321243707,4393.802321243707,3023,134,0.0335,5,3683,7237,0.5089125328174658,4000,0.014011315715578015,0.014011315715578015,0.8303268879069494,0.75575,0.8004961327441696,0.1,0.027961462450592833,0.0
13,0.9939944734732477,0.15257515477140135,0.17384115728132377,0.46731970571161047,0.4828846779865842,52.87873662628524,0.018354414335998135,2.12575,8503.0,0.15257515477140135,0.46731970571161047,0.10675,3828,8367.54019072575,8367.54019072575,3180,5455.4796190769985,5455.4796190769985,648,2912.0605716487544,2912.0605716487544,3043,121,0.03025,6,3481,6871,0.506622034638335,4000,0.014516530128593438,0.014516530128593438,0.6972950158937543,0.76075,0.7226770095362526,0.1,0.011036561264822109,0.0
14,0.9936683359914803,0.15379775266240367,0.17384115728132377,0.4791629677552986,0.4842607437285144,51.31204693725606,0.020176006622971355,2.12575,8503.0,0.15379775266240367,0.4791629677552986,0.10975,3550,6724.469766019069,6724.469766019069,3236,5259.989146332942,5259.989146332942,314,1464.480619686108,1464.480619686108,3081,139,0.03475,8,3242,6631,0.4889156989895943,4000,0.01452768656143371,0.01452768656143371,0.5603724805015423,0.77025,0.6443234883009255,0.1,0.023846837944664023,0.0
15,0.9943440035478289,0.15465033069885717,0.17384115728132377,0.4904873391583297,0.4853064192740867,49.84754468337098,0.016387696319027326,2.12475,8499.0,0.15465033069885717,0.4904873391583297,0.11675,3484,6346.502407524766,6346.502407524766,3276,5351.524595552571,5351.524595552571,208,994.977811972183,994.977811972183,3159,146,0.0365,12,3336,6643,0.5021827487580912,4000,0.014637026246247707,0.014637026246247707,0.5288752006270198,0.78975,0.6332251203762118,0.1,0.02712351778656119,0.0
