cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9420707362355891,0.13834490978061514,0.17384115728132377,0.30549516216705835,0.4666212830787191,80.90704240134997,0.2229148708422081,2.1175,8470.0,0.13834490978061514,0.30549516216705835,0.11325,2296,3131.038603005494,3131.038603005494,2296,3131.038603005494,3131.038603005494,0,0.0,0.0,1956,276,0.069,6,2122,4252,0.49905926622765756,4000,0.0,0.0,0.26091988358376944,0.489,0.3521519301502617,0.09471772104774608,0.017184782608695715,0.0
2,0.9870202065554224,0.14051703715258712,0.17384115728132377,0.3173962650036979,0.46908577621278014,78.02072764592376,0.04536848912631234,2.11875,8475.0,0.14051703715258712,0.3173962650036979,0.09675,2460,4621.372164054561,4621.372164054561,2460,4621.372164054561,4621.372164054561,0,0.0,0.0,2141,209,0.05225,13,2323,4601,0.5048902412519017,4000,0.0026286395707172416,0.0026286395707172416,0.38511434700451463,0.53525,0.44516860820270876,0.09332247087695937,0.0313132411067194,0.0
3,0.9853655581754489,0.14171939316249546,0.17384115728132377,0.33010186664399943,0.4704441402279777,75.20996956733903,0.05385766407007755,2.11975,8479.0,0.14171939316249546,0.33010186664399943,0.101,2589,5300.688631872342,5300.688631872342,2589,5300.688631872342,5300.688631872342,0,0.0,0.0,2244,168,0.042,10,2378,4833,0.4920339333747155,4000,0.00483290035005055,0.00483290035005055,0.4417240526559917,0.561,0.48943443159359507,0.09265848352609608,0.008881422924901239,0.0
4,0.9889289772726761,0.1430310574196158,0.17384115728132377,0.34344264603600594,0.4717660906013392,72.46724273851076,0.039054372326378047,2.12125,8485.0,0.1430310574196158,0.34344264603600594,0.102,2726,5821.7792742252905,5821.7792742252905,2679,5615.711832476284,5615.711832476284,47,206.06744174900325,206.06744174900325,2345,136,0.034,12,2572,5071,0.5071977913626504,4000,0.006641013584716594,0.006641013584716594,0.4851482728520671,0.58625,0.5255889637112403,0.0921161655443314,0.020529644268774683,0.0
5,0.992471048326185,0.1453878823508093,0.17384115728132377,0.35733248540437695,0.47408650844297723,69.81008890220608,0.02399185522012258,2.12275,8491.0,0.1453878823508093,0.35733248540437695,0.10175,3040,6967.1596452530575,6967.1596452530575,2745,5661.000739401026,5661.000739401026,295,1306.1589058520317,1306.1589058520317,2559,146,0.0365,10,2846,5599,0.5083050544740132,4000,0.008396379395435971,0.008396379395435971,0.580596637104373,0.63975,0.6042579822626238,0.09093613026606065,0.03105632411067194,0.0
6,0.9928249701190587,0.14668308527300755,0.17384115728132377,0.37141245824857166,0.4754605864064914,67.26958355691437,0.021529563189139074,2.123,8492.0,0.14668308527300755,0.37141245824857166,0.10525,3368,7830.492644651687,7830.492644651687,2936,5864.295436514055,5864.295436514055,432,1966.1972081376302,1966.1972081376302,2577,127,0.03175,5,2987,5945,0.5024390243902439,4000,0.009745424929383628,0.009745424929383628,0.6525410537209195,0.64425,0.6492246322325517,0.09026163051651173,0.015698616600790527,0.0
7,0.9937190922218533,0.14736615708208198,0.17384115728132377,0.38549601567682595,0.47629873277801793,64.84475373778734,0.018424934758375415,2.12375,8495.0,0.14736615708208198,0.38549601567682595,0.0935,3128,6597.2061724526275,6597.2061724526275,2906,5459.521992122534,5459.521992122534,222,1137.6841803301013,1137.6841803301013,2711,105,0.02625,7,2886,5839,0.4942627162185306,4000,0.010739966462000443,0.010739966462000443,0.5497671810376731,0.67775,0.6009603086226039,0.09098559537066095,0.021124505928853732,0.0
8,0.993083895368877,0.14811154496764642,0.17384115728132377,0.3995904270922729,0.4771826508191367,62.55151705328854,0.02128638690990951,2.12525,8501.0,0.14811154496764642,0.3995904270922729,0.107,3932,9929.537646426374,9929.537646426374,2984,5768.543965023145,5768.543965023145,948,4160.993681403251,4160.993681403251,2800,132,0.033,8,3326,6732,0.494058229352347,4000,0.011584786966254555,0.011584786966254555,0.8274614705354622,0.7,0.7764768823212773,0.08835284676518085,0.027387351778656144,0.0
9,0.993280151797031,0.14891597084167893,0.17384115728132377,0.41375453682135827,0.4781256094850644,60.368512395402334,0.019041642165571904,2.12625,8505.0,0.14891597084167893,0.41375453682135827,0.09225,3471,7539.862007579218,7539.862007579218,3122,5855.22755986559,5855.22755986559,349,1684.634447713626,1684.634447713626,2888,129,0.03225,8,3109,6359,0.4889133511558421,4000,0.012278401950947536,0.012278401950947536,0.6283218339648824,0.722,0.6657931003789295,0.09001310349431607,0.026327075098814157,0.0
10,0.9927362908351071,0.149488220115929,0.17384115728132377,0.4276836799333925,0.478882500049378,58.306573567421424,0.02125060002232594,2.12825,8513.0,0.149488220115929,0.4276836799333925,0.10275,3414,6913.430544663438,6913.430544663438,3169,5685.4207752410375,5685.4207752410375,245,1228.0097694223937,1228.0097694223937,2963,121,0.03025,16,3095,6377,0.48533793319742824,4000,0.012906101575705133,0.012906101575705133,0.5761192120552384,0.74075,0.641971527233143,0.09037042709150286,0.021360671936758835,0.0
