cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.943723991770845,0.1374311524372181,0.17154415530141728,0.30563463772804017,0.4657454913331097,80.86792070220339,0.21963275228611256,2.11825,8473.0,0.1374311524372181,0.30563463772804017,0.109,2071,2772.252804459619,2772.252804459619,2071,2772.252804459619,2772.252804459619,0,0.0,0.0,1700,247,0.06175,5,1945,3771,0.5157783081410766,4000,0.0,0.0,0.23102106703828232,0.425,0.3086126402229694,0.09537081039665546,0.013793553338449782,0.0
2,0.9871085279260201,0.14092851382618918,0.17154415530141728,0.31787536163067603,0.46927322612380956,77.91533669287976,0.05235041673455263,2.118,8472.0,0.14092851382618918,0.31787536163067603,0.10075,2126,3811.6134572868727,3811.6134572868727,2126,3811.6134572868727,3811.6134572868727,0,0.0,0.0,1816,230,0.0575,5,1997,3942,0.5065956367326231,4000,0.0023947777039538464,0.0023947777039538464,0.3176344547738796,0.454,0.37218067286432777,0.09441728990703509,0.005926899462778246,0.0
3,0.9877125791993192,0.1422994866027442,0.17154415530141728,0.3311550782844599,0.4706786374799227,74.9806007471006,0.04421289972610523,2.11875,8475.0,0.1422994866027442,0.3311550782844599,0.1015,2157,4517.125361382059,4517.125361382059,2157,4517.125361382059,4517.125361382059,0,0.0,0.0,1817,179,0.04475,11,1967,3974,0.4949672873678913,4000,0.004539443131552574,0.004539443131552574,0.3764271134484735,0.45425,0.40755626806908407,0.09388665597896374,0.020526093630084397,0.0
4,0.9878665732394076,0.14332442900602727,0.17154415530141728,0.3453665559154468,0.471906558911761,72.08757005993064,0.045810797272386294,2.1195,8478.0,0.14332442900602727,0.3453665559154468,0.097,2263,5104.544402528609,5104.544402528609,2220,4917.44110780458,4917.44110780458,43,187.10329472402995,187.10329472402995,1930,152,0.038,13,2070,4193,0.49367994276174576,4000,0.006777589654567424,0.006777589654567424,0.4253787002106819,0.4825,0.44822722012640914,0.09327659169810387,0.018886415963161984,0.0
5,0.9913614423158664,0.1444475973723215,0.17154415530141728,0.36054142974060105,0.4730774243137942,69.22880286994527,0.03225824150694226,2.12,8480.0,0.1444475973723215,0.36054142974060105,0.104,2494,5956.584968487962,5956.584968487962,2245,4841.231685510529,4841.231685510529,249,1115.3532829774335,1115.3532829774335,1948,115,0.02875,4,2213,4442,0.49819900945520035,4000,0.008758912161184875,0.008758912161184875,0.4963820807072888,0.487,0.4926292484243733,0.0926105612736344,0.03107290867229473,0.0
6,0.9920479976222542,0.14529174554065213,0.17154415530141728,0.37633995226922556,0.47396008176181137,66.43534034639568,0.028611237892346316,2.121,8484.0,0.14529174554065213,0.37633995226922556,0.1025,2681,6898.362082083903,6898.362082083903,2318,5218.397220269057,5218.397220269057,363,1679.9648618148503,1679.9648618148503,2036,116,0.029,12,2340,4717,0.49607801568793725,4000,0.009645767069925698,0.009645767069925698,0.5748635068402773,0.509,0.5485181041041665,0.0917722284384375,0.005711818879508779,0.0
7,0.9939704775972662,0.14687689274165613,0.17154415530141728,0.39271821873327145,0.47570248635747886,63.700463493175114,0.018300458676856323,2.12175,8487.0,0.14687689274165613,0.39271821873327145,0.10175,2533,6306.289038586896,6306.289038586896,2326,5218.375566334849,5218.375566334849,207,1087.9134722520353,1087.9134722520353,2014,145,0.03625,11,2286,4547,0.502749065317792,4000,0.01098148314831175,0.01098148314831175,0.5255240865488642,0.5035,0.5167144519293185,0.09224928322106023,0.022578472755180323,0.0
8,0.9939248685377017,0.1481474825346803,0.17154415530141728,0.4096305884441033,0.4770985412507276,61.0453466257611,0.022975254744240312,2.12225,8489.0,0.1481474825346803,0.4096305884441033,0.103,3106,8664.174082833031,8664.174082833031,2366,5278.901109740255,5278.901109740255,740,3385.2729730927645,3385.2729730927645,2049,138,0.0345,4,2614,5155,0.5070805043646944,4000,0.011584622378597956,0.011584622378597956,0.7220145069026924,0.51225,0.6381087041416155,0.09042836943787577,0.015956254796623215,0.0
9,0.9940370099657441,0.14903824662227338,0.17154415530141728,0.4269652788696006,0.478028842811883,58.46956873407077,0.02037313862058368,2.1235,8494.0,0.14903824662227338,0.4269652788696006,0.09625,2806,7326.315624012301,7326.315624012301,2374,5114.959579672452,5114.959579672452,432,2211.3560443398414,2211.3560443398414,2163,138,0.0345,7,2427,4969,0.4884282551821292,4000,0.01241079695859312,0.01241079695859312,0.6105263020009741,0.54075,0.5826157812005844,0.09126076328199124,0.03498561013046819,0.0
10,0.9935721019592971,0.14994147074353215,0.17154415530141728,0.44452109292863184,0.47914115392016543,55.982797214286876,0.022197351084004502,2.1235,8494.0,0.14994147074353215,0.44452109292863184,0.10175,2777,7027.025406892349,7027.025406892349,2448,5281.295344601471,5281.295344601471,329,1745.7300622908797,1745.7300622908797,2149,135,0.03375,8,2433,4926,0.4939098660170524,4000,0.012938472847404334,0.012938472847404334,0.5855854505743135,0.53725,0.5662512703445881,0.09150623094483118,0.031020529547198805,0.0
