cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.942658442200651,0.13779951312959074,0.17384115728132377,0.3054249112492054,0.46596884095089924,80.91981566876768,0.22022618337324382,2.1175,8470.0,0.13779951312959074,0.3054249112492054,0.11325,2293,3160.1861314973894,3160.1861314973894,2293,3160.1861314973894,3160.1861314973894,0,0.0,0.0,1959,257,0.06425,6,2135,4252,0.5021166509877705,4000,0.0,0.0,0.2633488442914272,0.48975,0.3539093065748563,0.09469136040137716,0.017184782608695715,0.0
2,0.9862760226818832,0.14002312998182723,0.17384115728132377,0.31722274953250557,0.4683945354026929,78.06682940135441,0.04714057230241033,2.11875,8475.0,0.14002312998182723,0.31722274953250557,0.0965,2451,4602.638039353404,4602.638039353404,2451,4602.638039353404,4602.638039353404,0,0.0,0.0,2116,213,0.05325,13,2235,4567,0.48938033720166413,4000,0.002718146151753248,0.002718146151753248,0.383553169946085,0.529,0.441731901967651,0.09337402147048524,0.031563241106719375,0.0
3,0.9859666081044621,0.14187846172265775,0.17384115728132377,0.3298000957665468,0.4703924873715777,75.29940177257501,0.05081325038198976,2.12,8480.0,0.14187846172265775,0.3298000957665468,0.10425,2536,5091.63208004179,5091.63208004179,2536,5091.63208004179,5091.63208004179,0,0.0,0.0,2215,182,0.0455,9,2423,4751,0.5099978951799621,4000,0.0050313412789078134,0.0050313412789078134,0.42430267333678046,0.55375,0.4760816040020682,0.09285877593996898,0.02223221343873527,0.0
4,0.9862803335673959,0.1428906906709979,0.17384115728132377,0.34284054357251326,0.4714130812604559,72.62870761277561,0.048691976530303806,2.122,8488.0,0.1428906906709979,0.34284054357251326,0.1025,2685,5627.6870039978785,5627.6870039978785,2644,5447.666542152206,5447.666542152206,41,180.02046184566873,180.02046184566873,2378,149,0.03725,12,2541,5063,0.5018763578905787,4000,0.007065440522752638,0.007065440522752638,0.46897391699978414,0.5945,0.5191843501998705,0.09221223474700195,0.02635375494071146,0.0
5,0.9889922645310021,0.14373737567266653,0.17384115728132377,0.3562245065762627,0.4725517211404163,70.06799340155032,0.036728117025239156,2.12225,8489.0,0.14373737567266653,0.3562245065762627,0.10075,3047,7056.379428854652,7056.379428854652,2743,5714.990911368584,5714.990911368584,304,1341.3885174860661,1341.3885174860661,2449,154,0.0385,9,2774,5496,0.504730713245997,4000,0.009136861189802723,0.009136861189802723,0.588031619071172,0.61225,0.5977189714427031,0.09103421542835946,0.03047529644268776,0.0
6,0.9923696031162529,0.14506105347407502,0.17384115728132377,0.36971897896961337,0.47404419158583777,67.63603185056976,0.025693074516258727,2.123,8492.0,0.14506105347407502,0.36971897896961337,0.10825,3316,7808.786299169343,7808.786299169343,2863,5749.168695736044,5749.168695736044,453,2059.6176034333134,2059.6176034333134,2611,134,0.0335,5,2997,5927,0.5056521005567741,4000,0.009947819213259266,0.009947819213259266,0.6507321915973909,0.65275,0.6515393149584345,0.09022691027562349,0.018232213438735267,0.0
7,0.9934365635207495,0.14608688761030972,0.17384115728132377,0.38305501539804726,0.4751832139101751,65.33055185327763,0.019810120065859554,2.12325,8493.0,0.14608688761030972,0.38305501539804726,0.1035,3083,6702.796710157526,6702.796710157526,2874,5629.569188279534,5629.569188279534,209,1073.227521877993,1073.227521877993,2626,126,0.0315,9,2847,5709,0.49868628481345245,4000,0.010788999726127846,0.010788999726127846,0.5585663925130806,0.6565,0.5977398355078484,0.09103390246738229,0.011915019762845813,0.0
8,0.9936060024032403,0.1472162659230423,0.17384115728132377,0.3961457256437941,0.4764813074852226,63.17804976553419,0.017444899292829105,2.123,8492.0,0.1472162659230423,0.3961457256437941,0.10775,3868,9697.523070528441,9697.523070528441,2974,5765.716025662923,5765.716025662923,894,3931.807044865525,3931.807044865525,2795,137,0.03425,9,3225,6663,0.4840162089149032,4000,0.011927272801100997,0.011927272801100997,0.8081269225439693,0.69875,0.7643761535263816,0.08853435769710429,0.021894268774703574,0.0
9,0.9927205233350029,0.14745767071566274,0.17384115728132377,0.40913868825656174,0.4770576822890349,61.15618885100861,0.02064184902459383,2.12275,8491.0,0.14745767071566274,0.40913868825656174,0.09325,3476,7723.091636849224,7723.091636849224,3091,5854.131202407353,5854.131202407353,385,1868.960434441867,1868.960434441867,2818,119,0.02975,5,3134,6294,0.4979345408325389,4000,0.01262626908360009,0.01262626908360009,0.6435909697373817,0.7045,0.6679545818424291,0.08998068127236357,0.022955533596837885,0.0
10,0.9936515684686992,0.14840501863953748,0.17384115728132377,0.4216581615190467,0.4781269199164658,59.267749934629386,0.018123829563838185,2.125,8500.0,0.14840501863953748,0.4216581615190467,0.098,3306,6768.909968221153,6768.909968221153,3070,5599.690779333797,5599.690779333797,236,1169.2191888873488,1169.2191888873488,2939,119,0.02975,19,3026,6245,0.4845476381104884,4000,0.013141264833725708,0.013141264833725708,0.5640758306850491,0.73475,0.6323454984110295,0.09051481752383456,0.03164426877470361,0.0
11,0.9931827582979684,0.14950255240433372,0.17384115728132377,0.43368008030444116,0.4794874632815776,57.522670391686496,0.02120757090098645,2.126,8504.0,0.14950255240433372,0.43368008030444116,0.1075,3554,7379.462155714236,7379.462155714236,3139,5474.306723499675,5474.306723499675,415,1905.1554322145596,1905.1554322145596,2939,149,0.03725,6,3192,6493,0.491606345294933,4000,0.013895451806736328,0.013895451806736328,0.6149551796428018,0.73475,0.6628731077856811,0.09005690338321479,0.019772727272727275,0.0
12,0.9938858573331153,0.15111939785115075,0.17384115728132377,0.44513276686266323,0.48109444753109065,55.92009115272149,0.020077128207288433,2.12775,8511.0,0.15111939785115075,0.44513276686266323,0.10125,4219,9999.741616467965,9999.741616467965,3204,5619.327031295821,5619.327031295821,1015,4380.414585172139,4380.414585172139,3026,136,0.034,11,3667,7245,0.5061421670117322,4000,0.013926235178690731,0.013926235178690731,0.833311801372261,0.7565,0.8025870808233566,0.08796119378764966,0.026022727272727364,0.0
13,0.9940805980797821,0.15207904369515418,0.17384115728132377,0.4557804641509468,0.4822908237363866,54.460220033642194,0.01962969981491841,2.12725,8509.0,0.15207904369515418,0.4557804641509468,0.09325,3886,8412.79638703538,8412.79638703538,3228,5446.45296202761,5446.45296202761,658,2966.343425007771,2966.343425007771,3053,132,0.033,6,3470,6939,0.5000720564922899,4000,0.014253040784375151,0.014253040784375151,0.7010663655862232,0.76325,0.7259398193517339,0.089110902709724,0.015840909090909072,0.0
14,0.9936892691544804,0.15306839442774506,0.17384115728132377,0.46556204853912747,0.4835511489823846,53.13339998338809,0.020217453273773958,2.12825,8513.0,0.15306839442774506,0.46556204853912747,0.09975,3511,6581.928569382837,6581.928569382837,3223,5233.943362765732,5233.943362765732,288,1347.985206617106,1347.985206617106,3094,147,0.03675,8,3309,6605,0.5009841029523089,4000,0.014470172559420114,0.014470172559420114,0.548494047448524,0.7735,0.6384964284691144,0.09042255357296329,0.018036561264822115,0.0
15,0.993218367102305,0.15388476805349097,0.17384115728132377,0.4746633203835115,0.48453807005506555,51.925366171533085,0.018901119939576078,2.12875,8515.0,0.15388476805349097,0.4746633203835115,0.101,3512,6357.6050319871365,6357.6050319871365,3297,5350.572225717491,5350.572225717491,215,1007.0328062696541,1007.0328062696541,3144,129,0.03225,10,3331,6656,0.5004507211538461,4000,0.014626878780690206,0.014626878780690206,0.5298004193322172,0.786,0.6322802515993303,0.09051579622601005,0.019948616600790503,0.0
16,0.9928400981185668,0.15513926631703118,0.17384115728132377,0.4831149960102615,0.4860017187933452,50.832244213534,0.020690401759710656,2.1305,8522.0,0.15513926631703118,0.4831149960102615,0.106,3495,6084.5753510914155,6084.5753510914155,3294,5177.418540083781,5177.418540083781,201,907.1568110076336,907.1568110076336,3168,132,0.033,7,3403,6663,0.5107309019960978,4000,0.014850863350968512,0.014850863350968512,0.5070479459242424,0.792,0.6210287675545454,0.09068456848668183,0.007833992094861686,0.0
17,0.9941074274819262,0.15603279752177948,0.17384115728132377,0.4908050186554784,0.4873099867330665,49.86162211131441,0.016291145681888,2.13125,8525.0,0.15603279752177948,0.4908050186554784,0.095,3941,7940.311855314164,7940.311855314164,3266,5022.195876926036,5022.195876926036,675,2918.1159783881185,2918.1159783881185,3221,126,0.0315,11,3588,7162,0.5009773806199386,4000,0.015434080377142858,0.015434080377142858,0.6616926546094585,0.80525,0.7191155927656752,0.08921326610851488,0.00697628458498023,0.0
18,0.9942385782096197,0.15684251736479837,0.17384115728132377,0.497602782131044,0.48835283227608123,49.011007526736606,0.016350055028628824,2.1315,8526.0,0.15684251736479837,0.497602782131044,0.10325,3822,7404.652012377331,7404.652012377331,3315,5157.780837279626,5157.780837279626,507,2246.871175097709,2246.871175097709,3211,144,0.036,5,3544,7033,0.5039101379212285,4000,0.015194684649356888,0.015194684649356888,0.6170543343647261,0.80275,0.6913326006188356,0.08963001099071748,0.0200701581027668,0.0
19,0.9938216696751262,0.15721054367628082,0.17384115728132377,0.5034797730814621,0.4889646353642604,48.273991873180144,0.019378768946048272,2.132,8528.0,0.15721054367628082,0.5034797730814621,0.1025,3662,6426.016451972696,6426.016451972696,3384,5174.990436245666,5174.990436245666,278,1251.0260157270284,1251.0260157270284,3239,132,0.033,6,3352,6901,0.48572670627445297,4000,0.015083190651221158,0.015083190651221158,0.53550137099768,0.80975,0.645200822598608,0.09032198766102088,0.018448616600790446,0.0
