cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9439130871486369,0.13789399026950014,0.17154415530141728,0.3056881995766165,0.4661187164915793,80.84969775907186,0.21966968108323642,2.11825,8473.0,0.13789399026950014,0.3056881995766165,0.109,2071,2780.401553729401,2780.401553729401,2071,2780.401553729401,2780.401553729401,0,0.0,0.0,1700,254,0.0635,5,1960,3771,0.5197560328825245,4000,0.0,0.0,0.23170012947743074,0.425,0.30902007768645845,0.09536469883470312,0.013793553338449782,0.0
2,0.9877386869797655,0.1407805973377383,0.17154415530141728,0.31813869086947627,0.46910069949646993,77.85819038018602,0.0506424840167825,2.118,8472.0,0.1407805973377383,0.31813869086947627,0.10075,2117,3787.5312498303606,3787.5312498303606,2117,3787.5312498303606,3787.5312498303606,0,0.0,0.0,1825,208,0.052,5,1991,3942,0.5050735667174023,4000,0.002384962524407172,0.002384962524407172,0.31562760415250374,0.45625,0.37187656249150225,0.09442185156262747,0.005926899462778246,0.0
3,0.9875866311218158,0.1422584510040939,0.17154415530141728,0.3316710219857579,0.47071421646615247,74.87338107646744,0.04987692129126808,2.11875,8475.0,0.1422584510040939,0.3316710219857579,0.1015,2231,4667.083287039658,4667.083287039658,2231,4667.083287039658,4667.083287039658,0,0.0,0.0,1804,189,0.04725,11,2023,4035,0.501363073110285,4000,0.004762629890787431,0.004762629890787431,0.3889236072532724,0.451,0.41375416435196344,0.09379368753472056,0.020526093630084397,0.0
4,0.9887372654976982,0.1441868421482451,0.17154415530141728,0.3463605877706724,0.47267958629775864,71.90283416135625,0.04282220479386715,2.1185,8474.0,0.1441868421482451,0.3463605877706724,0.09625,2270,5005.6413110756175,5005.6413110756175,2225,4808.539414698459,4808.539414698459,45,197.1018963771568,197.1018963771568,1936,186,0.0465,13,2092,4206,0.4973846885401807,4000,0.00685394223945913,0.00685394223945913,0.41713677592293336,0.484,0.44388206555376,0.09334176901669361,0.01119435917114353,0.0
5,0.9906309926716292,0.14535687492007007,0.17154415530141728,0.3621641767737317,0.4739287468209337,68.95220525113449,0.036245359993319244,2.1185,8474.0,0.14535687492007007,0.3621641767737317,0.0985,2532,6039.189601612575,6039.189601612575,2290,4959.6792259471995,4959.6792259471995,242,1079.5103756653807,1079.5103756653807,1951,134,0.0335,4,2252,4483,0.5023421815748382,4000,0.008353866292007758,0.008353866292007758,0.5032658001343393,0.48775,0.49705948008060363,0.09254410779879095,0.0235260936300844,0.0
6,0.9920349622338092,0.14632602019711036,0.17154415530141728,0.3787203636626344,0.4751631492842232,66.0412899196575,0.028470555939914093,2.1215,8486.0,0.14632602019711036,0.3787203636626344,0.1055,2698,6785.661161548379,6785.661161548379,2357,5211.969044249517,5211.969044249517,341,1573.6921172988555,1573.6921172988555,2003,136,0.034,12,2280,4701,0.48500319081046583,4000,0.009389672508070646,0.009389672508070646,0.5654717634623178,0.50075,0.5395830580773906,0.09190625412883915,0.015758633921719056,0.0
7,0.9916151410286165,0.14710140520906806,0.17154415530141728,0.39598307387976467,0.47634174522202505,63.184727710148366,0.03103046073197516,2.12275,8491.0,0.14710140520906806,0.39598307387976467,0.09775,2590,6304.630335591727,6304.630335591727,2357,5077.515632466863,5077.515632466863,233,1227.1147031248656,1227.1147031248656,2074,138,0.0345,7,2342,4664,0.5021440823327615,4000,0.010031253364861362,0.010031253364861362,0.5253858612992668,0.5185,0.5226315167795601,0.0921605272483066,0.028880851880276337,0.0
8,0.9926758522463027,0.14787160017324466,0.17154415530141728,0.41404117930521406,0.47738444639301175,60.378395141241725,0.029725922521468058,2.123,8492.0,0.14787160017324466,0.41404117930521406,0.105,3132,8634.134603316883,8634.134603316883,2400,5281.5736218630755,5281.5736218630755,732,3352.5609814538093,3352.5609814538093,2112,133,0.03325,3,2627,5244,0.5009534706331045,4000,0.011076658169530207,0.011076658169530207,0.7195112169430136,0.528,0.6429067301658081,0.09035639904751289,0.027003069838833493,0.0
9,0.9928437356130295,0.14890613606951625,0.17154415530141728,0.432579820906136,0.47855282360240636,57.64004411382324,0.027377017075022644,2.12425,8497.0,0.14890613606951625,0.432579820906136,0.101,2839,7471.8959165869055,7471.8959165869055,2405,5237.100930459671,5237.100930459671,434,2234.7949861272364,2234.7949861272364,2123,126,0.0315,7,2449,4962,0.4935509875050383,4000,0.011731648337802355,0.011731648337802355,0.6226579930488568,0.53075,0.5858947958293141,0.09121157806256029,0.029468150422102823,0.0
10,0.9939271440150071,0.14961968845493845,0.17154415530141728,0.4516592596590654,0.4794233071758732,54.97100970367284,0.02382270166426008,2.1245,8498.0,0.14961968845493845,0.4516592596590654,0.098,2811,6985.814956367082,6985.814956367082,2504,5356.257208337898,5356.257208337898,307,1629.557748029182,1629.557748029182,2145,127,0.03175,7,2443,4956,0.4929378531073446,4000,0.012480584630862093,0.012480584630862093,0.5821512463638749,0.53625,0.563790747818325,0.09154313878272513,0.004839600920951703,0.0
11,0.9948205965221654,0.1508048922055684,0.17154415530141728,0.47070616876740023,0.48064022937648654,52.393517246354584,0.01959857202460326,2.126,8504.0,0.1508048922055684,0.47070616876740023,0.109,2968,7382.320633100261,7382.320633100261,2458,4940.310878214903,4940.310878214903,510,2442.0097548853514,2442.0097548853514,2231,150,0.0375,8,2634,5199,0.5066358915175996,4000,0.012630870686437527,0.012630870686437527,0.6151933860916371,0.55775,0.5922160316549823,0.09111675952517527,0.012258633921719109,0.0
12,0.9934740056507486,0.1515193273918726,0.17154415530141728,0.4894751578763542,0.48170211304671745,49.92261455353279,0.021893241058785307,2.126,8504.0,0.1515193273918726,0.4894751578763542,0.10675,3336,9054.373606130644,9054.373606130644,2511,5288.050262839824,5288.050262839824,825,3766.3233432908296,3766.3233432908296,2235,138,0.0345,6,2726,5571,0.48931969125830194,4000,0.012956029418330512,0.012956029418330512,0.7545311338441575,0.55875,0.6762186803064945,0.08985671979540259,0.03292766692248661,0.0
13,0.9931916468913294,0.1529496306968674,0.17154415530141728,0.5083474037098862,0.48331638863323234,47.537976722114735,0.02226941470178226,2.1255,8502.0,0.1529496306968674,0.5083474037098862,0.10125,3093,7793.143153948537,7793.143153948537,2511,4999.2846900925,4999.2846900925,582,2793.8584638560264,2793.8584638560264,2279,147,0.03675,4,2701,5372,0.5027922561429635,4000,0.013488813720244824,0.013488813720244824,0.649428596162324,0.56975,0.6175571576973944,0.0907366426345391,0.024613392171911053,0.0
14,0.9929588044911247,0.1533422466108302,0.17154415530141728,0.5267275961615068,0.48396352722787545,45.26106624499557,0.024712961316238954,2.12625,8505.0,0.1533422466108302,0.5267275961615068,0.09525,2856,6755.148749916182,6755.148749916182,2499,4921.4932649011125,4921.4932649011125,357,1833.6554850150737,1833.6554850150737,2305,126,0.0315,7,2565,5161,0.49699670606471613,4000,0.013616606375525843,0.013616606375525843,0.5629290624929683,0.57625,0.568257437495781,0.09147613843756329,0.013729278587874205,0.0
15,0.9937707931614252,0.15382423732785552,0.17154415530141728,0.544618445382901,0.48456451914266185,43.08370258925973,0.021477628807283444,2.12675,8507.0,0.15382423732785552,0.544618445382901,0.09825,2754,6271.709030318296,6271.709030318296,2507,4973.087784592718,4973.087784592718,247,1298.621245725566,1298.621245725566,2286,147,0.03675,8,2522,5040,0.5003968253968254,4000,0.01405562991891765,0.01405562991891765,0.5226424191931478,0.5715,0.5421854515158887,0.09186721822726168,0.023008633921719146,0.0
16,0.9948093874986069,0.15431761590840903,0.17154415530141728,0.5621813446433372,0.4851986387756739,40.99481162771584,0.015858059452833233,2.1265,8506.0,0.15431761590840903,0.5621813446433372,0.10525,2989,6890.849128232818,6890.849128232818,2585,5003.257367019301,5003.257367019301,404,1887.5917612135083,1887.5917612135083,2365,126,0.0315,9,2701,5354,0.5044826298094882,4000,0.013875160132548699,0.013875160132548699,0.5742374273526869,0.59125,0.5810424564116121,0.09128436315382582,0.02675306983883352,0.0
17,0.9945516075689079,0.15489633474574388,0.17154415530141728,0.5793454777605633,0.4861423846790468,38.99594961451438,0.016530157279786253,2.12825,8513.0,0.15489633474574388,0.5793454777605633,0.10025,2981,7075.236169422201,7075.236169422201,2520,4909.390418262838,4909.390418262838,461,2165.8457511593615,2165.8457511593615,2314,140,0.035,9,2619,5295,0.49461756373937676,4000,0.014395222336775208,0.014395222336775208,0.5896030141184676,0.5785,0.5851618084710806,0.0912225728729338,0.014101496546431336,0.0
