cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.942658442200651,0.13779951312959074,0.17384115728132377,0.3056957631930692,0.46596884095089924,80.85107567800928,0.22022618337324382,2.1175,8470.0,0.13779951312959074,0.3056957631930692,0.11325,2293,3160.1861314973894,3160.1861314973894,2293,3160.1861314973894,3160.1861314973894,0,0.0,0.0,1959,257,0.06425,6,2135,4252,0.5021166509877705,4000,0.0,0.0,0.2633488442914272,0.48975,0.3539093065748563,0.09469136040137716,0.017184782608695715,0.0
2,0.9862760226818832,0.14002312998182723,0.17384115728132377,0.31814806692763176,0.4683945354026929,77.85523970513707,0.04714057230241033,2.11875,8475.0,0.14002312998182723,0.31814806692763176,0.0965,2452,4606.96697305866,4606.96697305866,2452,4606.96697305866,4606.96697305866,0,0.0,0.0,2115,213,0.05325,13,2234,4567,0.48916137508211077,4000,0.002718146151753248,0.002718146151753248,0.383913914421523,0.52875,0.4418483486529138,0.09337227477020629,0.031563241106719375,0.0
3,0.9859666081164861,0.14187846172265775,0.17384115728132377,0.33184032405543934,0.4703924873715777,74.86998073894077,0.05081325035425979,2.12,8480.0,0.14187846172265775,0.33184032405543934,0.10425,2536,5090.886748242976,5090.886748242976,2536,5090.886748242976,5090.886748242976,0,0.0,0.0,2215,182,0.0455,9,2423,4751,0.5099978951799621,4000,0.005032336241340805,0.005032336241340805,0.42424056235354596,0.55375,0.4760443374121276,0.0928593349388181,0.02223221343873527,0.0
4,0.9862803335460054,0.1428906906709979,0.17384115728132377,0.34655406104854325,0.4714130812604559,71.90217812910936,0.04869197657450712,2.122,8488.0,0.1428906906709979,0.34655406104854325,0.1025,2684,5616.683137210566,5616.683137210566,2643,5436.6971639125395,5436.6971639125395,41,179.98597329802513,179.98597329802513,2379,149,0.03725,12,2541,5063,0.5018763578905787,4000,0.007066107131462873,0.007066107131462873,0.4680569281008415,0.59475,0.5187341568605048,0.09221898764709244,0.02635375494071146,0.0
5,0.9889922643637921,0.14373737567266653,0.17384115728132377,0.3623981257030291,0.4725517211404163,68.94864027987182,0.03672811737682537,2.12225,8489.0,0.14373737567266653,0.3623981257030291,0.10075,3046,7044.998683672337,7044.998683672337,2743,5708.20470740889,5708.20470740889,303,1336.7939762634358,1336.7939762634358,2450,154,0.0385,9,2774,5496,0.504730713245997,4000,0.009134365751912635,0.009134365751912635,0.5870832236393125,0.6125,0.5972499341835875,0.09104125098724619,0.03047529644268776,0.0
6,0.9923691522010014,0.14531655627835685,0.17384115728132377,0.379071713196994,0.47425672013738784,66.03324628585729,0.02420194108828679,2.123,8492.0,0.14531655627835685,0.379071713196994,0.10825,3344,7825.360341764443,7825.360341764443,2906,5832.7897912461995,5832.7897912461995,438,1992.5705505182495,1992.5705505182495,2583,143,0.03575,5,2947,5927,0.49721612957651423,4000,0.0099431710083746,0.0099431710083746,0.6521133618136492,0.64575,0.6495680170881896,0.09025647974367716,0.018232213438735267,0.0
7,0.9931946225457914,0.1463864121276748,0.17384115728132377,0.3964836029395604,0.47537077879255657,63.166467612204826,0.02051001901208226,2.12325,8493.0,0.1463864121276748,0.3964836029395604,0.1035,3067,6675.449414868782,6675.449414868782,2848,5551.67322866253,5551.67322866253,219,1123.7761862062514,1123.7761862062514,2647,114,0.0285,9,2815,5714,0.4926496324816241,4000,0.010863649695356562,0.010863649695356562,0.5562874512390188,0.66175,0.5984724707434113,0.09102291293884884,0.011915019762845813,0.0
8,0.9937025971923875,0.1475459207352864,0.17384115728132377,0.4146107941514976,0.4767942933365259,60.35564564194654,0.01965041001714078,2.122,8488.0,0.1475459207352864,0.4146107941514976,0.107,3869,9648.034654033489,9648.034654033489,2972,5708.093728999337,5708.093728999337,897,3939.940925034151,3939.940925034151,2780,146,0.0365,9,3304,6649,0.49691682959843586,4000,0.011753525311493734,0.011753525311493734,0.804002887836057,0.695,0.7604017327016341,0.0885939740094755,0.022644268774703602,0.0
9,0.9930005222469754,0.14845258860992852,0.17384115728132377,0.43322353032968325,0.47787730010294865,57.61953370915221,0.023423275888986527,2.12225,8489.0,0.14845258860992852,0.43322353032968325,0.0925,3457,7614.3414524195605,7614.3414524195605,3055,5667.136118821068,5667.136118821068,402,1947.205333598513,1947.205333598513,2827,116,0.029,5,3192,6284,0.5079567154678549,4000,0.012671810910916004,0.012671810910916004,0.6345284543682438,0.70675,0.6634170726209463,0.09004874391068582,0.022915019762845823,0.0
10,0.9923167729912864,0.14917994673563933,0.17384115728132377,0.4522723581371278,0.4787445287329023,54.959388733177796,0.02685725851878497,2.12325,8493.0,0.14917994673563933,0.4522723581371278,0.094,3276,6579.402242024402,6579.402242024402,3051,5456.303226999473,5456.303226999473,225,1123.099015024924,1123.099015024924,2897,111,0.02775,6,3018,6173,0.4889032885144986,4000,0.013357199473553601,0.013357199473553601,0.5482835201686544,0.72425,0.6186701121011926,0.09071994831848212,0.019043478260869606,0.0
