cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.942658442200651,0.5240948193684865,0.5724881212949636,0.30548439306262787,0.1945318004918667,80.90469287080084,0.22022618337324382,2.1175,8470.0,0.5240948193684865,0.30548439306262787,0.11325,2293,3160.1861314973894,3160.1861314973894,2293,3160.1861314973894,3160.1861314973894,0,0.0,0.0,1959,257,0.06425,6,2135,4252,0.5021166509877705,4000,0.0,0.0,0.2633488442914272,0.48975,0.3539093065748563,0.09469136040137716,0.017184782608695715,0.0
2,0.9862760226818832,0.5251352240723123,0.5724881212949636,0.31742554166917125,0.19845238225434012,78.02027445635234,0.04714057230241033,2.11875,8475.0,0.5251352240723123,0.31742554166917125,0.0965,2451,4602.597209748406,4602.597209748406,2451,4602.597209748406,4602.597209748406,0,0.0,0.0,2116,213,0.05325,13,2235,4567,0.48938033720166413,4000,0.002718146151753248,0.002718146151753248,0.3835497674790019,0.529,0.44172986048740115,0.093374052092689,0.031563241106719375,0.0
3,0.9859666081071007,0.5263941172165972,0.5724881212949636,0.33024594611805524,0.20171243115537085,75.20490324128498,0.05081325037590411,2.12,8480.0,0.5263941172165972,0.33024594611805524,0.10425,2536,5091.464893733619,5091.464893733619,2536,5091.464893733619,5091.464893733619,0,0.0,0.0,2215,182,0.0455,9,2423,4751,0.5099978951799621,4000,0.005031337727014934,0.005031337727014934,0.4242887411444329,0.55375,0.4760732446866597,0.09285890132970011,0.02223221343873527,0.0
4,0.9862803335627155,0.5268040964468895,0.5724881212949636,0.34365018367129685,0.2034191257984557,72.46871088869656,0.0486919765399747,2.122,8488.0,0.5268040964468895,0.34365018367129685,0.1025,2685,5627.262563234593,5627.262563234593,2644,5447.249583512398,5447.249583512398,41,180.0129797221927,180.0129797221927,2378,149,0.03725,12,2541,5063,0.5018763578905787,4000,0.007065407972084571,0.007065407972084571,0.4689385469361769,0.5945,0.5191631281617062,0.09221255307757441,0.02635375494071146,0.0
5,0.9889922644942415,0.5268515918568637,0.5724881212949636,0.35756762372446277,0.20529582008264358,69.82115390568693,0.03672811710257343,2.12225,8489.0,0.5268515918568637,0.35756762372446277,0.10075,3047,7055.502700860873,7055.502700860873,2743,5714.197469165658,5714.197469165658,304,1341.305231695202,1341.305231695202,2449,154,0.0385,9,2774,5496,0.504730713245997,4000,0.009136741978686747,0.009136741978686747,0.5879585584050238,0.61225,0.5976751350430143,0.0910348729743548,0.03047529644268776,0.0
6,0.9922426325666448,0.5275468601618015,0.5724881212949636,0.37173785296855427,0.20745157876603246,67.28358825839324,0.026954418969559406,2.123,8492.0,0.5275468601618015,0.37173785296855427,0.10825,3313,7820.838416542745,7820.838416542745,2859,5755.735028285554,5755.735028285554,454,2065.1033882571883,2065.1033882571883,2614,134,0.0335,5,2996,5927,0.5054833811371688,4000,0.009947689081750309,0.009947689081750309,0.6517365347118411,0.6535,0.6524419208271046,0.09021337118759344,0.018232213438735267,0.0
7,0.9934527213339432,0.5279586606658838,0.5724881212949636,0.38591112544542816,0.20972516172468167,64.85648146242181,0.022903332166815605,2.12325,8493.0,0.5279586606658838,0.38591112544542816,0.1035,3081,6699.924060493928,6699.924060493928,2874,5641.506477743639,5641.506477743639,207,1058.4175827502856,1058.4175827502856,2650,133,0.03325,9,2802,5731,0.4889199092653987,4000,0.010808429372223701,0.010808429372223701,0.5583270050411141,0.6625,0.5999962030246684,0.09100005695462998,0.011915019762845813,0.0
8,0.9930392656349134,0.5282434287846672,0.5724881212949636,0.40000112730574344,0.2114442932012942,62.5607095491995,0.023375810855301393,2.122,8488.0,0.5282434287846672,0.40000112730574344,0.10675,3872,9638.655519450554,9638.655519450554,2960,5643.479017949746,5643.479017949746,912,3995.176501500814,3995.176501500814,2760,143,0.03575,9,3275,6632,0.49381785283474067,4000,0.011393314275952917,0.011393314275952917,0.8032212932874793,0.69,0.7579327759724874,0.0886310083604127,0.022894268774703574,0.0
9,0.9936189447710249,0.5285674584220942,0.5724881212949636,0.41416277891537373,0.21309511595696978,60.375883790359865,0.023179237492587382,2.12275,8491.0,0.5285674584220942,0.41416277891537373,0.09375,3443,7612.1915949384775,7612.1915949384775,3047,5679.285061188146,5679.285061188146,396,1932.906533750329,1932.906533750329,2849,135,0.03375,5,3155,6292,0.5014303877940242,4000,0.012329058462138463,0.012329058462138463,0.6343492995781536,0.71225,0.6655095797468922,0.09001735630379662,0.031151185770750933,0.0
10,0.9928157148891099,0.5289278653898517,0.5724881212949636,0.42799668580369293,0.21478999349194397,58.3166749649927,0.027683386944591066,2.125,8500.0,0.5289278653898517,0.42799668580369293,0.09675,3316,6801.046217920217,6801.046217920217,3084,5645.558614757978,5645.558614757978,232,1155.4876031622389,1155.4876031622389,2936,123,0.03075,19,3113,6252,0.49792066538707613,4000,0.013054529371660956,0.013054529371660956,0.5667538514933042,0.734,0.6336523108959825,0.09049521533656027,0.007597826086956472,0.0
11,0.9925525616938625,0.5295854898335804,0.5724881212949636,0.44164656805956365,0.21773858644502553,56.376185297337905,0.026564402040009268,2.125,8500.0,0.5295854898335804,0.44164656805956365,0.09675,3478,7232.997726312102,7232.997726312102,3107,5552.637223488603,5552.637223488603,371,1680.360502823491,1680.360502823491,2971,148,0.037,8,3173,6449,0.49201426577763996,4000,0.013612259128333953,0.013612259128333953,0.6027498105259582,0.74275,0.658749886315575,0.09011875170526638,0.03210375494071149,0.0
12,0.9936169558475403,0.5299204841409884,0.5724881212949636,0.45482860744099746,0.22033950547573142,54.56405337656845,0.02263788806291028,2.12525,8501.0,0.5299204841409884,0.45482860744099746,0.10275,4214,9963.921796452298,9963.921796452298,3201,5570.119475208607,5570.119475208607,1013,4393.802321243742,4393.802321243742,3023,134,0.0335,5,3683,7237,0.5089125328174658,4000,0.014011314632531535,0.014011314632531535,0.8303268163709556,0.75575,0.8004960898225734,0.08799255865266141,0.026894268774703578,0.0
13,0.99399447347199,0.5297620545344816,0.5724881212949636,0.4673222012306985,0.22141149548438444,52.8787366263233,0.018354414342236978,2.12575,8503.0,0.5297620545344816,0.4673222012306985,0.0915,3828,8367.5401324676,8367.5401324676,3180,5455.4790202162285,5455.4790202162285,648,2912.0611122513787,2912.0611122513787,3043,121,0.03025,6,3481,6871,0.506622034638335,4000,0.014516529114193226,0.014516529114193226,0.6972950110389086,0.76075,0.7226770066233452,0.08915984490064982,0.012057312252964358,0.0
14,0.9936683359718028,0.5302109474858312,0.5724881212949636,0.479161323206159,0.22358078831584197,51.312046937374255,0.020176006703095765,2.12575,8503.0,0.5302109474858312,0.479161323206159,0.09875,3550,6724.4705016021535,6724.4705016021535,3236,5259.989003618191,5259.989003618191,314,1464.4814979839437,1464.4814979839437,3081,139,0.03475,8,3242,6631,0.4889156989895943,4000,0.014527685770815587,0.014527685770815587,0.5603725418001327,0.77025,0.6443235250800796,0.09033514712379881,0.021408102766798387,0.0
15,0.9943440035332571,0.53011955369804,0.5724881212949636,0.49048574880962875,0.22515670147816313,49.84754468349513,0.01638769640063788,2.12475,8499.0,0.53011955369804,0.49048574880962875,0.106,3484,6346.502199916778,6346.502199916778,3276,5351.524387944583,5351.524387944583,208,994.977811972183,994.977811972183,3159,146,0.0365,12,3336,6643,0.5021827487580912,4000,0.014637026009957959,0.014637026009957959,0.5288751833263541,0.78975,0.6332251099958124,0.09050162335006282,0.026015810276679874,0.0
16,0.9945101132085227,0.5297584302986964,0.5724881212949636,0.5012085510908199,0.226755850621586,48.48976295758295,0.018650265781088003,2.1265,8506.0,0.5297584302986964,0.5012085510908199,0.10125,3517,6222.290641224556,6222.290641224556,3302,5253.478232411837,5253.478232411837,215,968.8124088127241,968.8124088127241,3163,148,0.037,7,3388,6680,0.5071856287425149,4000,0.014743503288908139,0.014743503288908139,0.518524220102003,0.79075,0.6274145320612019,0.09058878201908198,0.0007262845849802524,0.0
17,0.9941806778697222,0.5298998342010953,0.5724881212949636,0.5111460880110384,0.22847351212774714,47.25107652469369,0.018718590168644394,2.12775,8511.0,0.5298998342010953,0.5111460880110384,0.09325,3979,7904.626750149132,7904.626750149132,3319,5051.220563912863,5051.220563912863,660,2853.4061862362964,2853.4061862362964,3199,145,0.03625,11,3524,7178,0.4909445528002229,4000,0.015044689003951717,0.015044689003951717,0.6587188958457061,0.79975,0.7151313375074236,0.08927302993738866,0.022955533596837885,0.0
18,0.9946741902385005,0.5298096306989121,0.5724881212949636,0.5203696019058185,0.2300386260917794,46.11112751678198,0.012217174319011736,2.1285,8514.0,0.5298096306989121,0.5203696019058185,0.102,3836,7254.698792296632,7254.698792296632,3337,5053.110314358748,5053.110314358748,499,2201.588477937901,2201.588477937901,3216,154,0.0385,5,3459,7052,0.4904991491775383,4000,0.014995136104477301,0.014995136104477301,0.6045582326913356,0.804,0.6843349396148014,0.08973497590577799,0.026853754940711516,0.0
19,0.9946822686789158,0.5295366923372894,0.5724881212949636,0.528901699274456,0.2318434985002403,45.06606661821314,0.01472568202030536,2.1295,8518.0,0.5295366923372894,0.528901699274456,0.10425,3662,6393.66107686981,6393.66107686981,3368,5077.109923239131,5077.109923239131,294,1316.5511536307033,1316.5511536307033,3200,141,0.03525,6,3425,6862,0.4991256193529583,4000,0.014949843042098641,0.014949843042098641,0.5328050897391065,0.8,0.6396830538434639,0.09040475419234804,0.016698616600790528,0.0
20,0.9955076883551921,0.5295079364644937,0.5724881212949636,0.5369211494264192,0.23334542679245127,44.10094882313718,0.009691006102321268,2.13,8520.0,0.5295079364644937,0.5369211494264192,0.09775,3595,5975.189465783521,5975.189465783521,3351,4893.345728333639,4893.345728333639,244,1081.8437374498874,1081.8437374498874,3230,137,0.03425,10,3488,6825,0.5110622710622711,4000,0.015128873001145187,0.015128873001145187,0.49793245548191856,0.8075,0.6217594732891512,0.09067360790066274,0.02398913043478257,0.0
21,0.9951968150282381,0.5297308474955236,0.5724881212949636,0.5442665938139856,0.2354171425074211,43.223360984786275,0.008615986626758589,2.13,8520.0,0.5297308474955236,0.5442665938139856,0.099,3619,5963.400478631215,5963.400478631215,3371,4854.790363757346,4854.790363757346,248,1108.6101148738583,1108.6101148738583,3339,140,0.035,6,3414,6958,0.4906582351250359,4000,0.01522384364871524,0.01522384364871524,0.4969500398858932,0.83475,0.632070023931536,0.09051894964102697,0.03064426877470361,0.0
22,0.9949005915479041,0.5298068023866475,0.5724881212949636,0.5509063135658618,0.23792313798946577,42.42968245679868,0.008741413468413993,2.1315,8526.0,0.5298068023866475,0.5509063135658618,0.09675,3627,5766.694071990103,5766.694071990103,3414,4816.0895502329095,4816.0895502329095,213,950.6045217571937,950.6045217571937,3346,164,0.041,8,3492,6973,0.5007887566327263,4000,0.015377300188975778,0.015377300188975778,0.48055783933246854,0.8365,0.6229347035994811,0.09065597944600778,0.006016798418972291,0.0
23,0.9949794338890443,0.5298081404182513,0.5724881212949636,0.5569429298737081,0.24000115601684827,41.7149011113054,0.010533717036102529,2.13225,8529.0,0.5298081404182513,0.5569429298737081,0.099,3625,5646.911096546522,5646.911096546522,3409,4684.4847718771925,4684.4847718771925,216,962.4263246693304,962.4263246693304,3310,141,0.03525,9,3484,6935,0.5023792357606345,4000,0.015434172953976416,0.015434172953976416,0.4705759247121709,0.8275,0.6133455548273026,0.09079981667759046,0.024320158102766776,0.0
24,0.9948524509567278,0.5298393879380409,0.5724881212949636,0.562503929923681,0.24239419829519254,41.069133372440255,0.011230682691876034,2.1325,8530.0,0.5298393879380409,0.562503929923681,0.1,3727,5861.556419649068,5861.556419649068,3467,4727.589561404098,4727.589561404098,260,1133.966858244972,1133.966858244972,3344,146,0.0365,5,3591,7071,0.5078489605430632,4000,0.01531530489640006,0.01531530489640006,0.4884630349707149,0.836,0.627477820982429,0.09058783268526358,0.022529644268774685,0.0
25,0.9949013220226739,0.5295633341099706,0.5724881212949636,0.5675825788459715,0.24412435702820137,40.48857322269111,0.013737481507277704,2.1325,8530.0,0.5295633341099706,0.5675825788459715,0.09775,3882,6187.7225050964935,6187.7225050964935,3483,4493.269372430583,4493.269372430583,399,1694.453132665896,1694.453132665896,3348,143,0.03575,6,3579,7230,0.4950207468879668,4000,0.015510288679089927,0.015510288679089927,0.5156435420913315,0.837,0.6441861252547989,0.09033720812117803,0.016874505928853756,0.0
26,0.9944971871646969,0.529128882124762,0.5724881212949636,0.5722266895210633,0.2450061622851111,39.96207248694701,0.016194773129663092,2.134,8536.0,0.529128882124762,0.5722266895210633,0.08425,4068,7024.727301620875,7024.727301620875,3462,4469.9663138115475,4469.9663138115475,606,2554.760987809316,2554.760987809316,3389,137,0.03425,12,3760,7457,0.5042242188547673,4000,0.015414358281675773,0.015414358281675773,0.5853939418016908,0.84725,0.6901363650810144,0.0896479545237848,0.018516798418972247,0.0
27,0.995059652110063,0.5286616825740944,0.5724881212949636,0.576504683141241,0.2465820343692851,39.47700034321901,0.013524838379563305,2.13625,8545.0,0.5286616825740944,0.576504683141241,0.09925,4101,7246.179432924262,7246.179432924262,3428,4394.090456465194,4394.090456465194,673,2852.0889764590597,2852.0889764590597,3381,151,0.03775,11,3704,7482,0.4950547981823042,4000,0.0155284335036831,0.0155284335036831,0.6038482860769715,0.84525,0.7004089716461829,0.08949386542530727,0.021698616600790532,0.0
28,0.9951196383386034,0.5283644493237899,0.5724881212949636,0.5804672296909076,0.24919942733133094,39.020495233642755,0.012558171993452015,2.13775,8551.0,0.5283644493237899,0.5804672296909076,0.09775,4023,6721.656537109976,6721.656537109976,3511,4532.070664957631,4532.070664957631,512,2189.58587215236,2189.58587215236,3448,162,0.0405,8,3738,7471,0.500334627225271,4000,0.015477593163431072,0.015477593163431072,0.560138044759118,0.862,0.6808828268554707,0.08978675759716795,0.014502964426877485,0.0
29,0.9952964502233397,0.5283323965829178,0.5724881212949636,0.5842634631162683,0.25201359219600555,38.5818460403326,0.010465028604018937,2.138,8552.0,0.5283323965829178,0.5842634631162683,0.1055,3922,6141.548132253916,6141.548132253916,3509,4366.270845001578,4366.270845001578,413,1775.2772872523367,1775.2772872523367,3429,159,0.03975,13,3652,7351,0.49680315603319275,4000,0.015056682393640452,0.015056682393640452,0.5117956776877837,0.85725,0.6499774066126702,0.09025033890080995,0.039954545454545465,0.0
30,0.9946184675493183,0.5277212153322501,0.5724881212949636,0.5879376676765764,0.25429290578651037,38.15845725785619,0.01515561265370938,2.14,8560.0,0.5277212153322501,0.5879376676765764,0.095,3883,5931.018437848212,5931.018437848212,3524,4390.003140610424,4390.003140610424,359,1541.015297237786,1541.015297237786,3404,156,0.039,12,3604,7287,0.49457938795114587,4000,0.015167891823559394,0.015167891823559394,0.4942515364873098,0.851,0.6369509218923859,0.09044573617161422,0.021205533596837967,0.0
31,0.9942248312258544,0.5272363019925791,0.5724881212949636,0.5915614290648236,0.25576604528834135,37.74402784522076,0.01673131647816651,2.14125,8565.0,0.5272363019925791,0.5915614290648236,0.09975,3808,5656.555154155995,5656.555154155995,3496,4314.850063192802,4314.850063192802,312,1341.7050909632028,1341.7050909632028,3422,157,0.03925,7,3609,7230,0.4991701244813278,4000,0.015092595379436125,0.015092595379436125,0.471379596179627,0.8555,0.6250277577077763,0.09062458363438336,0.009340909090909122,0.0
32,0.9952378078854557,0.5265134254952354,0.5724881212949636,0.5951220964256635,0.257565285090353,37.33277275217307,0.012339398090749895,2.142,8568.0,0.5265134254952354,0.5951220964256635,0.09775,3811,5512.207388721528,5512.207388721528,3550,4390.130571162653,4390.130571162653,261,1122.0768175588596,1122.0768175588596,3459,153,0.03825,9,3638,7270,0.5004126547455295,4000,0.015201019255658874,0.015201019255658874,0.45935061572675573,0.86475,0.6215103694360535,0.09067734445845921,0.02715118577075093,0.0
33,0.9949525597330445,0.526047989474076,0.5724881212949636,0.5986129109084322,0.2593791879982017,36.92978538823384,0.01581462692905723,2.1435,8574.0,0.526047989474076,0.5986129109084322,0.0985,3775,5382.478979652868,5382.478979652868,3518,4279.660658414547,4279.660658414547,257,1102.8183212383049,1102.8183212383049,3476,160,0.04,14,3631,7251,0.5007585160667494,4000,0.015225354496333636,0.015225354496333636,0.4485399149710349,0.869,0.616723948982621,0.0907491407652607,0.014543478260869547,0.0
34,0.9946725433245438,0.5255138869012409,0.5724881212949636,0.6021149241219328,0.2612497187452207,36.53042409291568,0.015421928788088205,2.14375,8575.0,0.5255138869012409,0.6021149241219328,0.10725,3757,5324.814566603282,5324.814566603282,3544,4412.18397550352,4412.18397550352,213,912.6305910997568,912.6305910997568,3487,156,0.039,5,3640,7244,0.5024848150193263,4000,0.015639030621761734,0.015639030621761734,0.4437345472169032,0.87175,0.6149407283301419,0.09077588907504788,0.02081324110671945,0.0
