cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9423641067487823,0.1395538152477153,0.17154415530141728,0.30564169144852216,0.46794043975701377,80.87559735302771,0.22687830512491478,2.11825,8473.0,0.1395538152477153,0.30564169144852216,0.109,2122,2745.054695256492,2745.054695256492,2122,2745.054695256492,2745.054695256492,0,0.0,0.0,1765,454,0.1135,5,2040,3887,0.5248263442243375,4000,0.0,0.0,0.2287545579380219,0.44125,0.3137527347628131,0.09529370897855781,0.013793553338449782,0.0
2,0.9857817693528856,0.14301119356917638,0.17154415530141728,0.3178646036533071,0.4714448301327285,77.92722310321685,0.05575491761779749,2.11775,8471.0,0.14301119356917638,0.3178646036533071,0.1035,2135,3912.6913208253027,3912.6913208253027,2135,3912.6913208253027,3912.6913208253027,0,0.0,0.0,1805,299,0.07475,6,1981,3940,0.5027918781725889,4000,0.002804882521484759,0.002804882521484759,0.32605761006874806,0.45125,0.37613456604124884,0.09435798150938127,0.03310782808902524,0.0
3,0.9852199969029174,0.14570960713278494,0.17154415530141728,0.3311555092245557,0.47438615351846725,75.00298985234532,0.054557026457391716,2.1195,8478.0,0.14570960713278494,0.3311555092245557,0.10075,2165,4454.101222207863,4454.101222207863,2165,4454.101222207863,4454.101222207863,0,0.0,0.0,1865,315,0.07875,11,1998,4030,0.4957816377171216,4000,0.005191172926415339,0.005191172926415339,0.37117510185062436,0.46625,0.4092050611103746,0.09386192408334439,0.02204355333844976,0.0
4,0.9890108413868783,0.1472724445484072,0.17154415530141728,0.3454527027539143,0.4762064932700131,72.10430820366453,0.038747494967590695,2.1195,8478.0,0.1472724445484072,0.3454527027539143,0.09925,2226,5127.086590763102,5127.086590763102,2187,4956.975839558137,4956.975839558137,39,170.11075120496693,170.11075120496693,1914,243,0.06075,12,2043,4140,0.4934782608695652,4000,0.007297457433297653,0.007297457433297653,0.4272572158968896,0.4785,0.44775432953813377,0.093283685056928,0.015101496546431337,0.0
5,0.9921615527149346,0.14922144361584633,0.17154415530141728,0.36061595166589283,0.4783403349118829,69.24491515720385,0.029634739336863832,2.121,8484.0,0.14922144361584633,0.36061595166589283,0.09825,2560,6313.259374580517,6313.259374580517,2314,5214.167059621706,5214.167059621706,246,1099.0923149588264,1099.0923149588264,1961,244,0.061,8,2288,4521,0.5060827250608273,4000,0.009133994031763319,0.009133994031763319,0.5261049478816658,0.49025,0.5117629687289995,0.09232355546906501,0.019171335379892573,0.0
6,0.992593257964253,0.15151133579153314,0.17154415530141728,0.37633380491968516,0.48097438135859344,66.45489469461445,0.02885045428491132,2.1215,8486.0,0.15151133579153314,0.37633380491968516,0.103,2714,6929.768746765161,6929.768746765161,2320,5114.427566761886,5114.427566761886,394,1815.3411800032882,1815.3411800032882,2091,260,0.065,12,2410,4805,0.5015608740894901,4000,0.010049674146587593,0.010049674146587593,0.5774807288970486,0.52275,0.5555884373382292,0.09166617343992657,0.015188795088257878,0.0
7,0.991929108095831,0.1536682431397081,0.17154415530141728,0.39256240949840016,0.4833618896238667,63.73761454091832,0.0326543370060903,2.1215,8486.0,0.1536682431397081,0.39256240949840016,0.101,2594,6311.41150211367,6311.41150211367,2396,5268.631780871996,5268.631780871996,198,1042.7797212416647,1042.7797212416647,2075,259,0.06475,8,2355,4669,0.5043906618119511,4000,0.010930624733706136,0.010930624733706136,0.5259509585094286,0.51875,0.5230705751056572,0.09215394137341515,0.026398311588641588,0.0
8,0.9920968819940502,0.15553394783890914,0.17154415530141728,0.40937498362491476,0.48577750782757767,61.0937291354055,0.03097097310511125,2.12175,8487.0,0.15553394783890914,0.40937498362491476,0.10925,3155,8646.16743505364,8646.16743505364,2420,5271.870604561538,5271.870604561538,735,3374.2968304921005,3374.2968304921005,2096,267,0.06675,3,2676,5251,0.5096172157684251,4000,0.011541823688808742,0.011541823688808742,0.7205139529210766,0.524,0.6419083717526459,0.09037137442371032,0.021218150422102844,0.0
9,0.9905271147087964,0.15670948601883264,0.17154415530141728,0.4265183392666607,0.4874878674355478,58.534417579850675,0.036337013190037126,2.1225,8490.0,0.15670948601883264,0.4265183392666607,0.09875,2870,7434.246836203007,7434.246836203007,2450,5295.631502847753,5295.631502847753,420,2138.6153333552543,2138.6153333552543,2176,297,0.07425,7,2473,5046,0.49009116131589375,4000,0.012130976787072463,0.012130976787072463,0.6195205696835322,0.544,0.5893123418101194,0.09116031487284822,0.01636895625479662,0.0
10,0.9907546700645012,0.1586225001811759,0.17154415530141728,0.4438654176391129,0.489831406725274,56.06339883857906,0.03373486383802464,2.12425,8497.0,0.1586225001811759,0.4438654176391129,0.09725,2777,6814.319159675558,6814.319159675558,2472,5215.087904616666,5215.087904616666,305,1599.2312550589015,1599.2312550589015,2238,290,0.0725,7,2479,5015,0.4943170488534397,4000,0.012700782650006239,0.012700782650006239,0.5678599299729158,0.5595,0.5645159579837495,0.09153226063024376,0.013264198004604766,0.0
