cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9443342777644688,0.13654668013745647,0.17384115728132377,0.30550889252153746,0.4646737468142803,80.8994575222577,0.21493716506955926,2.1175,8470.0,0.13654668013745647,0.30550889252153746,0.11325,2290,3123.814443503041,3123.814443503041,2290,3123.814443503041,3123.814443503041,0,0.0,0.0,1962,129,0.03225,6,2135,4252,0.5021166509877705,4000,0.0,0.0,0.26031787029189835,0.4905,0.352390722175139,0.09471413916737292,0.017184782608695715,0.0
2,0.9894890438591863,0.13771821275690918,0.17384115728132377,0.3175208787287753,0.4658180641032235,78.00441364257952,0.03707756576981167,2.11875,8475.0,0.13771821275690918,0.3175208787287753,0.09675,2399,4453.930652832352,4453.930652832352,2399,4453.930652832352,4453.930652832352,0,0.0,0.0,2118,125,0.03125,13,2270,4517,0.5025459375691831,4000,0.0026241457888760175,0.0026241457888760175,0.3711608877359984,0.5295,0.43449653264159904,0.09348255201037602,0.0313132411067194,0.0
3,0.9854821885120184,0.13961451446097758,0.17384115728132377,0.33030506594425124,0.467835272078921,75.1887768101565,0.050907389127439785,2.1205,8482.0,0.13961451446097758,0.33030506594425124,0.105,2498,5065.896102364037,5065.896102364037,2498,5065.896102364037,5065.896102364037,0,0.0,0.0,2247,136,0.034,9,2312,4745,0.4872497365648051,4000,0.005036593571963543,0.005036593571963543,0.4221580085303012,0.56175,0.4779948051181807,0.0928300779232273,0.028596837944664055,0.0
4,0.985504764132881,0.14083157581830147,0.17384115728132377,0.34376637013975575,0.4692367575295907,72.45547150468026,0.051201860090032005,2.12075,8483.0,0.14083157581830147,0.34376637013975575,0.09675,2659,5628.3953073720395,5628.3953073720395,2615,5436.725867784866,5436.725867784866,44,191.6694395871757,191.6694395871757,2307,102,0.0255,5,2506,4966,0.50463149416029,4000,0.007068161987064333,0.007068161987064333,0.4690329422809642,0.57675,0.5121197653685785,0.09231820351947133,0.018665019762845847,0.0
5,0.9873708462717314,0.1411305246915831,0.17384115728132377,0.3576884425498527,0.4696807972928012,69.81645342028548,0.04316570697005064,2.12075,8483.0,0.1411305246915831,0.3576884425498527,0.09975,3036,7026.38989299183,7026.38989299183,2724,5638.450530330164,5638.450530330164,312,1387.9393626616654,1387.9393626616654,2493,97,0.02425,8,2722,5529,0.4923132573702297,4000,0.008752115169596904,0.008752115169596904,0.5855324910826036,0.62325,0.6006194946495622,0.09099070758025657,0.006178853754940761,0.0
6,0.9895853990822326,0.14203635838954903,0.17384115728132377,0.3718569158584567,0.4705938837744769,67.28447806737941,0.03497808370893508,2.12325,8493.0,0.14203635838954903,0.3718569158584567,0.10025,3267,7798.883001505696,7798.883001505696,2831,5825.917335566947,5825.917335566947,436,1972.9656659387374,1972.9656659387374,2536,98,0.0245,14,2871,5803,0.4947440978804067,4000,0.00998452565121123,0.00998452565121123,0.6499069167920871,0.634,0.6435441500752522,0.09034683774887123,0.01674604743083008,0.0
7,0.9934152629644997,0.14284491077832281,0.17384115728132377,0.3860613507450506,0.47144710104779014,64.85137591899164,0.019352455548996558,2.12425,8497.0,0.14284491077832281,0.3860613507450506,0.09725,3091,6861.186828689405,6861.186828689405,2880,5782.851064110748,5782.851064110748,211,1078.3357645786637,1078.3357645786637,2670,84,0.021,6,2909,5761,0.5049470578024648,4000,0.011275955746908577,0.011275955746908577,0.5717655690574027,0.6675,0.6100593414344416,0.09084910987848338,0.01184090909090918,0.0
8,0.9943262892663574,0.14318833425102628,0.17384115728132377,0.4002651223016653,0.4718557614135607,62.543939781631146,0.01500519541799002,2.1245,8498.0,0.14318833425102628,0.4002651223016653,0.09525,3888,9723.498401195944,9723.498401195944,2966,5675.033314156173,5675.033314156173,922,4048.4650870398027,4048.4650870398027,2728,66,0.0165,5,3243,6616,0.4901753325272068,4000,0.012160035568819793,0.012160035568819793,0.8102915334329278,0.682,0.7589749200597566,0.08861537619910366,0.013050395256917091,0.0
9,0.9940323578311361,0.1440452901875575,0.17384115728132377,0.4144986287412468,0.4728293756241353,60.35005675701544,0.016782195462053756,2.126,8504.0,0.1440452901875575,0.4144986287412468,0.08925,3434,7530.910048173836,7530.910048173836,3043,5646.910127370895,5646.910127370895,391,1883.9999208029471,1883.9999208029471,2821,84,0.021,6,3085,6255,0.49320543565147884,4000,0.013004549247405394,0.013004549247405394,0.6275758373477673,0.70525,0.6586455024086604,0.0901203174638701,0.017469367588932805,0.0
10,0.994709432055347,0.1444869838114235,0.17384115728132377,0.4285032135797004,0.47332307862091116,58.27555663158571,0.013801301069414101,2.126,8504.0,0.1444869838114235,0.4285032135797004,0.09,3337,6792.735461624727,6792.735461624727,3113,5662.967790477278,5662.967790477278,224,1129.7676711474576,1129.7676711474576,2869,51,0.01275,6,3019,6206,0.4864647115694489,4000,0.013499955747385951,0.013499955747385951,0.56606128846868,0.71725,0.626536773081208,0.09060194840378188,0.010395256916996054,0.0
11,0.9941041372044945,0.14503801377058795,0.17384115728132377,0.4422776535817758,0.4738603661928201,56.32271525699916,0.018489994637416747,2.12725,8509.0,0.14503801377058795,0.4422776535817758,0.10725,3534,7299.510702832775,7299.510702832775,3134,5476.985231776454,5476.985231776454,400,1822.5254710563302,1822.5254710563302,2910,60,0.015,7,3237,6444,0.5023277467411545,4000,0.01417029721723934,0.01417029721723934,0.6082925585693472,0.7275,0.6559755351416083,0.09016036697287588,0.02318478260869572,0.0
12,0.994025940154337,0.14531307981131192,0.17384115728132377,0.455681948023452,0.4742150065369567,54.496173121199966,0.0181284943010208,2.12775,8511.0,0.14531307981131192,0.455681948023452,0.10125,4189,9720.27343551955,9720.27343551955,3203,5465.167951443205,5465.167951443205,986,4255.10548407632,4255.10548407632,3003,65,0.01625,12,3631,7192,0.5048665183537263,4000,0.014393069670712277,0.014393069670712277,0.8100227862932283,0.75075,0.7863136717759369,0.08820529492336095,0.014165019762845898,0.0
13,0.9939716113517268,0.14644669839476854,0.17384115728132377,0.4682408606571254,0.47524379426799984,52.80686078559184,0.019958391458418576,2.12775,8511.0,0.14644669839476854,0.4682408606571254,0.09525,3838,8242.062444881909,8242.062444881909,3190,5336.258731996914,5336.258731996914,648,2905.8037128849955,2905.8037128849955,3035,61,0.01525,4,3474,6873,0.505456132693147,4000,0.014601487940979208,0.014601487940979208,0.6868385370734351,0.75875,0.7156031222440611,0.08926595316633909,0.028070158102766807,0.0
14,0.9939820719846062,0.14706001580718844,0.17384115728132377,0.48012626318470053,0.4759332781434777,51.2370417815806,0.019655788991443483,2.128,8512.0,0.14706001580718844,0.48012626318470053,0.10225,3536,6813.41348429874,6813.41348429874,3220,5330.123159398743,5330.123159398743,316,1483.2903248999942,1483.2903248999942,3104,81,0.02025,7,3278,6640,0.4936746987951807,4000,0.014661717380024216,0.014661717380024216,0.5677844570248476,0.776,0.6510706742149086,0.09023393988677637,0.0210701581027668,0.0
15,0.9938557179238343,0.14756838735193678,0.17384115728132377,0.49145985667328684,0.4764016797824272,49.77434971351651,0.019102773508476202,2.128,8512.0,0.14756838735193678,0.49145985667328684,0.1055,3468,6532.438127875514,6532.438127875514,3235,5425.723075173955,5425.723075173955,233,1106.715052701557,1106.715052701557,3136,61,0.01525,12,3281,6604,0.4968201090248334,4000,0.014884223891663769,0.014884223891663769,0.5443698439895808,0.784,0.6402219063937484,0.09039667140409378,0.013867588932806263,0.0
