cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9452724542332541,0.1342769202890817,0.17154415530141728,0.3056542430751563,0.46258118175332047,80.86013494439032,0.21186065168806179,2.11825,8473.0,0.1342769202890817,0.3056542430751563,0.109,2063,2765.130799840287,2765.130799840287,2063,2765.130799840287,2765.130799840287,0,0.0,0.0,1708,0,0.0,5,1954,3771,0.5181649429859454,4000,0.0,0.0,0.23042756665333805,0.427,0.30905653999200283,0.09536415190011996,0.013793553338449782,0.0
2,0.9902120340447034,0.1342769202890817,0.17154415530141728,0.317987136695465,0.46258118175332047,77.89377621626714,0.03872089349526275,2.118,8472.0,0.1342769202890817,0.317987136695465,0.10075,2132,3826.483388784886,3826.483388784886,2132,3826.483388784886,3826.483388784886,0,0.0,0.0,1810,0,0.0,5,1980,3942,0.502283105022831,4000,0.002330659097870781,0.002330659097870781,0.31887361573204726,0.4525,0.37232416943922836,0.09441513745841158,0.005926899462778246,0.0
3,0.9907188514046412,0.1342769202890817,0.17154415530141728,0.33135784187386275,0.46258118175332047,74.9504882794169,0.03547431041510186,2.11875,8475.0,0.1342769202890817,0.33135784187386275,0.1015,2216,4516.703726036699,4516.703726036699,2216,4516.703726036699,4516.703726036699,0,0.0,0.0,1819,0,0.0,11,1994,4035,0.49417596034696404,4000,0.004414572052668631,0.004414572052668631,0.3763919771696935,0.45475,0.4077351863018161,0.09388397220547276,0.020526093630084397,0.0
4,0.9908995164097145,0.1342769202890817,0.17154415530141728,0.34568494168670977,0.46258118175332047,72.05004932577808,0.03624854236338531,2.1185,8474.0,0.1342769202890817,0.34568494168670977,0.09625,2279,4961.096319249894,4961.096319249894,2241,4795.001023482098,4795.001023482098,38,166.09529576779906,166.09529576779906,1928,0,0.0,13,2101,4207,0.49940575231756595,4000,0.006243141421126837,0.006243141421126837,0.41342469327079,0.482,0.440854815962474,0.09338717776056289,0.01119435917114353,0.0
5,0.9937768485450467,0.1342769202890817,0.17154415530141728,0.36091975279013505,0.46258118175332047,69.18634151122652,0.02463042363252244,2.1185,8474.0,0.1342769202890817,0.36091975279013505,0.0985,2515,6069.441358463542,6069.441358463542,2270,4968.698408783811,4968.698408783811,245,1100.742949679724,1100.742949679724,1929,0,0.0,4,2269,4444,0.5105760576057605,4000,0.007694369538059162,0.007694369538059162,0.5057867798719197,0.48225,0.4963720679231518,0.09255441898115273,0.0235260936300844,0.0
6,0.9939390746045205,0.1342769202890817,0.17154415530141728,0.37676396626105063,0.46258118175332047,66.38772733198223,0.021212214727039214,2.12,8480.0,0.1342769202890817,0.37676396626105063,0.1035,2637,6628.83996705266,6628.83996705266,2273,4954.575326158769,4954.575326158769,364,1674.264640893888,1674.264640893888,2045,0,0.0,12,2344,4682,0.5006407518154635,4000,0.008788765551090027,0.008788765551090027,0.5524033305876755,0.51125,0.5359419983526053,0.09196087002471093,0.011618956254796586,0.0
7,0.9947393097965601,0.1342769202890817,0.17154415530141728,0.39313029099399066,0.46258118175332047,63.660027406022856,0.019582329111321947,2.12,8480.0,0.1342769202890817,0.39313029099399066,0.10225,2499,6312.493964269459,6312.493964269459,2281,5146.316241607275,5146.316241607275,218,1166.1777226621766,1166.1777226621766,2042,0,0.0,10,2266,4541,0.4990090288482713,4000,0.009647585265134985,0.009647585265134985,0.5260411636890777,0.5105,0.5198246982134467,0.09220262952679831,0.0028919800460476264,0.0
8,0.9955207006432405,0.1342769202890817,0.17154415530141728,0.4100276482275959,0.46258118175332047,61.00231188581399,0.014111444819098354,2.121,8484.0,0.1342769202890817,0.4100276482275959,0.106,3106,8683.802788000949,8683.802788000949,2387,5393.736559508293,5393.736559508293,719,3290.0662284926457,3290.0662284926457,2095,0,0.0,4,2570,5201,0.49413574312632186,4000,0.010084412623383153,0.010084412623383153,0.723650232333352,0.52375,0.6436901394000112,0.09034464790899983,0.032142747505755964,0.0
9,0.9954777400152514,0.1342769202890817,0.17154415530141728,0.4273263858059993,0.4625811817533204,58.42352208365238,0.01116175709006214,2.12175,8487.0,0.1342769202890817,0.4273263858059993,0.09425,2782,7391.199058241949,7391.199058241949,2343,5170.5205104403285,5170.5205104403285,439,2220.678547801634,2220.678547801634,2116,0,0.0,7,2432,4898,0.4965291955900368,4000,0.010742439761255718,0.010742439761255718,0.6159332548534444,0.529,0.5811599529120666,0.09128260070631901,0.013194359171143533,0.0
10,0.9953102650848046,0.1342769202890817,0.17154415530141728,0.44479614370218784,0.4625811817533204,55.93565494692296,0.011910385579435773,2.122,8488.0,0.1342769202890817,0.44479614370218784,0.10325,2778,6843.179249667786,6843.179249667786,2442,5075.923103928939,5075.923103928939,336,1767.2561457388324,1767.2561457388324,2204,0,0.0,3,2450,4982,0.49177037334403856,4000,0.010846681465030055,0.010846681465030055,0.570264937472268,0.551,0.5625589624833609,0.0915616155627496,0.02491577129700695,0.0
