cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9455263053799216,0.13474282521734432,0.17384115728132377,0.30552720827244634,0.46288563484427864,80.895229670038,0.21072395398299026,2.1175,8470.0,0.13474282521734432,0.30552720827244634,0.11325,2297,3118.707355156941,3118.707355156941,2297,3118.707355156941,3118.707355156941,0,0.0,0.0,1955,0,0.0,6,2156,4252,0.5070555032925682,4000,0.0,0.0,0.2598922795963901,0.48875,0.35143536775783407,0.09472846948363249,0.017184782608695715,0.0
2,0.9913587186281214,0.13474282521734432,0.17384115728132377,0.31752822650297174,0.4628856348442787,77.99683323563178,0.03380442552708703,2.11875,8475.0,0.13474282521734432,0.31752822650297174,0.09675,2402,4437.806594177228,4437.806594177228,2402,4437.806594177228,4437.806594177228,0,0.0,0.0,2113,0,0.0,13,2283,4515,0.5056478405315614,4000,0.0025050823778487593,0.0025050823778487593,0.36981721618140484,0.52825,0.4331903297088429,0.09350214505436737,0.0313132411067194,0.0
3,0.9909250075181427,0.13474282521734432,0.17384115728132377,0.33035273255439945,0.4628856348442787,75.16622726508585,0.03529379838477867,2.1195,8478.0,0.13474282521734432,0.33035273255439945,0.105,2487,5005.868210548223,5005.868210548223,2487,5005.868210548223,5005.868210548223,0,0.0,0.0,2214,0,0.0,9,2311,4701,0.4915975324399064,4000,0.004638761255908913,0.004638761255908913,0.41715568421231713,0.5535,0.47169341052739033,0.09292459884208915,0.028596837944664055,0.0
4,0.9905361164122077,0.13474282521734432,0.17384115728132377,0.3438381598614169,0.46288563484427864,72.4207819557836,0.035912880013228246,2.1195,8478.0,0.13474282521734432,0.3438381598614169,0.096,2668,5740.141282623857,5740.141282623857,2624,5547.943495017342,5547.943495017342,44,192.1977876065189,192.1977876065189,2403,0,0.0,4,2537,5071,0.5002957996450405,4000,0.005924248947871619,0.005924248947871619,0.4783451068852815,0.60075,0.5273070641311689,0.09209039403803247,0.012300395256917063,0.0
5,0.9932313422880514,0.13474282521734432,0.17384115728132377,0.357778920479775,0.4628856348442787,69.76730092481134,0.026155780911123742,2.12025,8481.0,0.13474282521734432,0.357778920479775,0.1,3053,7079.664046307828,7079.664046307828,2735,5675.727216640675,5675.727216640675,318,1403.9368296671485,1403.9368296671485,2517,0,0.0,9,2749,5570,0.49353680430879715,4000,0.007436823630028634,0.007436823630028634,0.5899720038589366,0.62925,0.6056832023153619,0.09091475196526957,0.00988142292490124,0.0
6,0.993583883846271,0.13474282521734432,0.17384115728132377,0.3719391868448003,0.46288563484427864,67.22916346637871,0.024257465681874757,2.12225,8489.0,0.13474282521734432,0.3719391868448003,0.10025,3249,7797.83618189282,7797.83618189282,2807,5795.770558728384,5795.770558728384,442,2002.0656231644264,2002.0656231644264,2581,0,0.0,14,2867,5830,0.49176672384219555,4000,0.00839753990359058,0.00839753990359058,0.6498196818243475,0.64525,0.6479918090946084,0.09028012286358088,0.01990810276679844,0.0
7,0.9945261896287764,0.13474282521734432,0.17384115728132377,0.38612600397546015,0.4628856348442787,64.80387366758781,0.020453305430667014,2.1225,8490.0,0.13474282521734432,0.38612600397546015,0.0965,3080,6686.708656639879,6686.708656639879,2882,5671.111368203563,5671.111368203563,198,1015.5972884363152,1015.5972884363152,2695,0,0.0,7,2890,5775,0.5004329004329005,4000,0.009481013921325072,0.009481013921325072,0.5572257213866102,0.67375,0.6038354328319662,0.09094246850752051,0.03867786561264819,0.0
8,0.9954851052648241,0.13474282521734432,0.17384115728132377,0.4003358250702432,0.4628856348442787,62.50094345745252,0.0132986845771221,2.1235,8494.0,0.13474282521734432,0.4003358250702432,0.09375,3900,9764.821529287792,9764.821529287792,2995,5774.575269417133,5774.575269417133,905,3990.246259870673,3990.246259870673,2753,0,0.0,6,3259,6653,0.4898542011122802,4000,0.009935695080404785,0.009935695080404785,0.8137351274405815,0.68825,0.7635410764643489,0.08854688385303477,0.013759881422924947,0.0
9,0.9953098655372911,0.13474282521734432,0.17384115728132377,0.4145476573184816,0.46288563484427864,60.310074810378644,0.011911276188051623,2.12375,8495.0,0.13474282521734432,0.4145476573184816,0.0945,3445,7583.528525918395,7583.528525918395,3036,5618.952615578094,5618.952615578094,409,1964.5759103402872,1964.5759103402872,2784,0,0.0,5,3116,6229,0.5002408091186387,4000,0.010601556299947742,0.010601556299947742,0.6319607104931468,0.696,0.6575764262958881,0.09013635360556169,0.014590909090909099,0.0
10,0.995106782613997,0.13474282521734432,0.17384115728132377,0.42841455451160715,0.46288563484427864,58.242863608318906,0.012352824758632416,2.126,8504.0,0.13474282521734432,0.42841455451160715,0.09875,3252,6573.2888177585155,6573.2888177585155,3029,5462.914319309822,5462.914319309822,223,1110.3744984487057,1110.3744984487057,2891,0,0.0,19,3024,6143,0.4922676216832167,4000,0.011391264836678888,0.011391264836678888,0.5477740681464973,0.72275,0.6177644408878984,0.09073353338668153,0.011921936758893303,0.0
11,0.9953129157389549,0.13474282521734432,0.17384115728132377,0.4420784318119954,0.46288563484427864,56.2929455147597,0.011905954739224688,2.127,8508.0,0.13474282521734432,0.4420784318119954,0.10475,3517,7314.720667406138,7314.720667406138,3118,5510.119908385089,5510.119908385089,399,1804.6007590210445,1804.6007590210445,2956,0,0.0,6,3230,6473,0.49899582882743704,4000,0.011538095044329393,0.011538095044329393,0.6095600556171273,0.739,0.6613360333702765,0.09007995949944586,0.013827075098814201,0.0
12,0.9949082739634046,0.13474282521734432,0.17384115728132377,0.4553207187273767,0.46288563484427864,54.470773007805434,0.010565054849825582,2.128,8512.0,0.13474282521734432,0.4553207187273767,0.10275,4158,9836.567471377117,9836.567471377117,3183,5623.457163861963,5623.457163861963,975,4213.110307515157,4213.110307515157,3002,0,0.0,12,3634,7160,0.5075418994413408,4000,0.01197289182037852,0.01197289182037852,0.8197139559480248,0.7505,0.7920283735688148,0.08811957439646778,0.03558992094861657,0.0
13,0.9951892029682969,0.13474282521734432,0.17384115728132377,0.46787637524747355,0.4628856348442787,52.776985848570575,0.010212154006098312,2.128,8512.0,0.13474282521734432,0.46787637524747355,0.0955,3809,8339.088435549214,8339.088435549214,3129,5266.35838298512,5266.35838298512,680,3072.730052564064,3072.730052564064,2993,0,0.0,4,3493,6802,0.5135254336959718,4000,0.012541043168230749,0.012541043168230749,0.69492403629571,0.74825,0.716254421777426,0.08925618367333861,0.015171936758893279,0.0
