cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9437309588586439,0.13789563621217907,0.17154415530141728,0.3056137091585519,0.46610450721330937,80.86850385636366,0.22011563375136242,2.11825,8473.0,0.13789563621217907,0.3056137091585519,0.109,2066,2777.9063067620577,2777.9063067620577,2066,2777.9063067620577,2777.9063067620577,0,0.0,0.0,1705,253,0.06325,5,3771,3771,1.0,4000,0.0,0.0,0.2314921922301522,0.42625,0.3093953153380913,0.09535907026992864,0.013793553338449782,0.0
2,0.987120374712046,0.14111202021472116,0.17154415530141728,0.31787943004616204,0.4691613111292861,77.91598867933482,0.05232184743023231,2.118,8472.0,0.14111202021472116,0.31787943004616204,0.10075,2152,3850.098981368561,3850.098981368561,2152,3850.098981368561,3850.098981368561,0,0.0,0.0,1805,222,0.0555,5,3957,3957,1.0,4000,0.0023874868591966646,0.0023874868591966646,0.32084158178068667,0.45125,0.373004949068412,0.09440492576397383,0.005926899462778246,0.0
3,0.9882056836939364,0.14237932560634195,0.17154415530141728,0.33118554301900205,0.47073039997189686,74.98128018079248,0.04371293885875231,2.11875,8475.0,0.14237932560634195,0.33118554301900205,0.10075,2236,4610.259625043998,4610.259625043998,2236,4610.259625043998,4610.259625043998,0,0.0,0.0,1843,180,0.045,11,4079,4079,1.0,4000,0.004798832209354919,0.004798832209354919,0.3841883020869678,0.46075,0.4148129812521807,0.09377780528121729,0.016671335379892516,0.0
4,0.9893415320961348,0.14388131859058978,0.17154415530141728,0.34543553610458455,0.4724089133164506,72.08239601428926,0.03889277822405448,2.11925,8477.0,0.14388131859058978,0.34543553610458455,0.0985,2286,5059.026461662939,5059.026461662939,2250,4901.192316598937,4901.192316598937,36,157.83414506400328,157.83414506400328,1935,156,0.039,12,4221,4221,1.0,4000,0.006935747842383196,0.006935747842383196,0.42158553847187646,0.48375,0.44645132308312585,0.09330323015375312,0.0258284727551803,0.0
5,0.9902757608915825,0.14509018260052628,0.17154415530141728,0.3606674963716515,0.4736207292986162,69.22442603476567,0.030758372601454857,2.11925,8477.0,0.14509018260052628,0.3606674963716515,0.10375,2577,6316.801991203719,6316.801991203719,2293,5036.794963313301,5036.794963313301,284,1280.0070278904163,1280.0070278904163,1994,124,0.031,4,4571,4571,1.0,4000,0.008579640454429736,0.008579640454429736,0.5264001659335994,0.4985,0.5152400995601596,0.09227139850659762,0.010601496546431277,0.0
6,0.9919140471940502,0.14571197254669566,0.17154415530141728,0.3764252827887822,0.4745434614133191,66.4346198181785,0.02860466453124527,2.11975,8479.0,0.14571197254669566,0.3764252827887822,0.1005,2762,6919.077259897232,6919.077259897232,2408,5314.640899006521,5314.640899006521,354,1604.436360890716,1604.436360890716,2069,123,0.03075,12,4831,4831,1.0,4000,0.009909295262104488,0.009909295262104488,0.5765897716580546,0.51725,0.5528538629948327,0.09170719205507752,0.005409439754412881,0.0
7,0.9926390805522097,0.14698465320734097,0.17154415530141728,0.39277496256389033,0.47595268585441863,63.71154650479907,0.02533070480413376,2.12075,8483.0,0.14698465320734097,0.39277496256389033,0.10025,2623,6317.188412250859,6317.188412250859,2421,5240.04714151083,5240.04714151083,202,1077.141270740028,1077.141270740028,2041,142,0.0355,8,4664,4664,1.0,4000,0.01093936214787403,0.01093936214787403,0.5264323676875277,0.51025,0.5199594206125167,0.09220060869081226,0.018706254796623245,0.0
8,0.9922626543822876,0.14853212545050695,0.17154415530141728,0.4097199085859506,0.4773360592305597,61.06345527781586,0.026463767380486537,2.121,8484.0,0.14853212545050695,0.4097199085859506,0.10275,3188,8649.689958417732,8649.689958417732,2447,5270.469739373025,5270.469739373025,741,3379.220219044682,3379.220219044682,2130,137,0.03425,3,5318,5318,1.0,4000,0.011595414671763024,0.011595414671763024,0.7208074965347508,0.5325,0.6454844979208505,0.09031773253118724,0.019276093630084423,0.0
9,0.9936961565068941,0.14965565129639546,0.17154415530141728,0.4269799476027961,0.4787437466050591,58.49394214233036,0.02051628568419529,2.12225,8489.0,0.14965565129639546,0.4269799476027961,0.099,2872,7365.9152934235235,7365.9152934235235,2446,5194.240758981247,5194.240758981247,426,2171.674534442265,2171.674534442265,2212,133,0.03325,7,5084,5084,1.0,4000,0.012189584250027695,0.012189584250027695,0.6138262744519091,0.553,0.5894957646711455,0.09115756352993282,0.026863392171911027,0.0
10,0.9940628561514776,0.15083296886337313,0.17154415530141728,0.4444809580802715,0.4800442468973374,56.011655432637866,0.019029561630239476,2.12225,8489.0,0.15083296886337313,0.4444809580802715,0.10275,2832,7137.397021457839,7137.397021457839,2490,5345.887192988843,5345.887192988843,342,1791.5098284689982,1791.5098284689982,2218,131,0.03275,4,5050,5050,1.0,4000,0.012952202397562503,0.012952202397562503,0.5947830851214371,0.5545,0.5786698510728623,0.09131995223390707,0.025415771297006895,0.0
11,0.9933795968950961,0.15128941613666078,0.17154415530141728,0.4619466139725624,0.4808104280344966,53.62744308493854,0.021921121949380534,2.12275,8491.0,0.15128941613666078,0.4619466139725624,0.1035,2933,7203.210407433565,7203.210407433565,2494,5112.878734460651,5112.878734460651,439,2090.3316729729117,2090.3316729729117,2235,127,0.03175,4,5168,5168,1.0,4000,0.013082387970333086,0.013082387970333086,0.600267533952747,0.55875,0.5836605203716482,0.09124509219442528,0.020828472755180294,0.0
