cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9424302461790341,0.13782261473917176,0.17384115728132377,0.3054913195557382,0.46600608101119373,80.90542478607715,0.22097618337324382,2.1175,8470.0,0.13782261473917176,0.3054913195557382,0.11325,2295,3157.7517728849084,3157.7517728849084,2295,3157.7517728849084,3157.7517728849084,0,0.0,0.0,1957,256,0.064,6,4252,4252,1.0,4000,0.0,0.0,0.26314598107372045,0.48925,0.3535875886442323,0.09469618617033652,0.017184782608695715,0.0
2,0.9863256081114616,0.1401342060055974,0.17384115728132377,0.3174157608028083,0.4684213425802573,78.02415269016073,0.05024747403018027,2.11875,8475.0,0.1401342060055974,0.3174157608028083,0.0965,2448,4595.170416963074,4595.170416963074,2448,4595.170416963074,4595.170416963074,0,0.0,0.0,2119,212,0.053,13,4567,4567,1.0,4000,0.0027270191674059426,0.0027270191674059426,0.38293086808022425,0.52975,0.44165852084813456,0.09337512218727799,0.031563241106719375,0.0
3,0.9848122859541162,0.14302475858079675,0.17384115728132377,0.33024496078115123,0.47121558398712116,75.21551064484007,0.05578347172701224,2.12,8480.0,0.14302475858079675,0.33024496078115123,0.10425,2543,5173.7051463727885,5173.7051463727885,2543,5173.7051463727885,5173.7051463727885,0,0.0,0.0,2273,185,0.04625,9,4816,4816,1.0,4000,0.004906254075665703,0.004906254075665703,0.4311420955310298,0.56825,0.48598525731861786,0.09271022114022073,0.02223221343873527,0.0
4,0.9866052980626602,0.14449300000125534,0.17384115728132377,0.3436590636834974,0.47269108259721426,72.48147442960078,0.0497990494019449,2.122,8488.0,0.14449300000125534,0.3436590636834974,0.10125,2763,5819.7354209465,5819.7354209465,2725,5652.330741795766,5652.330741795766,38,167.4046791507351,167.4046791507351,2325,129,0.03225,12,5088,5088,1.0,4000,0.006839213286645685,0.006839213286645685,0.48497795174550123,0.58125,0.5234867710473008,0.09214769843429049,0.01811758893280635,0.0
5,0.990598597545662,0.1456550610444517,0.17384115728132377,0.35754746850929015,0.4740007426116551,69.83493691728778,0.033916852297668464,2.12325,8493.0,0.1456550610444517,0.35754746850929015,0.096,3110,7221.841870463354,7221.841870463354,2765,5696.567528820051,5696.567528820051,345,1525.2743416433027,1525.2743416433027,2535,143,0.03575,7,5645,5645,1.0,4000,0.008617116358231666,0.008617116358231666,0.601820155871896,0.63375,0.6145920935231376,0.09078111859715295,0.024158102766798417,0.0
6,0.9927064538174698,0.14763776995420017,0.17384115728132377,0.3715567192759334,0.47600140799829843,67.2974574229522,0.024834085588677272,2.125,8500.0,0.14763776995420017,0.3715567192759334,0.09525,3334,7866.20849291155,7866.20849291155,2883,5850.219258509882,5850.219258509882,451,2015.989234401663,2015.989234401663,2639,158,0.0395,13,5973,5973,1.0,4000,0.00989178681668019,0.00989178681668019,0.6555173744092412,0.65975,0.6572104246455447,0.09014184363031684,0.015421936758893362,0.0
7,0.9928665068729137,0.14848303743437957,0.17384115728132377,0.3856572991647749,0.47719920354791473,64.87412289944805,0.022269204108123126,2.12475,8499.0,0.14848303743437957,0.3856572991647749,0.09375,3106,6725.881441079901,6725.881441079901,2911,5719.031785676187,5719.031785676187,195,1006.8496554037122,1006.8496554037122,2725,152,0.038,7,5831,5831,1.0,4000,0.010967211845910766,0.010967211845910766,0.560490120089945,0.68125,0.6087940720539671,0.0908680889191905,0.02166501976284585,0.0
8,0.9938142089188925,0.14948686093618385,0.17384115728132377,0.3997562672627103,0.47843489333076367,62.57695574670275,0.018025963662131283,2.126,8504.0,0.14948686093618385,0.3997562672627103,0.0915,3883,9657.7330540348,9657.7330540348,2981,5721.688567681507,5721.688567681507,902,3936.0444863533007,3936.0444863533007,2815,119,0.02975,5,6698,6698,1.0,4000,0.011961722803131947,0.011961722803131947,0.8048110878361662,0.70375,0.7643866527016997,0.08853420020947451,0.026286561264822095,0.0
9,0.9940139173417673,0.15063283531180258,0.17384115728132377,0.41389027695922137,0.4797227970114492,60.39432939468768,0.017248516628375312,2.12675,8507.0,0.15063283531180258,0.41389027695922137,0.094,3445,7505.162647028903,7505.162647028903,3054,5621.279229724304,5621.279229724304,391,1883.8834173045832,1883.8834173045832,2909,121,0.03025,5,6354,6354,1.0,4000,0.012731940771114674,0.012731940771114674,0.6254302205856898,0.72725,0.6661581323514139,0.0900076280147288,0.019833992094861697,0.0
10,0.9933054276393825,0.15143753030315138,0.17384115728132377,0.42775079760959317,0.4807022140170296,58.33496770222256,0.020919996142039116,2.1265,8506.0,0.15143753030315138,0.42775079760959317,0.09725,3288,6663.161530356864,6663.161530356864,3075,5606.046596193689,5606.046596193689,213,1057.1149341631776,1057.1149341631776,2894,122,0.0305,7,6182,6182,1.0,4000,0.012999388540725151,0.012999388540725151,0.5552634608630257,0.7235,0.6225580765178155,0.09066162885223278,0.01658399209486172,0.0
