cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9426944601653516,0.13734710312842513,0.17154415530141728,0.3056218799934459,0.46564502326147167,80.86921082476226,0.2209794776740524,2.11825,8473.0,0.13734710312842513,0.3056218799934459,0.109,2077,2788.703231900003,2788.703231900003,2077,2788.703231900003,2788.703231900003,0,0.0,0.0,1694,247,0.06175,5,0,3771,0.0,4000,0.0,0.0,0.23239193599164756,0.4235,0.3088351615949885,0.09536747257607518,0.013793553338449782,0.0
2,0.9865907817709115,0.14038309448312528,0.17154415530141728,0.3178944150579189,0.46871417491021966,77.91700259168607,0.05282485574547821,2.118,8472.0,0.14038309448312528,0.3178944150579189,0.10075,2117,3776.8414818018127,3776.8414818018127,2117,3776.8414818018127,3776.8414818018127,0,0.0,0.0,1825,210,0.0525,5,0,3942,0.0,4000,0.0023831487181824452,0.0023831487181824452,0.31473679015012485,0.45625,0.3713420740900749,0.09442986888864888,0.005926899462778246,0.0
3,0.988449346416885,0.14295603912063837,0.17154415530141728,0.3311494577099279,0.47120323688356935,74.98440289717526,0.04619302761486627,2.11875,8475.0,0.14295603912063837,0.3311494577099279,0.1015,2197,4571.273068760469,4571.273068760469,2197,4571.273068760469,4571.273068760469,0,0.0,0.0,1820,186,0.0465,11,0,4017,0.0,4000,0.004827989898936393,0.004827989898936393,0.380939422396674,0.455,0.4105636534380044,0.09384154519842994,0.020526093630084397,0.0
4,0.9896477031458686,0.14418662854537254,0.17154415530141728,0.3454419047389949,0.47253560889006613,72.08316820478579,0.03820820577063708,2.1195,8478.0,0.14418662854537254,0.3454419047389949,0.1,2255,4948.407137851198,4948.407137851198,2222,4804.639434855226,4804.639434855226,33,143.7677029959731,143.7677029959731,1828,150,0.0375,13,0,4083,0.0,4000,0.00661740567063503,0.00661740567063503,0.4123672614875655,0.457,0.4302203568925393,0.09354669464661192,0.015118956254796645,0.0
5,0.9920555544235226,0.14607128309463996,0.17154415530141728,0.36066961226388755,0.47426444164888193,69.22076237507473,0.029117876816914447,2.1195,8478.0,0.14607128309463996,0.36066961226388755,0.09625,2476,6049.515999429177,6049.515999429177,2230,4938.240319818521,4938.240319818521,246,1111.275679610661,1111.275679610661,1952,139,0.03475,8,0,4428,0.0,4000,0.00809760292350897,0.00809760292350897,0.5041263332857228,0.488,0.49767579997143363,0.0925348630004285,0.015031657712970103,0.0
6,0.9931227101650218,0.1472840160855796,0.17154415530141728,0.376488200806335,0.4758070687724033,66.42193096566794,0.02363579267000692,2.12075,8483.0,0.1472840160855796,0.376488200806335,0.1035,2655,6691.129497448139,6691.129497448139,2302,5062.387105254529,5062.387105254529,353,1628.7423921936058,1628.7423921936058,1935,134,0.0335,13,0,4590,0.0,4000,0.009491264373394034,0.009491264373394034,0.5575941247872984,0.48375,0.5280564748723791,0.09207915287691432,0.01929355333844973,0.0
7,0.9935540421283331,0.14832215376503524,0.17154415530141728,0.3928524011806806,0.47685178808433704,63.68769391545754,0.020915002379809065,2.12175,8487.0,0.14832215376503524,0.3928524011806806,0.09625,2535,6333.742444863509,6333.742444863509,2322,5207.200175862597,5207.200175862597,213,1126.5422690009068,1126.5422690009068,2041,132,0.033,8,0,4576,0.0,4000,0.010255284445717515,0.010255284445717515,0.5278118704052485,0.51025,0.520787122243149,0.09218819316635277,0.013496738296239541,0.0
8,0.993185419686919,0.149048589102482,0.17154415530141728,0.40974327196325633,0.47798860681428496,61.031561005977956,0.02497216632228492,2.12175,8487.0,0.149048589102482,0.40974327196325633,0.099,3077,8300.016178831831,8300.016178831831,2354,5000.733542721076,5000.733542721076,723,3299.2826361107645,3299.2826361107645,2054,145,0.03625,6,0,5131,0.0,4000,0.011311571531967496,0.011311571531967496,0.6916680149025949,0.5135,0.6204008089415569,0.09069398786587665,0.007676899462778275,0.0
9,0.9930221892617861,0.14985026364496018,0.17154415530141728,0.4270889909684891,0.4788858560090456,58.45755811224355,0.025948312762236247,2.12275,8491.0,0.14985026364496018,0.4270889909684891,0.09625,2771,7375.442693967011,7375.442693967011,2341,5149.542632980546,5149.542632980546,430,2225.900060986453,2225.900060986453,2017,138,0.0345,6,0,4788,0.0,4000,0.011924178107336751,0.011924178107336751,0.6146202244971997,0.50425,0.5704721346983197,0.09144291797952521,0.02654355333844982,0.0
10,0.9935673471256765,0.151469583638148,0.17154415530141728,0.4445914050684753,0.48055875571165996,55.97134564464862,0.02284182836426178,2.12325,8493.0,0.151469583638148,0.4445914050684753,0.102,2710,6728.966192465085,6728.966192465085,2396,5069.780034645637,5069.780034645637,314,1659.1861578194432,1659.1861578194432,2103,148,0.037,4,0,4813,0.0,4000,0.012449844981433868,0.012449844981433868,0.560747182705377,0.52575,0.5467483096232262,0.09179877535565162,0.008514198004604734,0.0
11,0.9940218017191236,0.1522324695141754,0.17154415530141728,0.4621397774944233,0.48154461631155354,53.57986540967347,0.01996073873674289,2.124,8496.0,0.1522324695141754,0.4621397774944233,0.107,2847,7248.7058514870705,7248.7058514870705,2370,4909.02626844141,4909.02626844141,477,2339.679583045668,2339.679583045668,2126,133,0.03325,5,0,4973,0.0,4000,0.013098685074525137,0.013098685074525137,0.6040588209572055,0.5315,0.5750352925743234,0.09137447061138515,0.01886339217191102,0.0
12,0.9941759095560034,0.1528467595258284,0.17154415530141728,0.4793405423774637,0.48235224552826683,51.2956109360771,0.0187537307832432,2.124,8496.0,0.1528467595258284,0.4793405423774637,0.10675,3230,8845.876026526772,8845.876026526772,2409,5084.055113586171,5084.055113586171,821,3761.8209129406046,3761.8209129406046,2149,126,0.0315,8,0,5379,0.0,4000,0.013555791743246177,0.013555791743246177,0.7371563355438362,0.53725,0.6571938013263017,0.09014209298010548,0.0306252877973906,0.0
13,0.9933998316038772,0.15366962116376418,0.17154415530141728,0.4961164305921386,0.4834113321574551,49.11974199677895,0.021605681034974976,2.12425,8497.0,0.15366962116376418,0.4961164305921386,0.1015,3013,7763.1349269359125,7763.1349269359125,2441,4975.001879928437,4975.001879928437,572,2788.1330470074904,2788.1330470074904,2201,128,0.032,3,0,5214,0.0,4000,0.013875448964227753,0.013875448964227753,0.6469279105779387,0.55025,0.6082567463467632,0.09087614880479855,0.022828472755180296,0.0
14,0.9932440854929923,0.15486894579097565,0.17154415530141728,0.512733675019253,0.4847630527157817,47.03513350451963,0.021248223197595797,2.12425,8497.0,0.15486894579097565,0.512733675019253,0.0925,2869,7012.287282125768,7012.287282125768,2506,5149.968404231557,5149.968404231557,363,1862.3188778942115,1862.3188778942115,2225,140,0.035,6,0,5094,0.0,4000,0.013834931504494566,0.013834931504494566,0.584357273510432,0.55625,0.5731143641062593,0.09140328453840611,0.022618956254796596,0.0
15,0.9933655366299163,0.15539062715395582,0.17154415530141728,0.5287165223863607,0.4856115821462328,45.05562020465093,0.021152199553288474,2.1245,8498.0,0.15539062715395582,0.5287165223863607,0.0965,2724,6176.590089304479,6176.590089304479,2486,4906.104182990872,4906.104182990872,238,1270.4859063136043,1270.4859063136043,2229,146,0.0365,3,0,4953,0.0,4000,0.013920838680719423,0.013920838680719423,0.5147158407753304,0.55725,0.5317295044651983,0.09202405743302203,0.01938641596316193,0.0
16,0.9930065262456784,0.15612223608453987,0.17154415530141728,0.5441040353886984,0.4865962542629576,43.1767442794116,0.020738638466947065,2.12475,8499.0,0.15612223608453987,0.5441040353886984,0.10425,2975,7058.61565793612,7058.61565793612,2537,4982.826423461473,4982.826423461473,438,2075.789234474643,2075.789234474643,2276,131,0.03275,11,0,5251,0.0,4000,0.014162976847054256,0.014162976847054256,0.5882179714946276,0.569,0.5805307828967765,0.09129203825654836,0.017776093630084477,0.0
