cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.942658442200651,0.13779951312959074,0.17384115728132377,0.30548453137660747,0.46596884095089924,80.90466939187758,0.22022618337324382,2.1175,8470.0,0.13779951312959074,0.30548453137660747,0.11325,2294,3159.7532537212646,3159.7532537212646,2294,3159.7532537212646,3159.7532537212646,0,0.0,0.0,1958,257,0.06425,6,0,4252,0.0,4000,0.0,0.0,0.2633127711434168,0.4895,0.35378766268605005,0.09469318505970925,0.017184782608695715,0.0
2,0.986238385393,0.13994167769786717,0.17384115728132377,0.31740501887457195,0.46828782296914884,78.0203512634754,0.04713304731335326,2.11875,8475.0,0.13994167769786717,0.31740501887457195,0.0965,2429,4516.943584391468,4516.943584391468,2429,4516.943584391468,4516.943584391468,0,0.0,0.0,2138,200,0.05,13,0,4567,0.0,4000,0.002716374614358146,0.002716374614358146,0.3764119653659243,0.5345,0.43964717921955454,0.09340529231170669,0.031563241106719375,0.0
3,0.9845765992424279,0.14167574456088358,0.17384115728132377,0.33017787997698317,0.470221784304773,75.20936255047444,0.05476569663993361,2.12,8480.0,0.14167574456088358,0.33017787997698317,0.1045,2530,5064.428081347417,5064.428081347417,2530,5064.428081347417,5064.428081347417,0,0.0,0.0,2223,200,0.05,9,0,4753,0.0,4000,0.004927920578835209,0.004927920578835209,0.4220356734455829,0.55575,0.4755214040673497,0.09286717893898976,0.021982213438735188,0.0
4,0.9848218201904607,0.14313706064890458,0.17384115728132377,0.3436144625538609,0.47169933147982623,72.47764649388482,0.05426719987485264,2.1225,8490.0,0.14313706064890458,0.3436144625538609,0.10025,2646,5643.164408217428,5643.164408217428,2603,5455.805787180058,5455.805787180058,43,187.3586210373723,187.3586210373723,2336,151,0.03775,12,0,4982,0.0,4000,0.006806200826824449,0.006806200826824449,0.47026370068474643,0.584,0.5157582204108478,0.0922636266938373,0.0151650197628459,0.0
5,0.9905406545618545,0.14486249861181563,0.17384115728132377,0.3575155363987263,0.47341074236761005,69.82445262741632,0.033211272844990834,2.12325,8493.0,0.14486249861181563,0.3575155363987263,0.10025,3032,6958.165464904259,6958.165464904259,2719,5566.314608776954,5566.314608776954,313,1391.850856127302,1391.850856127302,2450,131,0.03275,9,0,5482,0.0,4000,0.008444152862684016,0.008444152862684016,0.5798471220753066,0.6125,0.592908273245184,0.09110637590132224,0.021489130434782622,0.0
6,0.9937032328461058,0.14612334974375676,0.17384115728132377,0.3716008618264943,0.47485399359101305,67.27555920714539,0.021396598701618152,2.12475,8499.0,0.14612334974375676,0.3716008618264943,0.099,3211,7541.192483406622,7541.192483406622,2776,5587.031131097996,5587.031131097996,435,1954.1613523086423,1954.1613523086423,2532,138,0.0345,14,0,5743,0.0,4000,0.009315895370765907,0.009315895370765907,0.6284327069504995,0.633,0.6302596241702997,0.09054610563744551,0.00850988142292497,0.0
7,0.9925699231164021,0.147247176195548,0.17384115728132377,0.38576801110413517,0.4761742501190193,64.84197047417844,0.020267349591614116,2.1245,8498.0,0.147247176195548,0.38576801110413517,0.1035,3096,7061.383039658423,7061.383039658423,2895,6027.885112777472,6027.885112777472,201,1033.4979268809443,1033.4979268809443,2648,138,0.0345,9,0,5744,0.0,4000,0.01043276844603979,0.01043276844603979,0.5884485866381528,0.662,0.6178691519828917,0.09073196272025663,0.02456324110671937,0.0
8,0.9938013680153645,0.14803668083628171,0.17384115728132377,0.4000207621966043,0.47721671909203744,62.53157296538235,0.016657744144443796,2.12525,8501.0,0.14803668083628171,0.4000207621966043,0.09375,3833,9587.183907435925,9587.183907435925,2941,5631.11824729262,5631.11824729262,892,3956.065660143294,3956.065660143294,2711,118,0.0295,5,0,6544,0.0,4000,0.011538423029888677,0.011538423029888677,0.7989319922862604,0.67775,0.7504591953717563,0.08874311206942366,0.012969367588932856,0.0
9,0.9936880819876717,0.14919353580615252,0.17384115728132377,0.41431404095952695,0.4784867442654991,60.33178079786451,0.017669726044457747,2.127,8508.0,0.14919353580615252,0.41431404095952695,0.08875,3386,7454.748671938943,7454.748671938943,2988,5544.090299654948,5544.090299654948,398,1910.658372283992,1910.658372283992,2752,125,0.03125,7,0,6138,0.0,4000,0.012372383640841809,0.012372383640841809,0.6212290559948601,0.688,0.6479374335969161,0.09028093849604626,0.01796936758893286,0.0
10,0.9938219949906416,0.150710024132117,0.17384115728132377,0.4282851763573816,0.4802455383717148,58.25374029129988,0.016955165551884532,2.12775,8511.0,0.150710024132117,0.4282851763573816,0.094,3303,6831.383668314827,6831.383668314827,3059,5606.952787541863,5606.952787541863,244,1224.4308807729712,1224.4308807729712,2809,144,0.036,7,0,6112,0.0,4000,0.01285767183622931,0.01285767183622931,0.5692819723595215,0.70225,0.622469183415713,0.09066296224876431,0.022996047430830058,0.0
11,0.9924653800502385,0.15149375183295946,0.17384115728132377,0.4419852142355367,0.4812546272137252,56.299924158942055,0.023047778555926754,2.128,8512.0,0.15149375183295946,0.4419852142355367,0.09875,3438,7159.815491316999,7159.815491316999,3071,5474.1289967191115,5474.1289967191115,367,1685.6864945979105,1685.6864945979105,2902,133,0.03325,11,0,6340,0.0,4000,0.01359577551773892,0.01359577551773892,0.5966512909430335,0.7255,0.6481907745658201,0.0902771383815127,0.024570158102766748,0.0
12,0.9925013313071616,0.1527380912829889,0.17384115728132377,0.4552633418642941,0.4824610052749672,54.47526688363246,0.02273420789055828,2.12775,8511.0,0.1527380912829889,0.4552633418642941,0.098,4157,9800.269213568512,9800.269213568512,3133,5352.847099179142,5352.847099179142,1024,4447.422114389343,4447.422114389343,2984,136,0.034,11,0,7141,0.0,4000,0.013960365033568047,0.013960365033568047,0.8166891011306412,0.746,0.7884134606783847,0.08817379808982423,0.015043478260869603,0.0
13,0.9925196535424626,0.15368641125076649,0.17384115728132377,0.46788923558183376,0.48375357959844534,52.779011904675684,0.02242742667472114,2.1285,8514.0,0.15368641125076649,0.46788923558183376,0.0945,3805,8266.360225314027,8266.360225314027,3170,5396.97073647154,5396.97073647154,635,2869.3894888424793,2869.3894888424793,3019,144,0.036,5,0,6824,0.0,4000,0.01432326287716597,0.01432326287716597,0.6888633521094448,0.75475,0.715218011265667,0.089271729831015,0.01696245059288537,0.0
14,0.9921576635780076,0.15438004666986285,0.17384115728132377,0.47987473752009885,0.4846444008992338,51.19938065966813,0.022518865364075207,2.129,8516.0,0.15438004666986285,0.47987473752009885,0.1005,3558,6915.7820259130895,6915.7820259130895,3222,5330.647701812713,5330.647701812713,336,1585.134324100363,1585.134324100363,3029,129,0.03225,8,0,6587,0.0,4000,0.01439170527275217,0.01439170527275217,0.5763151688260427,0.75725,0.6486891012956256,0.09026966348056562,0.013333992094861635,0.0
