cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.94525775989877,0.13822210611528055,0.17384115728132377,0.30542684447861485,0.4664467684107179,80.91313551630678,0.2115354629892259,2.1175,8470.0,0.13822210611528055,0.30542684447861485,0.11325,2902,4278.704166262273,4278.704166262273,2902,4278.704166262273,4278.704166262273,0,0.0,0.0,2649,255,0.06375,6,2820,5551,0.5080165735903441,4000,0.0,0.0,0.3565586805218264,0.66225,0.47883520831309584,0.09281747187530356,0.017184782608695715,0.0
2,0.9877248049078294,0.14077416631586157,0.17384115728132377,0.31718951045748384,0.4693199865485143,78.06364450708381,0.04707105449912373,2.118,8472.0,0.14077416631586157,0.31718951045748384,0.09725,3018,5608.169648805971,5608.169648805971,3018,5608.169648805971,5608.169648805971,0,0.0,0.0,2786,228,0.057,14,2911,5804,0.5015506547208821,4000,0.003037028275736275,0.003037028275736275,0.4673474707337919,0.6965,0.5590084824402751,0.09161487276339587,0.01737450592885381,0.0
3,0.9850674620001395,0.1417457278141324,0.17384115728132377,0.32957226531304373,0.4704481477574679,75.30516869816793,0.05886816492190869,2.12025,8481.0,0.1417457278141324,0.32957226531304373,0.105,3014,5738.491196844226,5738.491196844226,3014,5738.491196844226,5738.491196844226,0,0.0,0.0,2805,150,0.0375,13,2868,5819,0.4928681904107235,4000,0.005491743238896271,0.005491743238896271,0.47820759973697896,0.70125,0.5674245598421874,0.0914886316023672,0.01990118577075095,0.0
4,0.9888871845397463,0.14321388063142831,0.17384115728132377,0.3425707789764501,0.47203734916632833,72.62521233085839,0.04161147060734314,2.1205,8482.0,0.14321388063142831,0.3425707789764501,0.0975,3108,6220.717743402177,6220.717743402177,3054,5983.9368205317505,5983.9368205317505,54,236.78092287042224,236.78092287042224,2876,159,0.03975,5,2991,5984,0.49983288770053474,4000,0.007761700543750087,0.007761700543750087,0.5183931452834715,0.719,0.5986358871700829,0.09102046169244876,0.02186758893280627,0.0
5,0.991457277636544,0.1444361203412763,0.17384115728132377,0.35595221475828875,0.4733703286268924,70.05038247503037,0.029898313329451736,2.1205,8482.0,0.1444361203412763,0.35595221475828875,0.1,3534,7865.446805410073,7865.446805410073,3148,6166.739162522777,6166.739162522777,386,1698.707642887296,1698.707642887296,2932,151,0.03775,2,3271,6466,0.5058768945252088,4000,0.009369607691206747,0.009369607691206747,0.6554539004507848,0.733,0.6864723402704709,0.08970291489594294,0.024110671936758865,0.0
6,0.9925417319854132,0.14611217874511986,0.17384115728132377,0.36950649621080156,0.47510773392006866,67.59522929942769,0.024673326592442278,2.12175,8487.0,0.14611217874511986,0.36950649621080156,0.0915,3712,8171.956161746964,8171.956161746964,3244,6119.904235027623,6119.904235027623,468,2052.051926719347,2052.051926719347,3061,155,0.03875,7,3352,6773,0.49490624538609185,4000,0.010706422051420281,0.010706422051420281,0.6809963468121902,0.76525,0.7146978080873141,0.0892795328786903,0.011266798418972268,0.0
7,0.9920641142195616,0.14732690698787088,0.17384115728132377,0.383069712774598,0.4763235676319831,65.26224889574874,0.028305525299974342,2.12175,8487.0,0.14732690698787088,0.383069712774598,0.1005,3357,6505.762829921507,6505.762829921507,3201,5737.953746814524,5737.953746814524,156,767.809083106982,767.809083106982,3085,127,0.03175,2,3191,6442,0.4953430611611301,4000,0.011470754643308602,0.011470754643308602,0.5421469024934137,0.77125,0.6337881414960482,0.09049317787755928,0.014124505928853726,0.0
8,0.9929531912387471,0.14821418253536173,0.17384115728132377,0.39651997926306637,0.4773688520733003,63.06469267270676,0.025482072071955787,2.12275,8491.0,0.14821418253536173,0.39651997926306637,0.0975,4221,10116.883621472309,10116.883621472309,3222,5823.62307063463,5823.62307063463,999,4293.260550837664,4293.260550837664,3143,130,0.0325,10,3721,7364,0.5052960347637153,4000,0.012615928654594561,0.012615928654594561,0.8430736351226221,0.78575,0.8201441810735732,0.08769783728389641,0.032144268774703555,0.0
9,0.9944464941934543,0.14920211163243605,0.17384115728132377,0.40991156944222557,0.47865994944299006,60.980747431356185,0.019515565160332208,2.123,8492.0,0.14920211163243605,0.40991156944222557,0.10375,3645,7548.304787621948,7548.304787621948,3280,5835.329448661586,5835.329448661586,365,1712.975338960377,1712.975338960377,3184,135,0.03375,11,3400,6829,0.49787670229901887,4000,0.01337039958220069,0.01337039958220069,0.6290253989684432,0.796,0.6958152393810659,0.08956277140928402,0.0322183794466403,0.0
10,0.9949341461564698,0.14997372629431865,0.17384115728132377,0.4229282164735028,0.4795726540495118,59.01646728656012,0.015991583568163253,2.12275,8491.0,0.14997372629431865,0.4229282164735028,0.0925,3487,6569.429490255312,6569.429490255312,3311,5723.407602051856,5723.407602051856,176,846.0218882034541,846.0218882034541,3198,129,0.03225,9,3327,6685,0.49768137621540764,4000,0.013985835014810898,0.013985835014810898,0.5474524575212304,0.7995,0.6482714745127383,0.09027592788230893,0.023705533596837913,0.0
