cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9427321282941649,0.13743138826862827,0.17154415530141728,0.30557359973125664,0.4657522968350406,80.87210667488779,0.21981426457375958,2.11825,8473.0,0.13743138826862827,0.30557359973125664,0.109,2465,3410.9549176112364,3410.9549176112364,2465,3410.9549176112364,3410.9549176112364,0,0.0,0.0,2096,247,0.06175,5,2343,4561,0.5137031352773515,4000,0.0,0.0,0.284246243134246,0.524,0.3801477458805476,0.0942977838117918,0.013793553338449782,0.0
2,0.9856542209891944,0.14007296283252194,0.17154415530141728,0.31779956625388933,0.46834413288384635,77.92774576326485,0.053633074991491426,2.1185,8474.0,0.14007296283252194,0.31779956625388933,0.1025,2502,4626.148302111985,4626.148302111985,2502,4626.148302111985,4626.148302111985,0,0.0,0.0,2139,217,0.05425,7,2363,4641,0.5091575091575091,4000,0.0026861680659256777,0.0026861680659256777,0.38551235850929993,0.53475,0.44520741510557993,0.09332188877341631,0.02259593246354563,0.0
3,0.9832686298599985,0.14214782499433518,0.17154415530141728,0.33104676082743617,0.470473561438515,75.02505993159508,0.06465008900754453,2.1185,8474.0,0.14214782499433518,0.33104676082743617,0.096,2485,4971.004463315142,4971.004463315142,2485,4971.004463315142,4971.004463315142,0,0.0,0.0,2197,181,0.04525,4,2316,4682,0.4946604015378044,4000,0.005336858528792048,0.005336858528792048,0.41425037194289394,0.54925,0.4682502231657364,0.09297624665251396,0.018351496546431312,0.0
4,0.9856726115470752,0.14350399318516813,0.17154415530141728,0.3452262730535406,0.47195267525067003,72.15664341964515,0.055004392479659596,2.11875,8475.0,0.14350399318516813,0.3452262730535406,0.09525,2577,5609.721753164229,5609.721753164229,2529,5399.739572892281,5399.739572892281,48,209.9821802719419,209.9821802719419,2271,163,0.04075,11,2439,4848,0.5030940594059405,4000,0.007525489236680916,0.007525489236680916,0.4674768127636468,0.56775,0.507586087658188,0.09238620868512719,0.009891980046047633,0.0
5,0.9915184277976312,0.1448188606740041,0.17154415530141728,0.36030493264821867,0.4733856054364182,69.31491098539959,0.02987488355678037,2.11925,8477.0,0.1448188606740041,0.36030493264821867,0.09975,2874,6876.901714714847,6876.901714714847,2577,5546.309453974239,5546.309453974239,297,1330.5922607406083,1330.5922607406083,2295,153,0.03825,4,2547,5169,0.4927452118398143,4000,0.009100234200263816,0.009100234200263816,0.5730751428928561,0.57375,0.5733450857357136,0.0913998237139643,0.03685782808902527,0.0
6,0.992440928085046,0.14558940262635783,0.17154415530141728,0.3758866779046389,0.47441957794457607,66.54369064542631,0.027899889432369217,2.12,8480.0,0.14558940262635783,0.3758866779046389,0.09725,3020,7337.18200086288,7337.18200086288,2617,5497.450970558541,5497.450970558541,403,1839.7310303043382,1839.7310303043382,2351,128,0.032,3,2635,5371,0.49059765406814376,4000,0.010145789538384565,0.010145789538384565,0.611431833405189,0.58775,0.6019591000431134,0.0909706134993533,0.004822141212586395,0.0
7,0.9936342719753637,0.1466046943740662,0.17154415530141728,0.39205255988260757,0.47561162088414904,63.83697908024495,0.020687544724798904,2.1205,8482.0,0.1466046943740662,0.39205255988260757,0.096,2853,6518.94271372517,6518.94271372517,2666,5540.816742557268,5540.816742557268,187,978.125971167903,978.125971167903,2364,129,0.03225,4,2646,5217,0.5071880391029328,4000,0.011144464342254776,0.011144464342254776,0.5432452261437188,0.591,0.5623471356862313,0.09156479296470654,0.016049117421335413,0.0
8,0.9930414044722298,0.14743604262856316,0.17154415530141728,0.408695767563019,0.4766228348364207,61.2141450707458,0.025225093709075726,2.12125,8485.0,0.14743604262856316,0.408695767563019,0.10625,3503,9202.517639124202,9202.517639124202,2649,5351.164526173894,5351.164526173894,854,3851.353112950323,3851.353112950323,2400,124,0.031,5,2931,5903,0.49652718956462816,4000,0.011890780400894347,0.011890780400894347,0.7668764699269529,0.6,0.7001258819561718,0.08949811177065743,0.02345069071373762,0.0
9,0.9937507057520805,0.14906332800879404,0.17154415530141728,0.42572157173675507,0.4783648060408744,58.670120846418094,0.024478379072090068,2.1215,8486.0,0.14906332800879404,0.42572157173675507,0.091,3134,7671.6060849250625,7671.6060849250625,2726,5643.919899572027,5643.919899572027,408,2027.6861853530224,2027.6861853530224,2439,139,0.03475,5,2827,5573,0.5072671810514983,4000,0.012393106345758539,0.012393106345758539,0.6393005070770352,0.60975,0.6274803042462211,0.09058779543630668,0.005699923254029238,0.0
10,0.9921910292236726,0.14961436743682582,0.17154415530141728,0.4428150210316484,0.47913861158145415,56.223257230219836,0.031155218003833682,2.1215,8486.0,0.14961436743682582,0.4428150210316484,0.0995,2988,6878.5664717514155,6878.5664717514155,2679,5324.5431099395555,5324.5431099395555,309,1554.0233618118607,1554.0233618118607,2460,139,0.03475,8,2725,5448,0.5001835535976505,4000,0.013048673169658421,0.013048673169658421,0.5732138726459035,0.615,0.5899283235875421,0.09115107514618688,0.029433231005372207,0.0
11,0.9916630153224765,0.1506685212219093,0.17154415530141728,0.4600033256941345,0.4804702829570634,53.87097402501314,0.0333069523690175,2.12225,8489.0,0.1506685212219093,0.4600033256941345,0.103,3179,7484.923239877281,7484.923239877281,2717,5347.063371354323,5347.063371354323,462,2137.859868522962,2137.859868522962,2500,137,0.03425,5,2893,5679,0.5094206726536362,4000,0.013315529164268538,0.013315529164268538,0.6237436033230548,0.625,0.6242461619938329,0.09063630757009251,0.025165771297006923,0.0
12,0.9924178226680855,0.15198806499511633,0.17154415530141728,0.4767991844688719,0.4818559362333502,51.62840075975961,0.029589808523127245,2.12275,8491.0,0.15198806499511633,0.4767991844688719,0.09125,3700,9402.746813313526,9402.746813313526,2796,5397.196063997622,5397.196063997622,904,4005.5507493159294,4005.5507493159294,2500,143,0.03575,6,3140,6200,0.5064516129032258,4000,0.013520321259148243,0.013520321259148243,0.7835622344427285,0.625,0.7201373406656371,0.08919793989001545,0.0046824635456638175,0.0
