run_group,check_rep,scenario,metric,n,mean,sd,ci95_half_width,relative_half_width,passed,criterion
r20260612_134238,10,ce_off,MEAN_LOCAL_CE_ACTIVATION,10,0.0,0.0,0.0,0.0,True,abs_hw<=0.0001
r20260612_134238,10,ce_off,CEI_SIM,10,0.0,0.0,0.0,0.0,True,abs_hw<=0.0001
r20260612_134238,10,ce_off,UNEMPLOYMENT,10,0.10000000000000002,0.0,0.0,0.0,True,rel_hw<=0.05
r20260612_134238,10,ce_off,D_adv_exposure,10,0.030004745034712704,0.0004014799913844283,0.0002488398767208759,0.008293350816112294,True,rel_hw<=0.05
r20260612_134238,10,ce_off,D_resources,10,0.025207203515319458,0.013133432653096765,0.00814018589332191,0.3229309387046756,False,rel_hw<=0.05
r20260612_134238,10,ce_off,MEAN_RESOURCES,10,1.0260592422214068,0.013742188788319601,0.00851749685499541,0.00830117453701321,True,rel_hw<=0.05
r20260612_134238,10,ce_light,MEAN_LOCAL_CE_ACTIVATION,10,0.026348566015223156,0.013724594080107174,0.008506591541862812,0.3228483681786721,False,rel_hw<=0.05
r20260612_134238,10,ce_light,CEI_SIM,10,0.5637779864937122,0.0026589468201773108,0.0016480323132884017,0.002923193797505221,True,rel_hw<=0.05
r20260612_134238,10,ce_light,UNEMPLOYMENT,10,0.09154333020259432,3.9884202302663573e-05,2.472048469932845e-05,0.0002700413524897948,True,rel_hw<=0.05
r20260612_134238,10,ce_light,D_adv_exposure,10,0.1777947587008661,0.009410980788993223,0.005832986324624183,0.03280741438749604,True,rel_hw<=0.05
r20260612_134238,10,ce_light,D_resources,10,0.14575662158504424,0.015568793998630785,0.009649638493696197,0.06620377440668071,False,rel_hw<=0.05
r20260612_134238,10,ce_light,MEAN_RESOURCES,10,1.1716564634909086,0.021628818478282356,0.01340568057998303,0.011441647784745098,True,rel_hw<=0.05
r20260612_134238,10,baseline,MEAN_LOCAL_CE_ACTIVATION,10,0.01904324528001575,0.001010566033476967,0.0006263553167906798,0.03289120670246189,True,rel_hw<=0.05
r20260612_134238,10,baseline,CEI_SIM,10,0.6183500198000312,0.0018817551238816833,0.0011663239092710518,0.0018861872271763334,True,rel_hw<=0.05
r20260612_134238,10,baseline,UNEMPLOYMENT,10,0.09072474970299955,2.822632685821861e-05,1.7494858639061662e-05,0.00019283446574758909,True,rel_hw<=0.05
r20260612_134238,10,baseline,D_adv_exposure,10,0.1700529705241359,0.000338872619051471,0.00021003542532236637,0.0012351176499592854,True,rel_hw<=0.05
r20260612_134238,10,baseline,D_resources,10,0.3795971491557216,0.017676370799749923,0.010955928128608763,0.028861987380506715,True,rel_hw<=0.05
r20260612_134238,10,baseline,MEAN_RESOURCES,10,1.621033082540169,0.04592526376132021,0.028464773383433613,0.017559649886249782,True,rel_hw<=0.05
r20260612_134238,10,ce_strong,MEAN_LOCAL_CE_ACTIVATION,10,0.019440550385949197,0.0031031040302930335,0.0019233238042261275,0.09893360867067962,False,rel_hw<=0.05
r20260612_134238,10,ce_strong,CEI_SIM,10,0.6419630210832671,0.001616737747188711,0.0010020644374160192,0.0015609379426950582,True,rel_hw<=0.05
