run_group,experiment,scenario,scenario_label,replicate,seed,beta_cei,observability_prob,run_tag,run_dir,master_csv,k1_spatial_npz,duration_sec,status,error
r20260612_134238,main,ce_off,Linear reference,0,12345,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r000_m_ce_off,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r000_m_ce_off\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r000_m_ce_off\K1_spatial_ce_intensity.npz,78.208009,ok,
r20260612_134238,main,ce_light,Low-intensity CE,0,12345,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r000_m_ce_light,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r000_m_ce_light\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r000_m_ce_light\K1_spatial_ce_intensity.npz,269.192237,ok,
r20260612_134238,main,baseline,Status-quo CE,0,12345,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r000_m_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r000_m_baseline\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r000_m_baseline\K1_spatial_ce_intensity.npz,279.290376,ok,
r20260612_134238,main,ce_strong,Targeted CE expansion,0,12345,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r000_m_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r000_m_ce_strong\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r000_m_ce_strong\K1_spatial_ce_intensity.npz,279.051333,ok,
r20260612_134238,main,ce_off,Linear reference,1,12346,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r001_m_ce_off,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r001_m_ce_off\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r001_m_ce_off\K1_spatial_ce_intensity.npz,91.695791,ok,
r20260612_134238,main,ce_light,Low-intensity CE,1,12346,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r001_m_ce_light,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r001_m_ce_light\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r001_m_ce_light\K1_spatial_ce_intensity.npz,270.803841,ok,
r20260612_134238,main,baseline,Status-quo CE,1,12346,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r001_m_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r001_m_baseline\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r001_m_baseline\K1_spatial_ce_intensity.npz,299.136057,ok,
r20260612_134238,main,ce_strong,Targeted CE expansion,1,12346,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r001_m_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r001_m_ce_strong\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r001_m_ce_strong\K1_spatial_ce_intensity.npz,344.859725,ok,
r20260612_134238,main,ce_off,Linear reference,2,12347,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r002_m_ce_off,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r002_m_ce_off\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r002_m_ce_off\K1_spatial_ce_intensity.npz,70.478004,ok,
r20260612_134238,main,ce_light,Low-intensity CE,2,12347,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r002_m_ce_light,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r002_m_ce_light\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r002_m_ce_light\K1_spatial_ce_intensity.npz,106.663328,ok,
