run_group,stage,experiment,scenario,replicate,seed,beta_cei,observability_prob,duration_sec,status
r20260612_134238,simulation,main,ce_off,0,12345,-0.015,0.5,78.208009,ok
r20260612_134238,simulation,main,ce_light,0,12345,-0.015,0.5,269.192237,ok
r20260612_134238,simulation,main,baseline,0,12345,-0.015,0.5,279.290376,ok
r20260612_134238,simulation,main,ce_strong,0,12345,-0.015,0.5,279.051333,ok
r20260612_134238,simulation,main,ce_off,1,12346,-0.015,0.5,91.695791,ok
r20260612_134238,simulation,main,ce_light,1,12346,-0.015,0.5,270.803841,ok
r20260612_134238,simulation,main,baseline,1,12346,-0.015,0.5,299.136057,ok
r20260612_134238,simulation,main,ce_strong,1,12346,-0.015,0.5,344.859725,ok
r20260612_134238,simulation,main,ce_off,2,12347,-0.015,0.5,70.478004,ok
r20260612_134238,simulation,main,ce_light,2,12347,-0.015,0.5,106.663328,ok
r20260612_134238,simulation,main,baseline,2,12347,-0.015,0.5,130.643104,ok
r20260612_134238,simulation,main,ce_strong,2,12347,-0.015,0.5,132.020324,ok
r20260612_134238,simulation,main,ce_off,3,12348,-0.015,0.5,31.349577,ok
r20260612_134238,simulation,main,ce_light,3,12348,-0.015,0.5,112.495059,ok
r20260612_134238,simulation,main,baseline,3,12348,-0.015,0.5,125.101377,ok
r20260612_134238,simulation,main,ce_strong,3,12348,-0.015,0.5,270.379255,ok
r20260612_134238,simulation,main,ce_off,4,12349,-0.015,0.5,156.898169,ok
r20260612_134238,simulation,main,ce_light,4,12349,-0.015,0.5,481.001537,ok
r20260612_134238,simulation,main,baseline,4,12349,-0.015,0.5,322.932993,ok
r20260612_134238,simulation,main,ce_strong,4,12349,-0.015,0.5,422.897087,ok
r20260612_134238,simulation,main,ce_off,5,12350,-0.015,0.5,130.159593,ok
r20260612_134238,simulation,main,ce_light,5,12350,-0.015,0.5,314.163887,ok
r20260612_134238,simulation,main,baseline,5,12350,-0.015,0.5,264.000213,ok
r20260612_134238,simulation,main,ce_strong,5,12350,-0.015,0.5,302.809336,ok
r20260612_134238,simulation,main,ce_off,6,12351,-0.015,0.5,108.857649,ok
r20260612_134238,simulation,main,ce_light,6,12351,-0.015,0.5,327.272973,ok
r20260612_134238,simulation,main,baseline,6,12351,-0.015,0.5,346.891619,ok
r20260612_134238,simulation,main,ce_strong,6,12351,-0.015,0.5,394.288696,ok
r20260612_134238,simulation,main,ce_off,7,12352,-0.015,0.5,147.665193,ok
r20260612_134238,simulation,main,ce_light,7,12352,-0.015,0.5,505.717600,ok
r20260612_134238,simulation,main,baseline,7,12352,-0.015,0.5,608.292612,ok
r20260612_134238,simulation,main,ce_strong,7,12352,-0.015,0.5,537.661932,ok
r20260612_134238,simulation,main,ce_off,8,12353,-0.015,0.5,30.562943,ok
r20260612_134238,simulation,main,ce_light,8,12353,-0.015,0.5,204.879720,ok
r20260612_134238,simulation,main,baseline,8,12353,-0.015,0.5,329.660069,ok
r20260612_134238,simulation,main,ce_strong,8,12353,-0.015,0.5,353.427857,ok
r20260612_134238,simulation,main,ce_off,9,12354,-0.015,0.5,81.689596,ok
r20260612_134238,simulation,main,ce_light,9,12354,-0.015,0.5,263.987731,ok
r20260612_134238,simulation,main,baseline,9,12354,-0.015,0.5,287.661670,ok
r20260612_134238,simulation,main,ce_strong,9,12354,-0.015,0.5,335.959129,ok
r20260612_134238,simulation,main,ce_off,10,12355,-0.015,0.5,86.014284,ok
r20260612_134238,simulation,main,ce_light,10,12355,-0.015,0.5,184.692538,ok
r20260612_134238,simulation,main,baseline,10,12355,-0.015,0.5,109.299124,ok
r20260612_134238,simulation,main,ce_strong,10,12355,-0.015,0.5,130.413907,ok
r20260612_134238,simulation,main,ce_off,11,12356,-0.015,0.5,30.980078,ok
r20260612_134238,simulation,main,ce_light,11,12356,-0.015,0.5,96.995100,ok
r20260612_134238,simulation,main,baseline,11,12356,-0.015,0.5,118.048912,ok
r20260612_134238,simulation,main,ce_strong,11,12356,-0.015,0.5,120.422825,ok
r20260612_134238,simulation,main,ce_off,12,12357,-0.015,0.5,29.943359,ok
r20260612_134238,simulation,main,ce_light,12,12357,-0.015,0.5,102.370917,ok
r20260612_134238,simulation,main,baseline,12,12357,-0.015,0.5,110.226957,ok
r20260612_134238,simulation,main,ce_strong,12,12357,-0.015,0.5,122.737912,ok
r20260612_134238,simulation,main,ce_off,13,12358,-0.015,0.5,29.735977,ok
r20260612_134238,simulation,main,ce_light,13,12358,-0.015,0.5,95.012793,ok
r20260612_134238,simulation,main,baseline,13,12358,-0.015,0.5,119.280345,ok
r20260612_134238,simulation,main,ce_strong,13,12358,-0.015,0.5,130.324926,ok
r20260612_134238,simulation,main,ce_off,14,12359,-0.015,0.5,30.544525,ok
r20260612_134238,simulation,main,ce_light,14,12359,-0.015,0.5,101.191576,ok
r20260612_134238,simulation,main,baseline,14,12359,-0.015,0.5,110.179055,ok
r20260612_134238,simulation,main,ce_strong,14,12359,-0.015,0.5,123.982887,ok
r20260612_134238,simulation,main,ce_off,15,12360,-0.015,0.5,30.118781,ok
r20260612_134238,simulation,main,ce_light,15,12360,-0.015,0.5,97.632306,ok
r20260612_134238,simulation,main,baseline,15,12360,-0.015,0.5,112.723535,ok
r20260612_134238,simulation,main,ce_strong,15,12360,-0.015,0.5,119.211077,ok
r20260612_134238,simulation,main,ce_off,16,12361,-0.015,0.5,32.380667,ok
r20260612_134238,simulation,main,ce_light,16,12361,-0.015,0.5,101.995324,ok
