run_group,scenario,parameter,parameter_value,replicate,seed,duration_sec,status
scr_0613_0539,baseline,full_model,nan,0,24680,170.10178570001153,ok
scr_0613_0539,baseline,beta_cei,0.005,0,24680,107.43587429999025,ok
scr_0613_0539,baseline,beta_cei,0.0,0,24680,108.479405399994,ok
scr_0613_0539,baseline,beta_cei,-0.005,0,24680,108.14403460000176,ok
scr_0613_0539,baseline,beta_cei,-0.015,0,24680,108.58098039997276,ok
scr_0613_0539,baseline,beta_cei,-0.03,0,24680,108.83771110000089,ok
scr_0613_0539,baseline,gamma_need_savings,0.0,0,24680,108.79714959999546,ok
scr_0613_0539,baseline,gamma_need_savings,0.25,0,24680,109.36022040000535,ok
scr_0613_0539,baseline,gamma_need_savings,0.5,0,24680,109.33492960000876,ok
scr_0613_0539,baseline,gamma_need_savings,0.6,0,24680,110.17612300001201,ok
scr_0613_0539,baseline,gamma_need_savings,0.75,0,24680,110.15494380000746,ok
scr_0613_0539,baseline,gamma_need_savings,1.0,0,24680,109.331036699994,ok
scr_0613_0539,baseline,move_prob,0.0,0,24680,107.94588199999998,ok
scr_0613_0539,baseline,move_prob,0.01,0,24680,108.22083879998536,ok
scr_0613_0539,baseline,move_prob,0.05,0,24680,109.8046240999829,ok
scr_0613_0539,baseline,move_prob,0.1,0,24680,110.75965819999692,ok
scr_0613_0539,baseline,move_prob,0.2,0,24680,111.09935309999855,ok
scr_0613_0539,baseline,eta_opp_scale,0.5,0,24680,110.34989909999422,ok
scr_0613_0539,baseline,eta_opp_scale,0.75,0,24680,109.97860969998874,ok
scr_0613_0539,baseline,eta_opp_scale,1.0,0,24680,115.67368080001324,ok
scr_0613_0539,baseline,eta_opp_scale,1.25,0,24680,109.00553950000904,ok
scr_0613_0539,baseline,eta_opp_scale,1.5,0,24680,109.60708180000074,ok
scr_0613_0539,baseline,barrier_sensitivity_scale,0.5,0,24680,109.49265729999752,ok
scr_0613_0539,baseline,barrier_sensitivity_scale,0.75,0,24680,110.31683510000585,ok
scr_0613_0539,baseline,barrier_sensitivity_scale,1.0,0,24680,109.78979879998951,ok
scr_0613_0539,baseline,barrier_sensitivity_scale,1.25,0,24680,109.35734650000813,ok
scr_0613_0539,baseline,barrier_sensitivity_scale,1.5,0,24680,108.7593311999808,ok
scr_0613_0539,baseline,hotspot_burden_scale,0.0,0,24680,109.06311029999051,ok
scr_0613_0539,baseline,hotspot_burden_scale,0.5,0,24680,109.26830830000108,ok
scr_0613_0539,baseline,hotspot_burden_scale,1.0,0,24680,114.27014750000671,ok
scr_0613_0539,baseline,hotspot_burden_scale,1.5,0,24680,112.44574240001384,ok
scr_0613_0539,baseline,hotspot_burden_scale,2.0,0,24680,109.66894580001826,ok
scr_0613_0539,baseline,observability_prob,0.0,0,24680,111.68143009999767,ok
scr_0613_0539,baseline,observability_prob,0.5,0,24680,111.81907540000975,ok
scr_0613_0539,baseline,observability_prob,1.0,0,24680,111.89819619999616,ok
scr_0613_0539,ce_strong,full_model,nan,0,124680,123.45337480001035,ok
scr_0613_0539,ce_strong,beta_cei,0.005,0,124680,118.20867459999863,ok
scr_0613_0539,ce_strong,beta_cei,0.0,0,124680,118.08670879999408,ok
scr_0613_0539,ce_strong,beta_cei,-0.005,0,124680,123.14966990001267,ok
scr_0613_0539,ce_strong,beta_cei,-0.015,0,124680,119.13708440001938,ok
scr_0613_0539,ce_strong,beta_cei,-0.03,0,124680,123.10358979998273,ok
scr_0613_0539,ce_strong,gamma_need_savings,0.0,0,124680,119.27180729998508,ok
scr_0613_0539,ce_strong,gamma_need_savings,0.25,0,124680,117.86746190002305,ok
scr_0613_0539,ce_strong,gamma_need_savings,0.5,0,124680,123.62278030000743,ok
scr_0613_0539,ce_strong,gamma_need_savings,0.6,0,124680,118.12046279999777,ok
scr_0613_0539,ce_strong,gamma_need_savings,0.75,0,124680,124.07537530001719,ok
scr_0613_0539,ce_strong,gamma_need_savings,1.0,0,124680,120.35670099998242,ok
scr_0613_0539,ce_strong,move_prob,0.0,0,124680,116.42222010000842,ok
scr_0613_0539,ce_strong,move_prob,0.01,0,124680,121.53384519999963,ok
scr_0613_0539,ce_strong,move_prob,0.05,0,124680,118.47304859998985,ok
scr_0613_0539,ce_strong,move_prob,0.1,0,124680,124.93878179998137,ok
scr_0613_0539,ce_strong,move_prob,0.2,0,124680,120.05254449998029,ok
scr_0613_0539,ce_strong,eta_opp_scale,0.5,0,124680,117.60276149999117,ok
scr_0613_0539,ce_strong,eta_opp_scale,0.75,0,124680,122.53174870001385,ok
scr_0613_0539,ce_strong,eta_opp_scale,1.0,0,124680,118.15592330001527,ok
scr_0613_0539,ce_strong,eta_opp_scale,1.25,0,124680,124.54561309999553,ok
scr_0613_0539,ce_strong,eta_opp_scale,1.5,0,124680,118.06895089999307,ok
scr_0613_0539,ce_strong,barrier_sensitivity_scale,0.5,0,124680,117.86639440001454,ok
scr_0613_0539,ce_strong,barrier_sensitivity_scale,0.75,0,124680,123.19789709997713,ok
scr_0613_0539,ce_strong,barrier_sensitivity_scale,1.0,0,124680,118.05673199999728,ok
scr_0613_0539,ce_strong,barrier_sensitivity_scale,1.25,0,124680,120.82433010000386,ok
scr_0613_0539,ce_strong,barrier_sensitivity_scale,1.5,0,124680,121.10339830000885,ok
scr_0613_0539,ce_strong,hotspot_burden_scale,0.0,0,124680,118.79121009999653,ok
scr_0613_0539,ce_strong,hotspot_burden_scale,0.5,0,124680,125.02039739998872,ok
scr_0613_0539,ce_strong,hotspot_burden_scale,1.0,0,124680,122.05091960000573,ok
scr_0613_0539,ce_strong,hotspot_burden_scale,1.5,0,124680,134.5779438999889,ok
scr_0613_0539,ce_strong,hotspot_burden_scale,2.0,0,124680,127.61265710002044,ok
scr_0613_0539,ce_strong,observability_prob,0.0,0,124680,120.90110570000252,ok
scr_0613_0539,ce_strong,observability_prob,0.5,0,124680,128.87134879999212,ok
scr_0613_0539,ce_strong,observability_prob,1.0,0,124680,131.30938399999286,ok
